CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_CN0230_ER1,2017-03-31,I_CN0230_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,6
C_CN0230_OK1,2017-03-31,I_CN0230_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,6
C_CN0240_ER1,2017-03-31,I_CN0240_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2018-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0250_ER1,2017-03-31,I_CN0250_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,2017-04-30,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0270_OK1,2017-03-31,I_CN0270_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0270_ER2,2017-03-31,I_CN0270_ER2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0270_OK2,2017-03-31,I_CN0270_OK2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,1000000.0,14,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0280_ER1,2017-03-31,I_CN0280_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,20,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0290_ER1,2017-03-31,I_CN0290_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0290_ER2,2017-03-31,I_CN0290_ER2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0290_OK1,2017-03-31,I_CN0290_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0310_ER1,2017-03-31,I_CN0310_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,1000000.0,20,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0310_OK1,2017-03-31,I_CN0310_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,1000000.0,20,2016-08-01,2017-06-01,2017-02-28,,,,,,,,,,,,50000.0,1000000,0,7
C_CN0320_ER1,2017-03-31,I_CN0320_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0330_ER1,2017-03-31,I_CN0330_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0400_ER1,2017-03-31,I_CN0400_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0410_ER1,2017-03-31,I_CN0410_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0420_ER1,2017-03-31,I_CN0420_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0420_ER2,2017-03-31,I_CN0420_ER2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0420_OK1,2017-03-31,I_CN0420_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0470_ER1,2017-03-31,I_CN0470_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0510_ER1,2017-03-31,I_CN0510_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,6
C_CN0520_ER1,2017-03-31,I_CN0520_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0520_OK1,2017-03-31,I_CN0520_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0520_OK2,2017-03-31,I_CN0520_OK2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0530_ER1,2017-03-31,I_CN0530_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0530_OK1,2017-03-31,I_CN0530_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0530_OK2,2017-03-31,I_CN0530_OK2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0540_ER1,2017-03-31,I_CN0540_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0590_ER1,2017-03-31,I_CN0590_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0620_ER1,2017-03-31,I_CN0620_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0620_OK1,2017-03-31,I_CN0620_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0621_ER1,2017-03-31,I_CN0621_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0622_ER1,2017-03-31,I_CN0622_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0630_ER1,2017-03-31,I_CN0630_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0640_ER1,2017-03-31,I_CN0640_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0640_OK1,2017-03-31,I_CN0640_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0640_OK2,2017-03-31,I_CN0640_OK2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0660_ER1,2017-03-31,I_CN0660_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0661_ER1,2017-03-31,I_CN0661_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0661_OK1,2017-03-31,I_CN0661_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0700_ER1,2017-03-31,I_CN0700_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,0.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,0.0,0,0,7
C_CN0700_OK1,2017-03-31,I_CN0700_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,0.0,0,0,7
C_CN0700_OK2,2017-03-31,I_CN0700_OK2,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,0,0,7
C_CN0701_ER1,2017-03-31,I_CN0701_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,0,10000,7
C_CN0702_ER1,2017-03-31,I_CN0702_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0703_ER1,2017-03-31,I_CN0703_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,0.0,1000000,0,7
C_CN0801_ER1,2017-03-31,I_CN0801_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0801_OK1,2017-03-31,I_CN0801_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,1,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2016-08-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0802_ER1,2017-03-31,I_CN0802_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0802_OK1,2017-03-31,I_CN0802_OK1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
C_CN0804_ER1,2017-03-31,I_CN0804_ER1,EEAS_OA26,2000000.0,EUR,,2016-07-01,2021-06-30,2016-07-01,2,0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2,1000.0,0.02,0.0,14,2017-03-01,2017-06-01,,,,,,,,0,,,,,50000.0,1000000,0,7
