CNTRCT_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_DT_NXT_INTRST_RT_RST,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2220-05-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_ACCRD_INTRST_INSTRMNT,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,1000000000.0,0.027000000000000003,0.0,,,2020-11-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_41,CINSTR_41,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2021-11-06,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_42,CINSTR_42,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2025-12-15,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_43,CINSTR_43,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_44,CINSTR_44,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_CN0960b,I_CN0960b,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7
CCNTR_46,CINSTR_46,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,59000000.0,0.0,7
CCNTR_47,CINSTR_47,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7
CCNTR_48,CINSTR_48,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_49,CINSTR_49,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_50,CINSTR_50,EEAS_OA30,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
CCNTR_51,CINSTR_51,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,1200000.0,1
C_ACCMLTD_WRTFFS_INSTRMNT,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7
CCNTR_53,CINSTR_53,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
CCNTR_54,CINSTR_54,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7
CCNTR_56,CINSTR_56,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_ACCMLTD_IMPRMNT_INSTRMNT,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7
CCNTR_58,CINSTR_58,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7
CCNTR_59,CINSTR_59,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7
C_IG0020,I_IG0020,EEAS_OA30,908.98,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,20973.94,164026.06,0.0,7
C_DT_END_INTRST_ONLY,I_DT_END_INTRST_ONLY,EEAS_OA30,1000.0,0.02,1000.0,14,2016-02-01,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,0.0,7
C_DT_LGL_FNL_MTRTY,I_DT_LGL_FNL_MTRTY,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,1000000.0,0.0,7
C_IG0070,I_IG0070,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,0.0,0.0,7
C_CN0620,I_CN0620,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1
CCNTR_65,CINSTR_65,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_66,CINSTR_66,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1
CCNTR_67,CINSTR_67,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1
CCNTR_68,CINSTR_68,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,70000000.0,0.0,7
C_THRD_PRTY_PRRTY_CLMS,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,1912.5,0.027000000000000003,0.0,14,2019-02-28,2020-01-05,,,,,,,,0,0,,,,,850000.0,1.0,7
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1000.0,0.02,1000.0,14,2019-02-28,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,5000.0,7
CCNTR_71,CINSTR_71,EEAS_OA30,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1000.0,0.02,1000.0,14,2019-02-28,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,5000.0,7
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,EEAS_OA30,520.88,0.0992,0.0,,,,,,,,0,0,0,0,,,,,86306.3,98693.7,0.0,7
CCNTR_74,CINSTR_74,EEAS_OA30,520.88,0.0992,0.0,,,,,,,,0,0,0,0,,,,,86306.3,98693.7,0.0,7
C_IG0040,I_IG0040,EEAS_OA30,0.0,0.03,,,,,,,,0,0,0,0,0,,,,,0.0,5000.0,50.0,7
