CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCMLTD_WRTFFS,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRFRMNG_STTS,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_RCGNTN_STTS,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,HD_OFFC_UNDRT_CD
C_IG0012,2019-09-30,I_IG0012,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0090,2019-09-30,I_IG0090,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0190a,2019-09-30,I_IG0190a,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0190b,2019-09-30,I_IG0190b,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_CY0110,2019-09-30,I_CY0110,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0010b,2019-09-30,I_IG0010b,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0011b,2019-09-30,I_IG0011b,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0012b,2019-09-30,I_IG0012b,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
CCNTR_34,2019-09-30,CINSTR_34,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
CCNTR_35,2019-09-30,CINSTR_35,EEAS_OA30,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_CN0945,2019-09-30,I_CN0945,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_CN0950,2019-09-30,I_CN0950,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_CN0960a,2019-09-30,I_CN0960a,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_DT_NXT_INTRST_RT_RST,2019-09-30,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_ACCRD_INTRST_INSTRMNT,2019-09-30,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_41,2019-09-30,CINSTR_41,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_42,2019-09-30,CINSTR_42,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_43,2019-09-30,CINSTR_43,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_44,2019-09-30,CINSTR_44,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_CN0960b,2019-09-30,I_CN0960b,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_46,2019-09-30,CINSTR_46,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_47,2019-09-30,CINSTR_47,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_48,2019-09-30,CINSTR_48,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_49,2019-09-30,CINSTR_49,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_50,2019-09-30,CINSTR_50,EEAS_OA30,,0.0,0.0,14,,2860897.67,2019-02-28,2019-02-28,8,2,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_51,2019-09-30,CINSTR_51,EEAS_OA30,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,,,1000000000.0,,150000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,
CCNTR_53,2019-09-30,CINSTR_53,EEAS_OA30,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
CCNTR_54,2019-09-30,CINSTR_54,EEAS_OA30,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,,,270000.0,,1000000000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,
CCNTR_56,2019-09-30,CINSTR_56,EEAS_OA30,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,,1000000000.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_58,2019-09-30,CINSTR_58,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_59,2019-09-30,CINSTR_59,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_IG0020,2019-09-30,I_IG0020,EEAS_OA30,,0.0,0.0,6,,164935.04,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_DT_END_INTRST_ONLY,2019-09-30,I_DT_END_INTRST_ONLY,EEAS_OA30,0.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,
C_DT_LGL_FNL_MTRTY,2019-09-30,I_DT_LGL_FNL_MTRTY,EEAS_OA30,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,
C_IG0070,2019-09-30,I_IG0070,EEAS_OA30,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,
C_CN0620,2019-09-30,I_CN0620,EEAS_OA30,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_65,2019-09-30,CINSTR_65,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_66,2019-09-30,CINSTR_66,EEAS_OA30,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_67,2019-09-30,CINSTR_67,EEAS_OA30,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
CCNTR_68,2019-09-30,CINSTR_68,EEAS_OA30,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1000000000.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,
CCNTR_71,2019-09-30,CINSTR_71,EEAS_OA30,,0.0,0.0,14,,2860897.67,2019-02-28,2019-02-28,8,2,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,-1000000000.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,
C_PRTCTN_ALLCTD_VL,2019-09-30,I_PRTCTN_ALLCTD_VL,EEAS_OA30,,0.0,0.0,6,,99214.58,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
CCNTR_74,2019-09-30,CINSTR_74,EEAS_OA30,,0.0,0.0,6,,99214.58,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,
C_IG0040,2019-09-30,I_IG0040,EEAS_OA30,,,1000.0,10,,1000.0,,,,,,0,0,,,0,,-5,0,0,0,0,0,,0,,0,,1,,1,,
