CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCMLTD_WRTFFS,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRFRMNG_STTS,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_RCGNTN_STTS,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,DFLT_STTS_DBTR,DT_DFLT_STTS_DBTR,NEVS_DFLT_STTS_DBTR
CCNTR_18,2019-09-30,EEAS_ENT05,CINSTR_18,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,3089.41,0.0,7,,0.0,0.0,14,,3089.41,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,,,
CCNTR_19,2019-09-30,EEAS_ENT06,CINSTR_19,EEAS_OA30,0.0,0.0,0.0,14,2008-11-11,,,,,,,,0,0,0,,,,,27678.22,0.0,7,,0.0,0.0,14,,27678.22,,2008-11-11,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,,,
C_ANNLSD_AGRD_RT,2019-09-30,EEAS_ENT07,I_ANNLSD_AGRD_RT,EEAS_OA30,0.0,3.0,22500.0,14,2019-09-30,,2019-09-30,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-30,2019-09-30,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_ARRRS_INSTRMNT,2019-09-30,EEAS_ENT07,I_ARRRS_INSTRMNT,EEAS_OA30,0.0,0.0852,1000000000.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,EEAS_ENT07,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,1000000000.0,1,1,,,
C_DT_FRBRNC_STTS,2019-09-30,EEAS_ENT07,I_DT_FRBRNC_STTS,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,1901-01-01,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0010,2019-09-30,FR307615757,I_IG0010,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0011,2019-09-30,LT301694694,I_IG0011,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0012,2019-09-30,LV40003817773,I_IG0012,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0090,2019-09-30,ESB66706714,I_IG0090,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,14,,
C_IG0190a,2019-09-30,EEAS_ENT07,I_IG0190a,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0190b,2019-09-30,EEAS_ENT07,I_IG0190b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_CY0110,2019-09-30,LUKEUFBDHF3988,I_CY0110,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0010b,2019-09-30,LV40003229974,I_IG0010b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0011b,2019-09-30,AT0000073932459,I_IG0011b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0012b,2019-09-30,FR433378981,I_IG0012b,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
CCNTR_34,2019-09-30,EEAS_ENT07,CINSTR_34,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
CCNTR_35,2019-09-30,EEAS_ENT07,CINSTR_35,EEAS_OA30,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7,,0.0,0.0,6,,22500.0,2019-09-25,2019-09-25,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_CN0945,2019-09-30,ITTS_ENT_61,I_CN0945,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2019-10-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_CN0950,2019-09-30,ITTS_ENT_61,I_CN0950,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2019-11-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_CN0960a,2019-09-30,ITTS_ENT_61,I_CN0960a,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2220-05-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,1000000000.0,0.027000000000000003,0.0,,,2020-11-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_41,2019-09-30,ITTS_ENT_61,CINSTR_41,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2021-11-06,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_42,2019-09-30,ITTS_ENT_61,CINSTR_42,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2025-12-15,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_43,2019-09-30,ITTS_ENT_61,CINSTR_43,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_44,2019-09-30,ITTS_ENT_61,CINSTR_44,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_CN0960b,2019-09-30,DEB432O,I_CN0960b,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_CN0960b,2019-09-30,DEBL1T9,I_CN0960b,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_46,2019-09-30,DEB432O,CINSTR_46,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,59000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_46,2019-09-30,DEBL1T9,CINSTR_46,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,59000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_47,2019-09-30,DEB432O,CINSTR_47,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_47,2019-09-30,DEBL1T9,CINSTR_47,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_48,2019-09-30,ITTS_ENT_61,CINSTR_48,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_49,2019-09-30,ITTS_ENT_61,CINSTR_49,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_50,2019-09-30,EEAS_ENT02,CINSTR_50,EEAS_OA30,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7,,0.0,0.0,14,,2860897.67,2019-02-28,2019-02-28,8,2,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,,,
CCNTR_51,2019-09-30,DEB5DXO,CINSTR_51,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,1200000.0,1,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,19,,
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7,,,1000000000.0,,150000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,19,,
CCNTR_53,2019-09-30,EEAS_ENT04,CINSTR_53,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,,,
CCNTR_54,2019-09-30,EEAS_ENT04,CINSTR_54,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,,,
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7,,,270000.0,,1000000000.0,,,,,,,0,0,,0,,0,0,0,-5,0,0,0,,0,,-5,,1,,3,,19,,
CCNTR_56,2019-09-30,EEAS_ENT04,CINSTR_56,EEAS_OA30,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7,,0.0,0.0,14,,1134.31,,2014-12-01,8,2,23,0,,,,0,,-5,,,,,,,0,,,2,11,,1,1,,,
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEB432O,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,1000000000.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEBL1T9,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,1000000000.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_58,2019-09-30,DEB432O,CINSTR_58,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_58,2019-09-30,DEBL1T9,CINSTR_58,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_59,2019-09-30,DEB432O,CINSTR_59,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_59,2019-09-30,DEBL1T9,CINSTR_59,EEAS_OA30,285665.03,0.04968,0.0,,,,,,,,0,0,0,0,0,,,,,69000000.0,0.0,7,,34500.0,0.0,6,,68965500.0,2018-03-15,2018-03-15,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
C_IG0020,2019-09-30,PL08682,I_IG0020,EEAS_OA30,908.98,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,20973.94,164026.06,0.0,7,,0.0,0.0,6,,164935.04,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,,,
C_IG0020,2019-09-30,ITTS_ENT_7,I_IG0020,EEAS_OA30,908.98,0.0992,0.0,14,2019-03-28,,,,,,,,0,0,,,,,20973.94,164026.06,0.0,7,,0.0,0.0,6,,164935.04,2019-03-28,2019-03-28,8,2,23,0,,,,0,,,,,,,,,,,,2,11,0.0,1,1,19,,
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_DT_END_INTRST_ONLY,EEAS_OA30,1000.0,0.02,1000.0,14,2016-02-01,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,0.0,7,0.0,10000.0,0.0,10,0.0,0.0,2013-01-01,2016-06-01,8,2,21,,,,,,,,,,,,,,,,,1,11,0.0,1,1,19,1900-01-01,
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_6,I_DT_LGL_FNL_MTRTY,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,1000000.0,0.0,7,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,18,,
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_7,I_DT_LGL_FNL_MTRTY,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,1000000.0,0.0,7,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,19,,
C_IG0070,2019-09-30,ITTS_ENT_6,I_IG0070,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,0.0,0.0,7,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,18,,
C_IG0070,2019-09-30,ITTS_ENT_7,I_IG0070,EEAS_OA30,1000.0,0.02,0.0,14,2016-02-01,2019-12-01,,,,,,,,0,,,,,0.0,0.0,0.0,7,0.0,0.0,0.0,10,0.0,0.0,,2016-06-01,8,1,21,,,,,,,0,,,,,,,,,,1,11,0.0,1,1,19,,
C_CN0620,2019-09-30,DEB5DXO,I_CN0620,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,19,,
CCNTR_65,2019-09-30,ITTS_ENT_61,CINSTR_65,EEAS_OA30,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7,,17000.0,0.0,6,,834912.5,2017-11-16,2017-11-16,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_66,2019-09-30,DEBL1T9,CINSTR_66,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_66,2019-09-30,DEB432O,CINSTR_66,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,14,,
CCNTR_66,2019-09-30,DEB5DXO,CINSTR_66,EEAS_OA30,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1,,2500.0,0.0,6,,1247500.0,2017-01-14,2017-01-14,8,1,23,0,,,,0,,,,,,,,,0,,,2,11,,1,1,19,,
