CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,JNT_LBLTY_AMNT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_JNT_LBLTY_AMNT,CD0060
C_CN0810_OK1,ITTS_ENT_40,I_CN0810_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0811_ER1,ITTS_ENT_40,I_CN0811_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0811_OK1,ITTS_ENT_40,I_CN0811_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0812_ER1,ITTS_ENT_40,I_CN0812_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0812_OK1,ITTS_ENT_40,I_CN0812_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0813_ER1,ITTS_ENT_40,I_CN0813_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0813_ER2,ITTS_ENT_40,I_CN0813_ER2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0813_OK1,ITTS_ENT_40,I_CN0813_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN_CHNGS_OK,ITTS_ENT_CN_CHNGS_OK,I_CN_CHNGS_OK,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0520_OK2,ITTS_ENT_40,I_CN0520_OK2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0520_ER1,ITTS_ENT_40,I_CN0520_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0520_OK1,ITTS_ENT_40,I_CN0520_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0530_OK2,ITTS_ENT_40,I_CN0530_OK2,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0530_ER1,ITTS_ENT_40,I_CN0530_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0530_OK1,ITTS_ENT_40,I_CN0530_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0801_ER1,ITTS_ENT_40,I_CN0801_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0801_OK1,ITTS_ENT_40,I_CN0801_OK1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0541_ER1,ITTS_ENT_40,I_CN0541_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0551_ER1,ITTS_ENT_40,I_CN0551_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0920_ER1,ITTS_ENT_40,I_CN0920_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0925_ER1,ITTS_ENT_40,I_CN0925_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0930_ER1,ITTS_ENT_40,I_CN0930_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0935_ER1,ITTS_ENT_40,I_CN0935_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0940_ER1,ITTS_ENT_40,I_CN0940_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0945_ER1,ITTS_ENT_40,I_CN0945_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0950_ER1,ITTS_ENT_40,I_CN0950_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
C_CN0960_ER1,ITTS_ENT_40,I_CN0960_ER1,1000000.0,EEAS_OA26,2017-03-31,,False
