CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS,PRTCTN_PRVDR_CD
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,GUA_2,,,185000.0,0,EEAS_ENT17
C_PRTCTN_ALLCTD_VL,2019-09-30,I_PRTCTN_ALLCTD_VL,EEAS_OA30,GUA_2,,,400.0,0,EEAS_ENT17
CCNTR_74,2019-09-30,CINSTR_74,EEAS_OA30,GUA_2,,,100.0,0,EEAS_ENT17
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,G_PRTCTN_ALLCTD_VL,,,185000.0,0,EEAS_ENT18
C_PRTCTN_ALLCTD_VL,2019-09-30,I_PRTCTN_ALLCTD_VL,EEAS_OA30,G_PRTCTN_ALLCTD_VL,,,1000000000.0,0,EEAS_ENT18
CCNTR_74,2019-09-30,CINSTR_74,EEAS_OA30,G_PRTCTN_ALLCTD_VL,,,200.0,0,EEAS_ENT18
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,GUA_4,,,185000.0,0,EEAS_ENT19
C_PRTCTN_ALLCTD_VL,2019-09-30,I_PRTCTN_ALLCTD_VL,EEAS_OA30,GUA_4,,,500.0,0,EEAS_ENT19
CCNTR_74,2019-09-30,CINSTR_74,EEAS_OA30,GUA_4,,,200.0,0,EEAS_ENT19
C_CN0935,2019-09-30,I_CN0935,EEAS_OA30,GUA_5,,,133000.0,0,EEAS_ENT20
C_IG0020,2019-09-30,I_IG0020,EEAS_OA30,GUA_5,,,133000.0,0,EEAS_ENT20
C_PRTCTN_ALLCTD_VL,2019-09-30,I_PRTCTN_ALLCTD_VL,EEAS_OA30,GUA_5,,,250.0,0,EEAS_ENT20
CCNTR_74,2019-09-30,CINSTR_74,EEAS_OA30,GUA_5,,,100.0,0,EEAS_ENT20
C_CN0945,2019-09-30,I_CN0945,EEAS_OA30,GUA_6,,,500000.0,0,DEB4PY7
C_CN0950,2019-09-30,I_CN0950,EEAS_OA30,G_CN0950,,,500000.0,0,DEB4PY7
C_CN0960a,2019-09-30,I_CN0960a,EEAS_OA30,G_CN0960a,,,500000.0,0,DEB4PY7
CCNTR_48,2019-09-30,CINSTR_48,EEAS_OA30,G_CN0960a,,,36000000.0,0,DEB4PY7
CCNTR_49,2019-09-30,CINSTR_49,EEAS_OA30,G_CN0960a,,,36000000.0,0,DEB4PY7
C_DT_NXT_INTRST_RT_RST,2019-09-30,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,GUA_9,,,500000.0,0,DEB4PY7
C_ACCRD_INTRST_INSTRMNT,2019-09-30,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,GUA_10,,,500000.0,0,DEB4PY7
CCNTR_41,2019-09-30,CINSTR_41,EEAS_OA30,GUA_11,,,500000.0,0,DEB4PY7
CCNTR_42,2019-09-30,CINSTR_42,EEAS_OA30,GUA_12,,,500000.0,0,DEB4PY7
CCNTR_43,2019-09-30,CINSTR_43,EEAS_OA30,GUA_13,,,500000.0,0,DEB4PY7
CCNTR_44,2019-09-30,CINSTR_44,EEAS_OA30,GUA_13,,,500000.0,0,DEB4PY7
CCNTR_44,2019-09-30,CINSTR_44,EEAS_OA30,GUA_14,,,10050.0,0,DEBA32568564
C_CN0960b,2019-09-30,I_CN0960b,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
CCNTR_46,2019-09-30,CINSTR_46,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
CCNTR_47,2019-09-30,CINSTR_47,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
CCNTR_58,2019-09-30,CINSTR_58,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
CCNTR_59,2019-09-30,CINSTR_59,EEAS_OA30,GUA_15,,,36000000.0,0,CZ11111112
C_CN0960b,2019-09-30,I_CN0960b,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
CCNTR_46,2019-09-30,CINSTR_46,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
CCNTR_47,2019-09-30,CINSTR_47,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
CCNTR_58,2019-09-30,CINSTR_58,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
CCNTR_59,2019-09-30,CINSTR_59,EEAS_OA30,G_CN0960b,,,36000000.0,0,DEP8293X307
CCNTR_51,2019-09-30,CINSTR_51,EEAS_OA30,GUA_17,,,2000000.0,0,DEB5DXO
C_CN0620,2019-09-30,I_CN0620,EEAS_OA30,GUA_17,,,2000000.0,0,DEB5DXO
CCNTR_66,2019-09-30,CINSTR_66,EEAS_OA30,GUA_17,,,2000000.0,0,DEB5DXO
CCNTR_67,2019-09-30,CINSTR_67,EEAS_OA30,GUA_17,,,2000000.0,0,DEB5DXO
C_DT_END_INTRST_ONLY,2019-09-30,I_DT_END_INTRST_ONLY,EEAS_OA30,GUA_18,,,100000.0,20000,EEE_DT_DFLT_STTS_ENTTY
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,GUA_18,,,100000.0,20000,EEE_DT_DFLT_STTS_ENTTY
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,GUA_18,,,100000.0,20000,EEE_DT_DFLT_STTS_ENTTY
CCNTR_65,2019-09-30,CINSTR_65,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,,,2000000.0,0,EEAS_ENT16
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,,,36000000.0,1000000000,EEAS_ENT16
CCNTR_68,2019-09-30,CINSTR_68,EEAS_OA30,GUA_20,,,36000000.0,0,CZ11111112
CCNTR_68,2019-09-30,CINSTR_68,EEAS_OA30,GUA_21,,,36000000.0,0,DEP8293X307
