CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_INCPTN,RCRS,TYP_INSTRMNT
C_IG0090,2019-09-30,ESB66706714,2,I_IG0090,EEAS_OA30,2019-09-25,2,1002
C_IG0190a,2019-09-30,EEAS_ENT07,2,I_IG0190a,EEAS_OA30,2019-09-25,2,1002
C_IG0190b,2019-09-30,EEAS_ENT07,2,I_IG0190b,EEAS_OA30,2019-09-25,2,71
C_CY0110,2019-09-30,LUKEUFBDHF3988,2,I_CY0110,EEAS_OA30,2019-09-25,2,1002
C_IG0010b,2019-09-30,LV40003229974,2,I_IG0010b,EEAS_OA30,2019-09-25,2,1002
C_IG0011b,2019-09-30,AT0000073932459,2,I_IG0011b,EEAS_OA30,2019-09-25,2,1002
C_IG0012b,2019-09-30,FR433378981,2,I_IG0012b,EEAS_OA30,2019-09-25,2,1002
CCNTR_34,2019-09-30,EEAS_ENT07,2,CINSTR_34,EEAS_OA30,2019-09-25,2,1002
CCNTR_35,2019-09-30,EEAS_ENT07,2,CINSTR_35,EEAS_OA30,2019-09-25,2,1002
C_CN0945,2019-09-30,ITTS_ENT_61,2,I_CN0945,EEAS_OA30,2017-11-16,1,1004
C_CN0950,2019-09-30,ITTS_ENT_61,2,I_CN0950,EEAS_OA30,2017-11-16,1,1004
C_CN0960a,2019-09-30,ITTS_ENT_61,2,I_CN0960a,EEAS_OA30,2017-11-16,1,1004
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,2,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,2017-11-16,1,1004
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,2,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,2017-11-16,1,1004
CCNTR_41,2019-09-30,ITTS_ENT_61,2,CINSTR_41,EEAS_OA30,2017-11-16,1,1004
CCNTR_42,2019-09-30,ITTS_ENT_61,2,CINSTR_42,EEAS_OA30,2017-11-16,1,1004
CCNTR_43,2019-09-30,ITTS_ENT_61,2,CINSTR_43,EEAS_OA30,2017-11-16,1,1004
CCNTR_44,2019-09-30,ITTS_ENT_61,2,CINSTR_44,EEAS_OA30,2017-11-16,1,1004
C_CN0960b,2019-09-30,DEB432O,2,I_CN0960b,EEAS_OA30,2018-03-15,2,1004
C_CN0960b,2019-09-30,DEBL1T9,2,I_CN0960b,EEAS_OA30,2018-03-15,2,1004
CCNTR_46,2019-09-30,DEB432O,2,CINSTR_46,EEAS_OA30,2018-03-15,2,1004
CCNTR_46,2019-09-30,DEBL1T9,2,CINSTR_46,EEAS_OA30,2018-03-15,2,1004
CCNTR_47,2019-09-30,DEB432O,2,CINSTR_47,EEAS_OA30,2018-03-15,2,1004
CCNTR_47,2019-09-30,DEBL1T9,2,CINSTR_47,EEAS_OA30,2018-03-15,2,1004
CCNTR_48,2019-09-30,ITTS_ENT_61,2,CINSTR_48,EEAS_OA30,2017-11-16,1,1004
CCNTR_49,2019-09-30,ITTS_ENT_61,2,CINSTR_49,EEAS_OA30,2017-11-16,1,1004
CCNTR_50,2019-09-30,EEAS_ENT02,2,CINSTR_50,EEAS_OA30,2019-02-28,2,1000
CCNTR_51,2019-09-30,DEB5DXO,2,CINSTR_51,EEAS_OA30,2017-01-14,1,1004
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,2,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,2015-06-12,1,1004
CCNTR_53,2019-09-30,EEAS_ENT04,2,CINSTR_53,EEAS_OA30,2014-12-01,2,1000
CCNTR_54,2019-09-30,EEAS_ENT04,2,CINSTR_54,EEAS_OA30,2014-12-01,2,1000
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,2,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,2015-06-12,1,1004
CCNTR_56,2019-09-30,EEAS_ENT04,2,CINSTR_56,EEAS_OA30,2014-12-01,2,1000
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEB432O,2,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,2018-03-15,2,1004
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEBL1T9,2,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,2018-03-15,2,1004
CCNTR_58,2019-09-30,DEB432O,2,CINSTR_58,EEAS_OA30,2018-03-15,2,1004
CCNTR_58,2019-09-30,DEBL1T9,2,CINSTR_58,EEAS_OA30,2018-03-15,2,1004
CCNTR_59,2019-09-30,DEB432O,2,CINSTR_59,EEAS_OA30,2018-03-15,2,1004
CCNTR_59,2019-09-30,DEBL1T9,2,CINSTR_59,EEAS_OA30,2018-03-15,2,1004
C_IG0020,2019-09-30,PL08682,2,I_IG0020,EEAS_OA30,2019-03-28,2,1002
C_IG0020,2019-09-30,ITTS_ENT_7,2,I_IG0020,EEAS_OA30,2019-03-28,2,1002
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,2,I_DT_END_INTRST_ONLY,EEAS_OA30,2010-01-01,2,1004
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_6,2,I_DT_LGL_FNL_MTRTY,EEAS_OA30,2016-01-01,2,1004
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_7,2,I_DT_LGL_FNL_MTRTY,EEAS_OA30,2016-01-01,2,1004
C_IG0070,2019-09-30,ITTS_ENT_6,2,I_IG0070,EEAS_OA30,2016-01-01,2,1004
C_IG0070,2019-09-30,ITTS_ENT_7,2,I_IG0070,EEAS_OA30,2016-01-01,2,1004
C_CN0620,2019-09-30,DEB5DXO,2,I_CN0620,EEAS_OA30,2017-01-14,1,1004
CCNTR_65,2019-09-30,ITTS_ENT_61,2,CINSTR_65,EEAS_OA30,2017-11-16,1,1004
CCNTR_66,2019-09-30,DEBL1T9,2,CINSTR_66,EEAS_OA30,2017-01-14,1,1004
CCNTR_66,2019-09-30,DEB432O,2,CINSTR_66,EEAS_OA30,2017-01-14,1,1004
CCNTR_66,2019-09-30,DEB5DXO,2,CINSTR_66,EEAS_OA30,2017-01-14,1,1004
CCNTR_67,2019-09-30,DEB5DXO,2,CINSTR_67,EEAS_OA30,2017-01-14,1,1004
CCNTR_67,2019-09-30,DEBL1T9,2,CINSTR_67,EEAS_OA30,2017-01-14,1,1004
CCNTR_67,2019-09-30,DEB432O,2,CINSTR_67,EEAS_OA30,2017-01-14,1,1004
CCNTR_68,2019-09-30,DEB432O,2,CINSTR_68,EEAS_OA30,2018-03-15,2,1004
CCNTR_68,2019-09-30,DEBL1T9,2,CINSTR_68,EEAS_OA30,2018-03-15,2,1004
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,ITTS_ENT_61,2,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,2017-11-16,1,1004
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT01,2,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,2017-11-16,1,1004
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT02,2,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,2017-11-16,1,1004
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT03,2,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,2017-11-16,1,1004
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,2,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,2010-01-01,2,1004
CCNTR_71,2019-09-30,EEAS_ENT02,2,CINSTR_71,EEAS_OA30,2019-02-28,2,1000
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEAS_ENT02,2,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,2010-01-01,2,1004
C_PRTCTN_ALLCTD_VL,2019-09-30,EEAS_ENT03,2,I_PRTCTN_ALLCTD_VL,EEAS_OA30,2019-03-28,2,1002
C_PRTCTN_ALLCTD_VL,2019-09-30,EEAS_ENT06,2,I_PRTCTN_ALLCTD_VL,EEAS_OA30,2019-03-28,2,1002
CCNTR_74,2019-09-30,EEAS_ENT03,2,CINSTR_74,EEAS_OA30,2019-03-28,2,1002
CCNTR_74,2019-09-30,EEAS_ENT06,2,CINSTR_74,EEAS_OA30,2019-03-28,2,1002
C_IG0040,2019-09-30,DEAKENT,2,I_IG0040,EEAS_OA30,2017-09-11,1,1004
