ACCOUNTING_ENTRY,ADJUSTMENT,COMP_METHOD,COUNTERPART_AREA,COUNTERPART_SECTOR,CURRENCY_DENOM,FLOW_STOCK_ENTRY,FREQ,FUNCTIONAL_CAT,INSTR_ASSET,INT_ACC_ITEM,MATURITY,REF_AREA,REF_SECTOR,TIME_PERIOD,UNIT_MEASURE,VALUATION,OBS_VALUE,imbalance,ruleid,errorcode,errorlevel
A,N,N,W1,S1,_T,T,M,P,F3,FA,S,BE,S12T,2019-05-31,EUR,M,171.0,1.0,2,Monetary financial institutions other than central bank,4.0
A,N,N,W1,S1,X1,T,M,R,F3,FA,T,BE,S121,2019-05-31,EUR,M,73.0,-1.0,1,All original maturities,
A,N,N,W1,S1,_T,T,M,P,F3,FA,T,BE,S1,2019-04-30,EUR,M,-8708.0,1.0,1,All original maturities,
A,N,N,W1,S1,X1,T,M,R,F3,FA,T,BE,S121,2019-04-30,EUR,M,591.0,1.0,1,All original maturities,
C,N,N,W1,S1,_T,T,M,_Z,_Z,CA,_Z,BE,S1,2019-06-30,EUR,_X,37457.0,1.0,1,Current account,
D,N,N,W1,S1,_T,T,M,_Z,_Z,CA,_Z,BE,S1,2019-06-30,EUR,_X,37959.0,1.0,1,Current account,
D,N,N,W1,S1,_T,T,M,_Z,_Z,CA,_Z,BE,S1,2019-05-31,EUR,_X,42709.0,-1.0,1,Current account,
C,N,N,W1,S1,_T,T,M,_Z,_Z,CA,_Z,BE,S1,2019-04-30,EUR,_X,37889.0,1.0,1,Current account,
A,N,N,W1,S1,_T,T,M,O,F2,FA,T,BE,S1,2019-06-30,EUR,N,15937.0,-29187.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,O,FLA,D41,T,BE,S1,2019-06-30,EUR,_X,54.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,22849.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-06-30,EUR,_X,200.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,FL,D4Q,_Z,BE,S1,2019-06-30,EUR,_X,728.0,1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,IN2,_Z,BE,S1,2019-06-30,EUR,_X,1615.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-06-30,EUR,_X,60.0,-1.0,1,Rest of the world,
A,N,N,W1,S123,_T,T,M,P,F5,FA,_Z,BE,S1,2019-06-30,EUR,M,278.0,1.0,1,Rest of the world,
A,N,N,W1,S12T,_T,T,M,P,F5,FA,_Z,BE,S1,2019-06-30,EUR,M,273.0,1.0,1,Rest of the world,
A,N,N,W1,S1P,_T,T,M,P,F3,FA,L,BE,S1,2019-06-30,EUR,M,884.0,-1.0,1,Rest of the world,
A,N,N,W1,S1P,_T,T,M,P,F5,FA,_Z,BE,S1,2019-06-30,EUR,M,1728.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S122,2019-06-30,EUR,_X,-4424.0,1.0,1,Rest of the world,
L,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S122,2019-06-30,EUR,_X,-4424.0,1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S12T,2019-06-30,EUR,_X,-4424.0,1.0,1,Rest of the world,
L,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S12T,2019-06-30,EUR,_X,-4424.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,O,F,FA,_Z,BE,S13,2019-06-30,EUR,_X,405.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S1P,2019-06-30,EUR,_X,-12186.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,O,F2,FA,T,BE,S1,2019-05-31,EUR,N,-4689.0,1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-05-31,EUR,_X,121.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,FL,D4Q,_Z,BE,S1,2019-05-31,EUR,_X,770.0,-1.0,1,Rest of the world,
A,N,N,W1,S122,_T,T,M,P,F3,FA,S,BE,S1,2019-05-31,EUR,M,-1211.0,1.0,1,Rest of the world,
A,N,N,W1,S122,_T,T,M,P,F5,FA,_Z,BE,S1,2019-05-31,EUR,M,-196.0,1.0,1,Rest of the world,
A,N,N,W1,S12T,_T,T,M,P,F3,FA,S,BE,S1,2019-05-31,EUR,M,-1211.0,1.0,1,Rest of the world,
A,N,N,W1,S1P,_T,T,M,P,F3,FA,L,BE,S1,2019-05-31,EUR,M,255.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,O,F,FA,_Z,BE,S121,2019-05-31,EUR,_X,-430.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S122,2019-05-31,EUR,_X,71.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,S,BE,S122,2019-05-31,EUR,M,-236.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S122,2019-05-31,EUR,_X,99.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,S,BE,S123,2019-05-31,EUR,M,406.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S12T,2019-05-31,EUR,_X,71.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S12T,2019-05-31,EUR,M,1118.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,S,BE,S12T,2019-05-31,EUR,M,171.0,1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S12T,2019-05-31,EUR,_X,99.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S13,2019-05-31,EUR,_X,1.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S13,2019-05-31,EUR,M,-5.0,1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S13,2019-05-31,EUR,_X,-2.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S1P,2019-05-31,EUR,_X,-5241.0,-1.0,1,Rest of the world,
L,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S1P,2019-05-31,EUR,_X,-9863.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,O,F2,FA,T,BE,S1,2019-04-30,EUR,N,-5133.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,O,FLA,D41,T,BE,S1,2019-04-30,EUR,_X,24.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,P,F3,D41,T,BE,S1,2019-04-30,EUR,_X,574.0,-1.0,1,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,D1,_Z,BE,S1,2019-04-30,EUR,_X,223.0,-1.0,1,Rest of the world,
L,N,N,W1,S1,_T,T,M,O,F2,FA,T,BE,S1,2019-04-30,EUR,N,-1774.0,1.0,1,Rest of the world,
N,N,N,W1,S1,_T,T,M,F,F7,FA,T,BE,S1,2019-04-30,EUR,T,814.0,1.0,1,Rest of the world,
A,N,N,W1,S122,_T,T,M,P,F3,FA,L,BE,S1,2019-04-30,EUR,M,44.0,-1.0,1,Rest of the world,
A,N,N,W1,S122,_T,T,M,P,F5,FA,_Z,BE,S1,2019-04-30,EUR,M,-70.0,1.0,1,Rest of the world,
A,N,N,W1,S12T,_T,T,M,P,F3,FA,L,BE,S1,2019-04-30,EUR,M,44.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,O,F,FA,_Z,BE,S121,2019-04-30,EUR,_X,-281.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S121,2019-04-30,EUR,M,-124.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S122,2019-04-30,EUR,_X,140.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F5,FA,_Z,BE,S122,2019-04-30,EUR,M,-158.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S122,2019-04-30,EUR,_X,99.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S12T,2019-04-30,EUR,_X,140.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F5,FA,_Z,BE,S12T,2019-04-30,EUR,M,-158.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S12T,2019-04-30,EUR,_X,99.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,F5,FA,_Z,BE,S13,2019-04-30,EUR,_X,1.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S13,2019-04-30,EUR,M,-2.0,-1.0,1,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D43S,_Z,BE,S13,2019-04-30,EUR,_X,-2.0,-1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,D,FL,FA,_Z,BE,S1P,2019-04-30,EUR,_X,-3535.0,1.0,1,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S1P,2019-04-30,EUR,M,-166.0,1.0,1,Rest of the world,
L,N,N,W1,S1,_T,T,M,O,F,FA,_Z,BE,S1P,2019-04-30,EUR,_X,-2058.0,1.0,1,Rest of the world,
C,N,C,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,31946.0,23336.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-06-30,EUR,_X,200.0,-1.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-06-30,EUR,_X,2956.0,-1.0,2,Rest of the world,
D,N,C,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,31466.0,-1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,D1,_Z,BE,S1,2019-05-31,EUR,_X,966.0,1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,FL,D4Q,_Z,BE,S1,2019-05-31,EUR,_X,636.0,1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,IN2,_Z,BE,S1,2019-05-31,EUR,_X,1022.0,1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-05-31,EUR,_X,207.0,1.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-05-31,EUR,_X,205.0,1.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-05-31,EUR,_X,2956.0,-1.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-05-31,EUR,_X,51.0,1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,P,F3,D41,T,BE,S1,2019-04-30,EUR,_X,574.0,-1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,IN2,_Z,BE,S1,2019-04-30,EUR,_X,930.0,-1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,S,_Z,BE,S1,2019-04-30,EUR,_X,8391.0,-1.0,2,Rest of the world,
D,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-04-30,EUR,_X,2956.0,-1.0,2,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-06-30,EUR,_X,1557.0,-1.0,3,Rest of the world,
C,N,C,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,31946.0,1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-06-30,EUR,_X,84.0,1.0,3,Rest of the world,
D,N,C,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,31466.0,-1.0,3,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-06-30,EUR,_X,60.0,-1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,D1,_Z,BE,S1,2019-05-31,EUR,_X,966.0,1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,FL,D4Q,_Z,BE,S1,2019-05-31,EUR,_X,636.0,1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-05-31,EUR,_X,1557.0,-1.0,3,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-05-31,EUR,_X,51.0,1.0,3,Rest of the world,
C,N,N,W1,S1,X1,T,M,R,F,D4P,_Z,BE,S121,2019-05-31,EUR,_X,28.0,1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,O,F,D4P,_Z,BE,S1,2019-04-30,EUR,_X,119.0,-1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,FL,D4Q,_Z,BE,S1,2019-04-30,EUR,_X,544.0,-1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,D,F5,D4S,_Z,BE,S1,2019-04-30,EUR,_X,1557.0,-1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-04-30,EUR,_X,24161.0,1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-04-30,EUR,_X,89.0,-1.0,3,Rest of the world,
C,N,N,W1,S1,_T,T,M,_Z,_Z,S,_Z,BE,S1,2019-04-30,EUR,_X,8391.0,-1.0,3,Rest of the world,
D,N,N,W1,S1,_T,T,M,_Z,_Z,D1,_Z,BE,S1,2019-04-30,EUR,_X,223.0,-1.0,3,Rest of the world,
A,N,N,W1,S1,_T,T,M,P,F5,FA,_Z,BE,S1,2019-06-30,EUR,M,2000.0,-1.0,1,total economy,4.0
A,N,N,W1,S1,_T,T,M,P,F3,FA,L,BE,S1,2019-05-31,EUR,M,1720.0,1.0,1,total economy,4.0
A,N,N,W1,S1,_T,T,M,P,F5,FA,_Z,BE,S1,2019-05-31,EUR,M,-4009.0,2.0,1,total economy,4.0
A,N,N,W1,S12T,_T,T,M,P,F5,FA,_Z,BE,S1,2019-05-31,EUR,M,-539.0,-1.0,2,Monetary financial institutions other than central bank,4.0
A,N,N,W1,S12T,_T,T,M,P,F5,FA,_Z,BE,S1,2019-04-30,EUR,M,-374.0,-1.0,2,Monetary financial institutions other than central bank,4.0
B,N,N,W1,S1,_T,T,M,_Z,_Z,CA,_Z,BE,S1,2019-06-30,EUR,_X,-501.0,1.0,1,Balance (credit-debet),4.0
B,N,C,W1,S1,_T,T,M,_Z,_Z,G,_Z,BE,S1,2019-06-30,EUR,_X,479.0,-1.0,1,Balance (credit-debet),4.0
B,N,N,W1,S1,_T,T,M,_Z,_Z,KA,_Z,BE,S1,2019-06-30,EUR,_X,23.0,-1.0,1,Balance (credit-debet),4.0
N,N,N,W1,S1,_T,T,M,_T,F,FA,_Z,BE,S1,2019-06-30,EUR,_X,-1878.0,-1.0,2,Net (assets-liabilities),4.0
