TRANSFORMATION_SCHEME_ID,TRANSFORMATION_ID,EXPRESSION,Validation result,Type,EXPRESSION2,Validation result2,SintaxInfo
DB_ANCRDT_INSTRMNT_C_1,DB_ANCRDT_INSTRMNT_C_1_0,"/*Write the data set 'Instrument (ANCRDT_INSTRMNT_C)' to the data base*/ANCRDT_INSTRMNT_C := put(ANCRDT_INSTRMNT_C, ""ANCRDT_INSTRMNT_C"")",FALSO,Put,,,
DB_ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1,DB_ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1_0,"/*Write the data set 'Instrument-protection (ANCRDT_INSTRMNT_PRTCTN_RCVD_C)' to the data base*/ANCRDT_INSTRMNT_PRTCTN_RCVD_C := put(ANCRDT_INSTRMNT_PRTCTN_RCVD_C, ""ANCRDT_INSTRMNT_PRTCTN_RCVD_C"")",FALSO,Put,,,
DB_ANCRDT_JNT_LBLTS_C_1,DB_ANCRDT_JNT_LBLTS_C_1_0,"/*Write the data set 'Joint liabilities (ANCRDT_JNT_LBLTS_C)' to the data base*/ANCRDT_JNT_LBLTS_C := put(ANCRDT_JNT_LBLTS_C, ""ANCRDT_JNT_LBLTS_C"")",FALSO,Put,,,
DB_ANCRDT_PRTCTN_RCVD_C_1,DB_ANCRDT_PRTCTN_RCVD_C_1_0,"/*Write the data set 'Protection received (ANCRDT_PRTCTN_RCVD_C)' to the data base*/ANCRDT_PRTCTN_RCVD_C := put(ANCRDT_PRTCTN_RCVD_C, ""ANCRDT_PRTCTN_RCVD_C"")",FALSO,Put,,,
DB_CMMTMNTS_GVN_E_1,DB_CMMTMNTS_GVN_E_1_0,"/*Write the data set 'Commitments given - enriched (CMMTMNTS_GVN_E)' to the data base*/CMMTMNTS_GVN_E := put(CMMTMNTS_GVN_E, ""CMMTMNTS_GVN_E"")",FALSO,Put,,,
DB_CMMTMNTS_GVN_PRTCTNS_E_1,DB_CMMTMNTS_GVN_PRTCTNS_E_1_0,"/*Write the data set 'Commitments given-protections - enriched (CMMTMNTS_GVN_PRTCTNS_E)' to the data base*/CMMTMNTS_GVN_PRTCTNS_E := put(CMMTMNTS_GVN_PRTCTNS_E, ""CMMTMNTS_GVN_PRTCTNS_E"")",FALSO,Put,,,
DB_CMMTMNT_PRTCTN_1,DB_CMMTMNT_PRTCTN_1_0,"/*Extract the content of the cube Commitments-protections (CMMTMNT_PRTCTN)' and store it in the data set named 'CMMTMNT_PRTCTN'*/CMMTMNT_PRTCTN := GT_CB_VLD_AT(""CMMTMNT_PRTCTN"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CMMTMNT_RCVD_1,DB_CMMTMNT_RCVD_1_0,"/*Extract the content of the cube Commitment Received (CMMTMNT_RCVD)' and store it in the data set named 'CMMTMNT_RCVD'*/CMMTMNT_RCVD := GT_CB_VLD_AT(""CMMTMNT_RCVD"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CMPSTN_LGL_ENTTY_1,DB_CMPSTN_LGL_ENTTY_1_0,"/*Extract the content of the cube Composition of the legal entity (CMPSTN_LGL_ENTTY)' and store it in the data set named 'CMPSTN_LGL_ENTTY'*/CMPSTN_LGL_ENTTY := GT_CB_VLD_AT(""CMPSTN_LGL_ENTTY"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CNTRPRTS_1,DB_CNTRPRTS_1_0,"/*Extract the content of the cube Counterparties (CNTRPRTS)' and store it in the data set named 'CNTRPRTS'*/CNTRPRTS := GT_CB_VLD_AT(""CNTRPRTS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CNTRPRTS_CDS_1,DB_CNTRPRTS_CDS_1_0,"/*Extract the content of the cube Counterparty codes (CNTRPRTS_CDS)' and store it in the data set named 'CNTRPRTS_CDS'*/CNTRPRTS_CDS := GT_CB_VLD_AT(""CNTRPRTS_CDS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CNTRPRTS_E_1,DB_CNTRPRTS_E_1_0,"/*Write the data set 'Counterparties - enriched (CNTRPRTS_E)' to the data base*/CNTRPRTS_E := put(CNTRPRTS_E, ""CNTRPRTS_E"")",FALSO,Put,,,
DB_CNTRY_1,DB_CNTRY_1_0,"/*Extract the content of the cube Countries reference information (CNTRY)' and store it in the data set named 'CNTRY'*/CNTRY := GT_CB_VLD_AT(""CNTRY"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CRDT_CRD_DBT_1,DB_CRDT_CRD_DBT_1_0,"/*Extract the content of the cube Credit card debt (CRDT_CRD_DBT)' and store it in the data set named 'CRDT_CRD_DBT'*/CRDT_CRD_DBT := GT_CB_VLD_AT(""CRDT_CRD_DBT"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CRDT_DRVTV_1,DB_CRDT_DRVTV_1_0,"/*Extract the content of the cube Credit derivatives (CRDT_DRVTV)' and store it in the data set named 'CRDT_DRVTV'*/CRDT_DRVTV := GT_CB_VLD_AT(""CRDT_DRVTV"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CRDT_FCLTS_1,DB_CRDT_FCLTS_1_0,"/*Extract the content of the cube 'Credit facilities (CRDT_FCLTS)' and store it in the data set named 'CRDT_FCLTS'*/CRDT_FCLTS := GT_CB_VLD_AT(""CRDT_FCLTS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CRDT_FCLTS_INSTRMNTS_1,DB_CRDT_FCLTS_INSTRMNTS_1_0,"/*Extract the content of the cube Credit facilities-Instruments (CRDT_FCLTS_INSTRMNTS)' and store it in the data set named 'CRDT_FCLTS_INSTRMNTS'*/CRDT_FCLTS_INSTRMNTS := GT_CB_VLD_AT(""CRDT_FCLTS_INSTRMNTS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CRDT_FCLTS_INSTRMNTS_E_1,DB_CRDT_FCLTS_INSTRMNTS_E_1_0,"/*Write the data set 'Credit facilities-Instruments - enriched (CRDT_FCLTS_INSTRMNTS_E)' to the data base*/CRDT_FCLTS_INSTRMNTS_E := put(CRDT_FCLTS_INSTRMNTS_E, ""CRDT_FCLTS_INSTRMNTS_E"")",FALSO,Put,,,
DB_CRRNT_ACCNT_1,DB_CRRNT_ACCNT_1_0,"/*Extract the content of the cube Current account (including Transferable deposits) (CRRNT_ACCNT)' and store it in the data set named 'CRRNT_ACCNT'*/CRRNT_ACCNT := GT_CB_VLD_AT(""CRRNT_ACCNT"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CSH_ON_HND_1,DB_CSH_ON_HND_1_0,"/*Extract the content of the cube Cash on hand (CSH_ON_HND)' and store it in the data set named 'CSH_ON_HND'*/CSH_ON_HND := GT_CB_VLD_AT(""CSH_ON_HND"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_CSH_ON_HND_E_1,DB_CSH_ON_HND_E_1_0,"/*Write the data set 'Cash on hand - enriched (CSH_ON_HND_E)' to the data base*/CSH_ON_HND_E := put(CSH_ON_HND_E, ""CSH_ON_HND_E"")",FALSO,Put,,,
DB_DBT_SCRTS_E_1,DB_DBT_SCRTS_E_1_0,"/*Write the data set 'Debt securities - enriched (DBT_SCRTS_E)' to the data base*/DBT_SCRTS_E := put(DBT_SCRTS_E, ""DBT_SCRTS_E"")",FALSO,Put,,,
DB_DPSTS_LBLTS_1,DB_DPSTS_LBLTS_1_0,"/*Extract the content of the cube Deposits (liabilities) (DPSTS_LBLTS)' and store it in the data set named 'DPSTS_LBLTS'*/DPSTS_LBLTS := GT_CB_VLD_AT(""DPSTS_LBLTS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_DPSTS_THT_LBLTS_E_1,DB_DPSTS_THT_LBLTS_E_1_0,"/*Write the data set 'Deposits that are liabilities - enriched (DPSTS_THT_LBLTS_E)' to the data base*/DPSTS_THT_LBLTS_E := put(DPSTS_THT_LBLTS_E, ""DPSTS_THT_LBLTS_E"")",FALSO,Put,,,
DB_DRVTV_E_1,DB_DRVTV_E_1_0,"/*Write the data set 'Derivatives (DRVTV_E)' to the data base*/DRVTV_E := put(DRVTV_E, ""DRVTV_E"")",FALSO,Put,,,
DB_ENTRPRS_SZ_PRVS_PRD_1,DB_ENTRPRS_SZ_PRVS_PRD_1_0,"/*Extract the content of the cube Enterprise size (previous period) (ENTRPRS_SZ_PRVS_PRD)' and store it in the data set named 'ENTRPRS_SZ_PRVS_PRD'*/ENTRPRS_SZ_PRVS_PRD := GT_CB_VLD_AT(""ENTRPRS_SZ_PRVS_PRD"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_EQTY_INSTRMNTS_NT_SCRTS_1,DB_EQTY_INSTRMNTS_NT_SCRTS_1_0,"/*Extract the content of the cube Equity instruments that are not securities (EQTY_INSTRMNTS_NT_SCRTS)' and store it in the data set named 'EQTY_INSTRMNTS_NT_SCRTS'*/EQTY_INSTRMNTS_NT_SCRTS := GT_CB_VLD_AT(""EQTY_INSTRMNTS_NT_SCRTS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_EQTY_INSTRMNTS_NT_SCRTS_E_1,DB_EQTY_INSTRMNTS_NT_SCRTS_E_1_0,"/*Write the data set 'Equity instruments that are not securities - enriched (EQTY_INSTRMNTS_NT_SCRTS_E)' to the data base*/EQTY_INSTRMNTS_NT_SCRTS_E := put(EQTY_INSTRMNTS_NT_SCRTS_E, ""EQTY_INSTRMNTS_NT_SCRTS_E"")",FALSO,Put,,,
DB_EQTY_SCRTS_E_1,DB_EQTY_SCRTS_E_1_0,"/*Write the data set 'Equity instruments (in the form of securities) - enriched (EQTY_SCRTS_E)' to the data base*/EQTY_SCRTS_E := put(EQTY_SCRTS_E, ""EQTY_SCRTS_E"")",FALSO,Put,,,
DB_EXTRNL_CRDT_ASSSSMNT_1,DB_EXTRNL_CRDT_ASSSSMNT_1_0,"/*Extract the content of the cube External credit assessments (EXTRNL_CRDT_ASSSSMNT)' and store it in the data set named 'EXTRNL_CRDT_ASSSSMNT'*/EXTRNL_CRDT_ASSSSMNT := GT_CB_VLD_AT(""EXTRNL_CRDT_ASSSSMNT"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_FCTRNG_1,DB_FCTRNG_1_0,"/*Extract the content of the cube Factoring (FCTRNG)' and store it in the data set named 'FCTRNG'*/FCTRNG := GT_CB_VLD_AT(""FCTRNG"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_FCTRNG_AXLRY_1,DB_FCTRNG_AXLRY_1_0,"/*Extract the content of the cube Factoring auxiliary (FCTRNG_AXLRY)' and store it in the data set named 'FCTRNG_AXLRY'*/FCTRNG_AXLRY := GT_CB_VLD_AT(""FCTRNG_AXLRY"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_FCTRNG_AXLRY_E_1,DB_FCTRNG_AXLRY_E_1_0,"/*Write the data set 'Factoring auxiliary - enriched (FCTRNG_AXLRY_E)' to the data base*/FCTRNG_AXLRY_E := put(FCTRNG_AXLRY_E, ""FCTRNG_AXLRY_E"")",FALSO,Put,,,
DB_FNNCL_GRNTS_GVN_1,DB_FNNCL_GRNTS_GVN_1_0,"/*Extract the content of the cube Financial guarantees given (FNNCL_GRNTS_GVN)' and store it in the data set named 'FNNCL_GRNTS_GVN'*/FNNCL_GRNTS_GVN := GT_CB_VLD_AT(""FNNCL_GRNTS_GVN"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_FNNCL_LSS_1,DB_FNNCL_LSS_1_0,"/*Extract the content of the cube Financial leases (FNNCL_LSS)' and store it in the data set named 'FNNCL_LSS'*/FNNCL_LSS := GT_CB_VLD_AT(""FNNCL_LSS"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_FNNCL_OPTN_1,DB_FNNCL_OPTN_1_0,"/*Extract the content of the cube Financial options (FNNCL_OPTN)' and store it in the data set named 'FNNCL_OPTN'*/FNNCL_OPTN := GT_CB_VLD_AT(""FNNCL_OPTN"", DT_RFRNC)",FALSO,Call to procedure,,,
DB_F_00_01_1,DB_F_00_01_1_0,"/*Write the data set 'Nature of Report (FINREP) (F_00_01)' to the data base*/F_00_01 := put(F_00_01, ""F_00_01"")",FALSO,Put,,,
DB_F_00_01_REF_1,DB_F_00_01_REF_1_0,"/*Write the data set 'Nature of Report (FINREP) - Reference (F_00_01_REF)' to the data base*/F_00_01_REF := put(F_00_01_REF, ""F_00_01_REF"")",FALSO,Put,,,
DB_F_01_01_1,DB_F_01_01_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Assets (F_01_01)' to the data base*/F_01_01 := put(F_01_01, ""F_01_01"")",FALSO,Put,,,
DB_F_01_01_REF_1,DB_F_01_01_REF_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Assets - Reference (F_01_01_REF)' to the data base*/F_01_01_REF := put(F_01_01_REF, ""F_01_01_REF"")",FALSO,Put,,,
DB_F_01_02_1,DB_F_01_02_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Liabilities (F_01_02)' to the data base*/F_01_02 := put(F_01_02, ""F_01_02"")",FALSO,Put,,,
DB_F_01_02_REF_1,DB_F_01_02_REF_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Liabilities - Reference (F_01_02_REF)' to the data base*/F_01_02_REF := put(F_01_02_REF, ""F_01_02_REF"")",FALSO,Put,,,
DB_F_01_03_1,DB_F_01_03_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Equity (F_01_03)' to the data base*/F_01_03 := put(F_01_03, ""F_01_03"")",FALSO,Put,,,
DB_F_01_03_REF_1,DB_F_01_03_REF_1_0,"/*Write the data set 'Balance Sheet Statement [Statement of Financial Position]: Equity - Reference (F_01_03_REF)' to the data base*/F_01_03_REF := put(F_01_03_REF, ""F_01_03_REF"")",FALSO,Put,,,
DB_F_02_00_1,DB_F_02_00_1_0,"/*Write the data set 'Statement of profit or loss (F_02_00)' to the data base*/F_02_00 := put(F_02_00, ""F_02_00"")",FALSO,Put,,,
DB_F_02_00_REF_1,DB_F_02_00_REF_1_0,"/*Write the data set 'Statement of profit or loss - Reference (F_02_00_REF)' to the data base*/F_02_00_REF := put(F_02_00_REF, ""F_02_00_REF"")",FALSO,Put,,,
DB_F_03_00_1,DB_F_03_00_1_0,"/*Write the data set 'Statement of comprehensive income (F_03_00)' to the data base*/F_03_00 := put(F_03_00, ""F_03_00"")",FALSO,Put,,,
DB_F_03_00_REF_1,DB_F_03_00_REF_1_0,"/*Write the data set 'Statement of comprehensive income - Reference (F_03_00_REF)' to the data base*/F_03_00_REF := put(F_03_00_REF, ""F_03_00_REF"")",FALSO,Put,,,
DB_F_04_01_1,DB_F_04_01_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets held for trading (F_04_01)' to the data base*/F_04_01 := put(F_04_01, ""F_04_01"")",FALSO,Put,,,
DB_F_04_01_REF_1,DB_F_04_01_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets held for trading - Reference (F_04_01_REF)' to the data base*/F_04_01_REF := put(F_04_01_REF, ""F_04_01_REF"")",FALSO,Put,,,
DB_F_04_02_1_1,DB_F_04_02_1_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: non-trading financial assets mandatorily at fair value through profit or loss (F_04_02_1)' to the data base*/F_04_02_1 := put(F_04_02_1, ""F_04_02_1"")",FALSO,Put,,,
DB_F_04_02_1_REF_1,DB_F_04_02_1_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: non-trading financial assets mandatorily at fair value through profit or loss - Reference (F_04_02_1_REF)' to the data base*/F_04_02_1_REF := put(F_04_02_1_REF, ""F_04_02_1_REF"")",FALSO,Put,,,
DB_F_04_02_2_1,DB_F_04_02_2_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets designated at fair value through profit or loss (F_04_02_2)' to the data base*/F_04_02_2 := put(F_04_02_2, ""F_04_02_2"")",FALSO,Put,,,
DB_F_04_02_2_REF_1,DB_F_04_02_2_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets designated at fair value through profit or loss - Reference (F_04_02_2_REF)' to the data base*/F_04_02_2_REF := put(F_04_02_2_REF, ""F_04_02_2_REF"")",FALSO,Put,,,
DB_F_04_03_1_1,DB_F_04_03_1_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income (F_04_03_1)' to the data base*/F_04_03_1 := put(F_04_03_1, ""F_04_03_1"")",FALSO,Put,,,
DB_F_04_03_1_REF_1,DB_F_04_03_1_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income - Reference (F_04_03_1_REF)' to the data base*/F_04_03_1_REF := put(F_04_03_1_REF, ""F_04_03_1_REF"")",FALSO,Put,,,
DB_F_04_04_1_1,DB_F_04_04_1_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets at amortised cost (F_04_04_1)' to the data base*/F_04_04_1 := put(F_04_04_1, ""F_04_04_1"")",FALSO,Put,,,
DB_F_04_04_1_REF_1,DB_F_04_04_1_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: financial assets at amortised cost - Reference (F_04_04_1_REF)' to the data base*/F_04_04_1_REF := put(F_04_04_1_REF, ""F_04_04_1_REF"")",FALSO,Put,,,
DB_F_04_05_1,DB_F_04_05_1_0,"/*Write the data set 'Subordinated financial assets (F_04_05)' to the data base*/F_04_05 := put(F_04_05, ""F_04_05"")",FALSO,Put,,,
DB_F_04_05_REF_1,DB_F_04_05_REF_1_0,"/*Write the data set 'Subordinated financial assets - Reference (F_04_05_REF)' to the data base*/F_04_05_REF := put(F_04_05_REF, ""F_04_05_REF"")",FALSO,Put,,,
DB_F_04_06_1,DB_F_04_06_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: trading financial assets (F_04_06)' to the data base*/F_04_06 := put(F_04_06, ""F_04_06"")",FALSO,Put,,,
DB_F_04_06_REF_1,DB_F_04_06_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: trading financial assets - Reference (F_04_06_REF)' to the data base*/F_04_06_REF := put(F_04_06_REF, ""F_04_06_REF"")",FALSO,Put,,,
DB_F_04_07_1,DB_F_04_07_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss (F_04_07)' to the data base*/F_04_07 := put(F_04_07, ""F_04_07"")",FALSO,Put,,,
DB_F_04_07_REF_1,DB_F_04_07_REF_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss - Reference (F_04_07_REF)' to the data base*/F_04_07_REF := put(F_04_07_REF, ""F_04_07_REF"")",FALSO,Put,,,
DB_F_04_08_1,DB_F_04_08_1_0,"/*Write the data set 'Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity (F_04_08)' to the data base*/F_04_08 := put(F_04_08, ""F_04_08"")",FALSO,Put,,,
