ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CNTRCT_ID,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,INSTRMNT_ID,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_ACCMLTD_WRTFFS,NEVS_PRFRMNG_STTS,NEVS_RCGNTN_STTS
,2500.0,0.0,6,,CCNTR_51,1247500.0,2017-01-14,2017-01-14,8,1,23,CINSTR_51,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,,1000000000.0,,150000.0,C_ACCMLTD_WRTFFS_INSTRMNT,,,,,,,I_ACCMLTD_WRTFFS_INSTRMNT,0,0,0,,0,0,0,-5,0,0,0,0,-5,,1,,3,,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_53,1134.31,,2014-12-01,8,2,23,CINSTR_53,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_54,1134.31,,2014-12-01,8,2,23,CINSTR_54,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,,270000.0,,1000000000.0,C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,,,,,,,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,0,0,0,,0,0,0,-5,0,0,0,0,-5,,1,,3,,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_56,1134.31,,2014-12-01,8,2,23,CINSTR_56,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,1000000000.0,0.0,6,,C_ACCMLTD_IMPRMNT_INSTRMNT,68965500.0,2018-03-15,2018-03-15,8,1,23,I_ACCMLTD_IMPRMNT_INSTRMNT,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,CCNTR_58,68965500.0,2018-03-15,2018-03-15,8,1,23,CINSTR_58,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,CCNTR_59,68965500.0,2018-03-15,2018-03-15,8,1,23,CINSTR_59,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_IG0020,164935.04,2019-03-28,2019-03-28,8,2,23,I_IG0020,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
0.0,10000.0,0.0,10,0.0,C_DT_END_INTRST_ONLY,0.0,2013-01-01,2016-06-01,8,2,21,I_DT_END_INTRST_ONLY,,,,,,,,,,,,,,1,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
0.0,0.0,0.0,10,0.0,C_DT_LGL_FNL_MTRTY,0.0,,2016-06-01,8,1,21,I_DT_LGL_FNL_MTRTY,,,,,,0,,,,,,,,1,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
0.0,0.0,0.0,10,0.0,C_IG0070,0.0,,2016-06-01,8,1,21,I_IG0070,,,,,,0,,,,,,,,1,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,2500.0,0.0,6,,C_CN0620,1247500.0,2017-01-14,2017-01-14,8,1,23,I_CN0620,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,CCNTR_65,834912.5,2017-11-16,2017-11-16,8,1,23,CINSTR_65,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,2500.0,0.0,6,,CCNTR_66,1247500.0,2017-01-14,2017-01-14,8,1,23,CINSTR_66,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,2500.0,0.0,6,,CCNTR_67,1247500.0,2017-01-14,2017-01-14,8,1,23,CINSTR_67,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,34500.0,0.0,6,,CCNTR_68,68965500.0,2018-03-15,2018-03-15,8,1,23,CINSTR_68,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
,17000.0,0.0,6,,C_THRD_PRTY_PRRTY_CLMS,834912.5,2017-11-16,2017-11-16,8,1,23,I_THRD_PRTY_PRRTY_CLMS,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
1000000000.0,10000.0,0.0,10,0.0,C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,0.0,2013-01-01,2016-06-01,8,2,21,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,,,,,,,,,,,1,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,14,,CCNTR_71,2860897.67,2019-02-28,2019-02-28,8,2,23,CINSTR_71,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA30,2019-09-30,,,
-1000000000.0,10000.0,0.0,10,0.0,C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,0.0,2013-01-01,2016-06-01,8,2,21,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,,,,,,,,,,,1,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,C_PRTCTN_ALLCTD_VL,99214.58,2019-03-28,2019-03-28,8,2,23,I_PRTCTN_ALLCTD_VL,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,0.0,0.0,6,,CCNTR_74,99214.58,2019-03-28,2019-03-28,8,2,23,CINSTR_74,0,,,0,,,,,,,,,,2,11,0.0,1,1,EEAS_OA30,2019-09-30,,,
,,1000.0,10,,C_IG0040,1000.0,,,,,,I_IG0040,0,0,,0,,-5,0,0,0,0,0,0,0,,1,,1,,EEAS_OA30,2019-09-30,,,
