ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,CNTRCT_ID,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,INSTRMNT_ID,NEVS_ACCRD_INTRST,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_ANNLSD_AGRD_RT,NEVS_DT_NXT_INTRST_RT_RST,NEVS_ARRRS
1000.0,0.02,0.0,C_CN0240_ER1,14,2018-08-01,2017-06-01,,I_CN0240_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0250_ER1,14,2016-08-01,2017-06-01,2017-04-30,I_CN0250_ER1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0270_OK1,14,2016-08-01,2017-06-01,2017-02-28,I_CN0270_OK1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0270_ER2,14,2016-08-01,2017-06-01,2017-02-28,I_CN0270_ER2,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0270_OK2,14,2016-08-01,2017-06-01,2017-02-28,I_CN0270_OK2,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0280_ER1,20,2016-08-01,2017-06-01,,I_CN0280_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0290_ER1,14,2017-03-01,2017-06-01,,I_CN0290_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0290_ER2,14,2017-03-01,2017-06-01,,I_CN0290_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0290_OK1,14,2017-03-01,2017-06-01,,I_CN0290_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0310_ER1,20,2016-08-01,2017-06-01,2017-02-28,I_CN0310_ER1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0310_OK1,20,2016-08-01,2017-06-01,2017-02-28,I_CN0310_OK1,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0320_ER1,14,2016-08-01,2017-06-01,,I_CN0320_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0330_ER1,14,2016-08-01,2017-06-01,,I_CN0330_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0400_ER1,14,2016-08-01,2017-06-01,,I_CN0400_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0410_ER1,14,2016-08-01,2017-06-01,,I_CN0410_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0420_ER1,14,2016-08-01,2017-06-01,,I_CN0420_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0420_ER2,14,2016-08-01,2017-06-01,,I_CN0420_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0420_OK1,14,2016-08-01,2017-06-01,,I_CN0420_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0470_ER1,14,2016-08-01,2017-06-01,,I_CN0470_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0510_ER1,14,2016-08-01,2017-06-01,,I_CN0510_ER1,,,,0,,50000.0,1000000,0,6,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0520_ER1,14,2016-08-01,2017-06-01,,I_CN0520_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0520_OK1,14,2016-08-01,2017-06-01,,I_CN0520_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0520_OK2,14,2016-08-01,2017-06-01,,I_CN0520_OK2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0530_ER1,14,2016-08-01,2017-06-01,,I_CN0530_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0530_OK1,14,2016-08-01,2017-06-01,,I_CN0530_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0530_OK2,14,2016-08-01,2017-06-01,,I_CN0530_OK2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0540_ER1,14,2016-08-01,2017-06-01,,I_CN0540_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0590_ER1,14,2016-08-01,2017-06-01,,I_CN0590_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0620_ER1,14,2016-08-01,2017-06-01,,I_CN0620_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0620_OK1,14,2016-08-01,2017-06-01,,I_CN0620_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0621_ER1,14,2016-08-01,2017-06-01,,I_CN0621_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0622_ER1,14,2016-08-01,2017-06-01,,I_CN0622_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0630_ER1,14,2016-08-01,2017-06-01,,I_CN0630_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0640_ER1,14,2017-03-01,2017-06-01,,I_CN0640_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0640_OK1,14,2017-03-01,2017-06-01,,I_CN0640_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0640_OK2,14,2017-03-01,2017-06-01,,I_CN0640_OK2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0660_ER1,14,2016-08-01,2017-06-01,,I_CN0660_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0661_ER1,14,2017-03-01,2017-06-01,,I_CN0661_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0661_OK1,14,2017-03-01,2017-06-01,,I_CN0661_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
0.0,0.02,0.0,C_CN0700_ER1,14,2016-08-01,2017-06-01,,I_CN0700_ER1,,,,0,,0.0,0,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0700_OK1,14,2016-08-01,2017-06-01,,I_CN0700_OK1,,,,0,,0.0,0,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0700_OK2,14,2016-08-01,2017-06-01,,I_CN0700_OK2,,,,0,,50000.0,0,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0701_ER1,14,2016-08-01,2017-06-01,,I_CN0701_ER1,,,,0,,50000.0,0,10000,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0702_ER1,14,2016-08-01,2017-06-01,,I_CN0702_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0703_ER1,14,2016-08-01,2017-06-01,,I_CN0703_ER1,,,,0,,0.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0801_ER1,14,2016-08-01,2017-06-01,,I_CN0801_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0801_OK1,14,2016-08-01,2017-06-01,,I_CN0801_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0802_ER1,14,2017-03-01,2017-06-01,,I_CN0802_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0802_OK1,14,2017-03-01,2017-06-01,,I_CN0802_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0804_ER1,14,2017-03-01,2017-06-01,,I_CN0804_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0804_OK1,14,2017-03-01,2017-06-01,,I_CN0804_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0805_ER1,14,2017-03-01,2017-06-01,,I_CN0805_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0805_ER2,14,2017-03-01,2017-06-01,,I_CN0805_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0805_OK1,14,2017-03-01,2017-06-01,,I_CN0805_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0806_ER1,14,2017-03-01,2017-06-01,,I_CN0806_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0806_ER2,14,2017-03-01,2017-06-01,,I_CN0806_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0806_OK1,14,2017-03-01,2017-06-01,,I_CN0806_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0807_ER1,14,2017-03-01,2017-06-01,,I_CN0807_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0807_ER2,14,2017-03-01,2017-06-01,,I_CN0807_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0807_OK1,14,2017-03-01,2017-06-01,,I_CN0807_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0808_ER1,14,2017-03-01,2017-06-01,,I_CN0808_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0808_OK1,14,2017-03-01,2017-06-01,,I_CN0808_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0808_OK2,14,2017-03-01,2017-06-01,,I_CN0808_OK2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0808_OK3,14,2017-03-01,2017-06-01,,I_CN0808_OK3,,,,0,0,,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0809_ER1,14,2017-03-01,2017-06-01,,I_CN0809_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0809_ER2,14,2017-03-01,2017-06-01,,I_CN0809_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0809_OK1,14,2017-03-01,2017-06-01,,I_CN0809_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0810_ER1,14,2017-03-01,2017-06-01,,I_CN0810_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0810_OK1,14,2017-03-01,2017-06-01,,I_CN0810_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0811_ER1,14,2017-03-01,2017-06-01,,I_CN0811_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0811_OK1,14,2017-03-01,2017-06-01,,I_CN0811_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0812_ER1,14,2017-03-01,2017-06-01,,I_CN0812_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0812_OK1,14,2017-03-01,2017-06-01,,I_CN0812_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0813_ER1,14,2017-03-01,2017-06-01,,I_CN0813_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0813_ER2,14,2017-03-01,2017-06-01,,I_CN0813_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0813_OK1,14,2017-03-01,2017-06-01,,I_CN0813_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0814_ER1,14,2016-08-01,2017-06-01,,I_CN0814_ER1,,,,0,,0.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0816_ER1,14,2016-08-01,2017-06-01,,I_CN0816_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0821_ER1,14,2016-08-01,2017-06-01,,I_CN0821_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0821_OK1,14,2016-08-01,2017-06-01,,I_CN0821_OK1,,,,0,0,,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0825_ER1,14,2016-08-01,2017-06-01,,I_CN0825_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0831_ER1,14,2016-08-01,2017-06-01,,I_CN0831_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0832_ER1,14,,2017-06-01,,I_CN0832_ER1,,,0,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0832_ER2,14,2016-08-01,2017-06-01,,I_CN0832_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0832_ER3,,2016-08-01,2017-06-01,,I_CN0832_ER3,,0,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0832_ER4,,2016-08-01,2017-06-01,,I_CN0832_ER4,,0,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0835_ER1,14,2016-08-01,2017-06-01,,I_CN0835_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0836_ER1,14,2016-08-01,2017-06-01,,I_CN0836_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0836_OK1,14,2016-08-01,2017-06-01,,I_CN0836_OK1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0845_ER1,14,2016-08-01,2017-06-01,,I_CN0845_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,1000000.0,C_CN0845_ER2,20,2016-08-01,2017-06-01,2017-02-28,I_CN0845_ER2,,,,,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0847_ER1,14,2016-08-01,2017-06-01,,I_CN0847_ER1,,,,0,,50000.0,0,0,6,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0848_ER1,14,2016-08-01,2017-06-01,,I_CN0848_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0848_ER2,14,2016-08-01,2017-06-01,,I_CN0848_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0848_ER3,14,2016-08-01,2017-06-01,,I_CN0848_ER3,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0852_ER1,14,2016-08-01,2017-06-01,,I_CN0852_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0865_ER1,14,2016-08-01,2017-06-01,,I_CN0865_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0868_ER1,14,2016-08-01,2017-06-01,,I_CN0868_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0875_ER1,14,2016-08-01,2017-06-01,,I_CN0875_ER1,,,,0,0,,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0876_ER1,14,2016-08-01,2017-06-01,,I_CN0876_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
,0.02,0.0,C_CN0901_ER1,14,2016-08-01,2017-06-01,,I_CN0901_ER1,0,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0913_ER1,14,2016-08-01,2017-06-01,,I_CN0913_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0913_ER2,14,2016-08-01,2017-06-01,,I_CN0913_ER2,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0914_ER1,14,2016-08-01,2017-06-01,,I_CN0914_ER1,,,,0,0,,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0541_ER1,14,2016-08-01,2017-06-01,,I_CN0541_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0551_ER1,14,2016-08-01,2017-06-01,,I_CN0551_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0920_ER1,14,2016-08-01,2017-06-01,,I_CN0920_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0925_ER1,14,2016-08-01,2017-06-01,,I_CN0925_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0930_ER1,14,2016-08-01,2017-06-01,,I_CN0930_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0935_ER1,14,2016-08-01,2017-06-01,,I_CN0935_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0940_ER1,14,2016-08-01,2017-06-01,,I_CN0940_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0945_ER1,14,2016-08-01,2017-06-01,,I_CN0945_ER1,,,,0,0,,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0950_ER1,14,2016-08-01,2017-06-01,,I_CN0950_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
1000.0,0.02,0.0,C_CN0960_ER1,14,2016-08-01,2017-06-01,,I_CN0960_ER1,,,,0,,50000.0,1000000,0,7,EEAS_OA26,2017-03-31,,,,,,
