TIME_PERIOD,FREQ,contract_id,O,V
2018-09-01,M,id30,7578,357
2018-09-01,M,id31,40,2366
2018-08-01,M,id0,7402,6219
2018-08-01,M,id1,7155,7899
2018-08-01,M,id2,3574,8668
2018-08-01,M,id3,6093,4581
2018-08-01,M,id4,7250,582
2018-08-01,M,id5,9377,1987
2018-08-01,M,id6,904,1291
2018-08-01,M,id7,6121,3413
2018-08-01,M,id8,389,2684
2018-08-01,M,id9,1289,4139
2018-08-01,M,id10,4610,8810
2018-08-01,M,id11,9437,8189
2018-08-01,M,id12,8549,5094
2018-08-01,M,id13,719,6790
2018-08-01,M,id14,1653,8230
2018-08-01,M,id15,1741,8646
2018-08-01,M,id16,5875,2135
2018-08-01,M,id17,9122,4422
2018-08-01,M,id18,8997,2958
2018-08-01,M,id19,8958,991
2018-08-01,M,id20,3992,6119
2018-08-01,M,id21,6470,7019
2018-08-01,M,id22,6925,3468
2018-08-01,M,id23,3112,2928
2018-08-01,M,id24,5766,3825
2018-08-01,M,id25,9266,8957
2018-08-01,M,id26,9602,8918
2018-08-01,M,id27,5091,6943
2018-08-01,M,id28,5724,8520
2018-08-01,M,id29,2779,4439
2018-08-01,M,id30,6723,166
2018-08-01,M,id31,4806,3806
2018-07-01,M,id0,5162,8474
2018-07-01,M,id1,635,9518
2018-07-01,M,id2,4760,7932
2018-07-01,M,id3,7090,7323
2018-07-01,M,id4,7050,6561
2018-07-01,M,id5,2222,9784
2018-07-01,M,id6,3395,1560
2018-07-01,M,id7,1415,3255
2018-07-01,M,id8,8599,5875
2018-07-01,M,id9,5819,6989
2018-07-01,M,id10,8262,4994
2018-07-01,M,id11,7651,8816
2018-07-01,M,id12,1446,419
2018-07-01,M,id13,3373,1837
2018-07-01,M,id14,9480,1169
2018-07-01,M,id15,2998,3098
2018-07-01,M,id16,7545,7609
2018-07-01,M,id17,5556,7065
2018-07-01,M,id18,1754,923
2018-07-01,M,id19,8027,3256
2018-07-01,M,id20,336,7396
2018-07-01,M,id21,4544,8825
2018-07-01,M,id22,610,6292
2018-07-01,M,id23,1403,9207
2018-07-01,M,id24,1929,7933
2018-07-01,M,id25,3366,9463
2018-07-01,M,id26,7186,1354
2018-07-01,M,id27,2321,3767
2018-07-01,M,id28,1864,2490
2018-07-01,M,id29,3510,2467
2018-07-01,M,id30,264,2465
2018-07-01,M,id31,8681,5414
2018-06-01,M,id0,6526,6821
2018-06-01,M,id1,7474,5632
2018-06-01,M,id2,2533,2395
2018-06-01,M,id3,8291,9747
2018-06-01,M,id4,1491,1344
2018-06-01,M,id5,2524,1641
2018-06-01,M,id6,9871,3267
2018-06-01,M,id7,4540,9594
2018-06-01,M,id8,2148,9402
2018-06-01,M,id9,1479,3861
2018-06-01,M,id10,4375,9343
2018-06-01,M,id11,121,6117
2018-06-01,M,id12,7396,7309
2018-06-01,M,id13,5165,2527
2018-06-01,M,id14,2110,6750
2018-06-01,M,id15,9795,9712
2018-06-01,M,id16,1402,156
2018-06-01,M,id17,4821,419
2018-06-01,M,id18,2119,496
2018-06-01,M,id19,9113,4811
2018-06-01,M,id20,9206,8683
2018-06-01,M,id21,8465,9912
2018-06-01,M,id22,1517,8262
2018-06-01,M,id23,7052,6636
2018-06-01,M,id24,4448,7415
2018-06-01,M,id25,3799,5561
2018-06-01,M,id26,5028,6369
2018-06-01,M,id27,1478,4632
2018-06-01,M,id28,9971,569
2018-06-01,M,id29,7897,101
2018-06-01,M,id30,5079,4905
2018-06-01,M,id31,1788,654
2018-05-01,M,id0,8782,4831
2018-05-01,M,id1,6076,1900
2018-05-01,M,id2,5557,4086
2018-05-01,M,id3,6777,1170
2018-05-01,M,id4,4236,8445
2018-05-01,M,id5,6542,2991
2018-05-01,M,id6,415,3050
2018-05-01,M,id7,2571,2123
2018-05-01,M,id8,3724,1500
2018-05-01,M,id9,4806,2643
2018-05-01,M,id10,2045,7634
2018-05-01,M,id11,7625,6842
2018-05-01,M,id12,7660,4481
2018-05-01,M,id13,7436,3075
2018-05-01,M,id14,495,8611
2018-05-01,M,id15,4130,5199
2018-05-01,M,id16,0,2336
2018-05-01,M,id17,9546,1958
2018-05-01,M,id18,5231,626
2018-05-01,M,id19,1176,9134
2018-05-01,M,id20,1484,4601
2018-05-01,M,id21,4863,5390
2018-05-01,M,id22,7678,9031
2018-05-01,M,id23,759,4125
2018-05-01,M,id24,7972,6838
2018-05-01,M,id25,3825,504
2018-05-01,M,id26,8284,8277
2018-05-01,M,id27,8359,5585
2018-05-01,M,id28,2792,4415
2018-05-01,M,id29,2690,2562
2018-05-01,M,id30,7409,5324
2018-05-01,M,id31,1037,7245
2018-04-01,M,id0,7132,4238
2018-04-01,M,id1,796,1630
2018-04-01,M,id2,579,7273
2018-04-01,M,id3,5644,7401
2018-04-01,M,id4,884,8431
2018-04-01,M,id5,3911,2472
2018-04-01,M,id6,5018,7303
2018-04-01,M,id7,2584,4768
2018-04-01,M,id8,7777,2914
2018-04-01,M,id9,876,2931
2018-04-01,M,id10,2626,8451
2018-04-01,M,id11,3511,3543
2018-04-01,M,id12,8949,2347
2018-04-01,M,id13,8836,6025
2018-04-01,M,id14,7837,6934
2018-04-01,M,id15,996,5452
2018-04-01,M,id16,4538,1276
2018-04-01,M,id17,8738,6013
2018-04-01,M,id18,1495,7049
2018-04-01,M,id19,146,440
2018-04-01,M,id20,3383,5585
2018-04-01,M,id21,6012,5852
2018-04-01,M,id22,2276,6750
2018-04-01,M,id23,602,8121
2018-04-01,M,id24,5823,7485
2018-04-01,M,id25,1300,6572
2018-04-01,M,id26,6103,3973
2018-04-01,M,id27,592,2888
2018-04-01,M,id28,8891,7085
2018-04-01,M,id29,9568,1346
2018-04-01,M,id30,5280,2297
2018-04-01,M,id31,5098,9888
2018-03-01,M,id0,2596,1314
2018-03-01,M,id1,2478,2259
2018-03-01,M,id2,6801,8091
2018-03-01,M,id3,511,8739
2018-03-01,M,id4,9761,2389
2018-03-01,M,id5,2719,9588
2018-03-01,M,id6,9517,5579
2018-03-01,M,id7,7511,6325
2018-03-01,M,id8,1678,7050
2018-03-01,M,id9,6877,5333
2018-03-01,M,id10,9186,2752
2018-03-01,M,id11,7315,3431
2018-03-01,M,id12,2358,8909
2018-03-01,M,id13,6678,8571
2018-03-01,M,id14,9636,2353
2018-03-01,M,id15,5010,902
2018-03-01,M,id16,5233,6363
2018-03-01,M,id17,8496,1953
2018-03-01,M,id18,427,1571
2018-03-01,M,id19,7800,2296
2018-03-01,M,id20,1489,5639
2018-03-01,M,id21,693,6448
2018-03-01,M,id22,5816,8080
2018-03-01,M,id23,4254,6794
2018-03-01,M,id24,555,8549
2018-03-01,M,id25,1236,7118
2018-03-01,M,id26,951,5036
2018-03-01,M,id27,9902,75
2018-03-01,M,id28,966,9432
2018-03-01,M,id29,5108,4474
2018-03-01,M,id30,1357,9704
2018-03-01,M,id31,7503,821
2018-02-01,M,id0,2357,2857
2018-02-01,M,id1,8064,6297
2018-02-01,M,id2,6310,2651
2018-02-01,M,id3,8876,7641
2018-02-01,M,id4,6486,9047
2018-02-01,M,id5,6490,1696
2018-02-01,M,id6,8610,2390
2018-02-01,M,id7,1423,7722
2018-02-01,M,id8,1150,6196
2018-02-01,M,id9,1028,6998
2018-02-01,M,id10,4936,5243
2018-02-01,M,id11,8389,2608
2018-02-01,M,id12,4836,5641
2018-02-01,M,id13,5566,8726
2018-02-01,M,id14,7217,324
2018-02-01,M,id15,753,8595
2018-02-01,M,id16,9984,6956
2018-02-01,M,id17,3191,2608
2018-02-01,M,id18,1477,1295
2018-02-01,M,id19,7282,4878
2018-02-01,M,id20,6422,6745
2018-02-01,M,id21,2382,5233
2018-02-01,M,id22,5103,2773
2018-02-01,M,id23,7498,560
2018-02-01,M,id24,4547,188
2018-02-01,M,id25,2022,2305
2018-02-01,M,id26,8450,6482
2018-02-01,M,id27,8871,1111
2018-02-01,M,id28,352,4890
2018-02-01,M,id29,2993,1996
2018-02-01,M,id30,8707,3089
2018-02-01,M,id31,3194,1885
2018-01-01,M,id0,2419,8672
2018-01-01,M,id1,7493,5366
2018-01-01,M,id2,8528,2369
2018-01-01,M,id3,4778,7884
2018-01-01,M,id4,197,6186
2018-01-01,M,id5,4336,2404
2018-01-01,M,id6,5779,3942
2018-01-01,M,id7,6762,3457
2018-01-01,M,id8,3615,6319
2018-01-01,M,id9,1535,8108
2018-01-01,M,id10,3473,747
2018-01-01,M,id11,3164,8293
2018-01-01,M,id12,7370,1128
2018-01-01,M,id13,2110,3125
2018-01-01,M,id14,1480,7941
2018-01-01,M,id15,5263,5464
2018-01-01,M,id16,2458,758
2018-01-01,M,id17,328,8136
2018-01-01,M,id18,8634,6189
2018-01-01,M,id19,6717,9019
2018-01-01,M,id20,4153,5372
2018-01-01,M,id21,5393,560
2018-01-01,M,id22,9886,2722
2018-01-01,M,id23,3024,6051
2018-01-01,M,id24,9738,3210
2018-01-01,M,id25,1972,5374
2018-01-01,M,id26,3262,4821
2018-01-01,M,id27,4923,331
2018-01-01,M,id28,8102,5424
2018-01-01,M,id29,4664,110
2018-01-01,M,id30,7100,8236
2018-01-01,M,id31,2196,7604
2017-12-01,M,id0,3673,495
2017-12-01,M,id1,3494,4704
2017-12-01,M,id2,3021,9338
2017-12-01,M,id3,3428,1443
2017-12-01,M,id4,1931,1618
2017-12-01,M,id5,2297,4382
2017-12-01,M,id6,3773,5321
2017-12-01,M,id7,1309,839
2017-12-01,M,id8,1779,6688
2017-12-01,M,id9,7713,2130
2017-12-01,M,id10,6318,2390
2017-12-01,M,id11,3415,2540
2017-12-01,M,id12,4278,3922
2017-12-01,M,id13,1147,4985
2017-12-01,M,id14,1461,4268
2017-12-01,M,id15,9616,6617
2017-12-01,M,id16,5139,7285
2017-12-01,M,id17,775,5881
2017-12-01,M,id18,678,6554
2017-12-01,M,id19,1193,8615
2017-12-01,M,id20,9255,227
2017-12-01,M,id21,8440,4897
2017-12-01,M,id22,8922,9261
2017-12-01,M,id23,5563,9305
2017-12-01,M,id24,7956,3834
2017-12-01,M,id25,3538,5067
2017-12-01,M,id26,8697,5460
2017-12-01,M,id27,2688,2798
2017-12-01,M,id28,1633,8929
2017-12-01,M,id29,3776,3538
2017-12-01,M,id30,3657,8460
2017-12-01,M,id31,1777,7555
2017-11-01,M,id0,5756,4816
2017-11-01,M,id1,5956,1627
2017-11-01,M,id2,4994,3120
2017-11-01,M,id3,7748,3451
2017-11-01,M,id4,5600,4805
2017-11-01,M,id5,6282,6515
2017-11-01,M,id6,8009,3017
2017-11-01,M,id7,878,6636
2017-11-01,M,id8,198,1230
2017-11-01,M,id9,5411,7700
2017-11-01,M,id10,3185,6514
2017-11-01,M,id11,5086,1141
2017-11-01,M,id12,3278,9040
2017-11-01,M,id13,9079,6246
2017-11-01,M,id14,1268,3747
2017-11-01,M,id15,76,1733
2017-11-01,M,id16,7026,3161
2017-11-01,M,id17,4071,7003
2017-11-01,M,id18,8326,4013
2017-11-01,M,id19,8655,5195
2017-11-01,M,id20,3124,242
2017-11-01,M,id21,926,7437
2017-11-01,M,id22,4812,2981
2017-11-01,M,id23,8072,6660
2017-11-01,M,id24,1332,8864
2017-11-01,M,id25,6210,1540
2017-11-01,M,id26,8801,7825
2017-11-01,M,id27,7175,3214
2017-11-01,M,id28,8389,7227
2017-11-01,M,id29,9413,184
2017-11-01,M,id30,2594,9113
2017-11-01,M,id31,9897,3355
2017-10-01,M,id0,288,7599
2017-10-01,M,id1,249,6648
2017-10-01,M,id2,8718,7981
2017-10-01,M,id3,301,5052
2017-10-01,M,id4,370,1344
2017-10-01,M,id5,1626,5536
2017-10-01,M,id6,7145,1415
2017-10-01,M,id7,1976,5631
2017-10-01,M,id8,6971,9054
2017-10-01,M,id9,5896,5244
2017-10-01,M,id10,3066,2358
2017-10-01,M,id11,1351,1719
2017-10-01,M,id12,9218,5691
2017-10-01,M,id13,3912,678
2017-10-01,M,id14,6674,7383
2017-10-01,M,id15,8173,3066
2017-10-01,M,id16,9424,1419
2017-10-01,M,id17,5746,7194
2017-10-01,M,id18,4915,5928
2017-10-01,M,id19,7683,4531
2017-10-01,M,id20,6028,3430
2017-10-01,M,id21,1923,8859
2017-10-01,M,id22,5823,5558
2017-10-01,M,id23,7794,3434
2017-10-01,M,id24,745,2463
2017-10-01,M,id25,8093,5787
2017-10-01,M,id26,8772,2880
2017-10-01,M,id27,3487,7966
2017-10-01,M,id28,4424,9079
2017-10-01,M,id29,2414,7498
2017-10-01,M,id30,1799,6738
2017-10-01,M,id31,5337,3912
2017-09-01,M,id0,3402,6086
2017-09-01,M,id1,2417,5895
2017-09-01,M,id2,9024,3559
2017-09-01,M,id3,3001,5969
2017-09-01,M,id4,6677,9415
2017-09-01,M,id5,5971,1776
2017-09-01,M,id6,6918,5799
2017-09-01,M,id7,8550,897
2017-09-01,M,id8,2655,3244
2017-09-01,M,id9,1893,1531
2017-09-01,M,id10,3449,6830
2017-09-01,M,id11,3521,8694
2017-09-01,M,id12,6579,7635
2017-09-01,M,id13,6748,8898
2017-09-01,M,id14,3369,8233
2017-09-01,M,id15,9477,4094
2017-09-01,M,id16,9087,240
2017-09-01,M,id17,8489,396
2017-09-01,M,id18,3709,6799
2017-09-01,M,id19,4579,6437
2017-09-01,M,id20,6941,3614
2017-09-01,M,id21,8949,6013
2017-09-01,M,id22,5021,3508
2017-09-01,M,id23,8194,3509
2017-09-01,M,id24,5111,4901
2017-09-01,M,id25,8561,5771
2017-09-01,M,id26,7357,524
2017-09-01,M,id27,993,1072
2017-09-01,M,id28,3670,8732
2017-09-01,M,id29,1725,7814
2017-09-01,M,id30,2499,1848
2017-09-01,M,id31,1711,8163
2017-08-01,M,id0,8348,8395
2017-08-01,M,id1,3607,2148
2017-08-01,M,id2,7761,1616
2017-08-01,M,id3,8895,7411
2017-08-01,M,id4,8160,5336
2017-08-01,M,id5,9444,9759
2017-08-01,M,id6,3476,6876
2017-08-01,M,id7,6324,5790
2017-08-01,M,id8,1007,2224
2017-08-01,M,id9,7466,4606
2017-08-01,M,id10,3610,2727
2017-08-01,M,id11,5348,3358
2017-08-01,M,id12,6597,7371
2017-08-01,M,id13,3777,7537
2017-08-01,M,id14,6579,4043
2017-08-01,M,id15,3648,927
2017-08-01,M,id16,8376,6379
2017-08-01,M,id17,4324,9514
2017-08-01,M,id18,6672,1713
2017-08-01,M,id19,398,1036
2017-08-01,M,id20,8836,9666
2017-08-01,M,id21,9705,8158
2017-08-01,M,id22,866,474
2017-08-01,M,id23,5987,2669
2017-08-01,M,id24,8415,8080
2017-08-01,M,id25,7835,8806
2017-08-01,M,id26,5126,4066
2017-08-01,M,id27,5357,2691
2017-08-01,M,id28,2239,2333
2017-08-01,M,id29,8300,2635
2017-08-01,M,id30,4133,3434
2017-08-01,M,id31,653,9733
2017-07-01,M,id0,4070,8072
2017-07-01,M,id1,7775,4131
2017-07-01,M,id2,9828,4470
2017-07-01,M,id3,9856,823
2017-07-01,M,id4,689,1880
2017-07-01,M,id5,5779,5524
2017-07-01,M,id6,9105,8328
2017-07-01,M,id7,7535,7674
2017-07-01,M,id8,9858,4815
2017-07-01,M,id9,4669,3441
2017-07-01,M,id10,5261,8555
2017-07-01,M,id11,9658,8260
2017-07-01,M,id12,6616,3102
2017-07-01,M,id13,9614,4349
2017-07-01,M,id14,1289,3473
2017-07-01,M,id15,4558,3925
2017-07-01,M,id16,4954,7421
2017-07-01,M,id17,1627,2060
2017-07-01,M,id18,4769,8169
2017-07-01,M,id19,91,1542
2017-07-01,M,id20,986,4184
2017-07-01,M,id21,8963,1988
2017-07-01,M,id22,1705,9968
2017-07-01,M,id23,9819,2203
2017-07-01,M,id24,4607,1350
2017-07-01,M,id25,3422,4907
2017-07-01,M,id26,8860,5702
2017-07-01,M,id27,9390,7418
2017-07-01,M,id28,8804,7196
2017-07-01,M,id29,4966,8738
2017-07-01,M,id30,7808,7103
2017-07-01,M,id31,5971,6378
2017-06-01,M,id0,5877,6679
2017-06-01,M,id1,4225,4085
2017-06-01,M,id2,950,5517
2017-06-01,M,id3,1644,7943
2017-06-01,M,id4,6586,6444
2017-06-01,M,id5,9674,9549
2017-06-01,M,id6,7535,2845
2017-06-01,M,id7,4043,4117
2017-06-01,M,id8,3365,4413
2017-06-01,M,id9,1745,3427
2017-06-01,M,id10,2728,9363
2017-06-01,M,id11,7363,4345
2017-06-01,M,id12,5185,2829
2017-06-01,M,id13,3437,2835
2017-06-01,M,id14,3529,4896
2017-06-01,M,id15,6563,5729
2017-06-01,M,id16,2118,3090
2017-06-01,M,id17,2550,6185
2017-06-01,M,id18,4172,277
2017-06-01,M,id19,7336,2105
2017-06-01,M,id20,4344,8590
2017-06-01,M,id21,9452,715
2017-06-01,M,id22,7481,1421
2017-06-01,M,id23,2452,125
2017-06-01,M,id24,4569,6869
2017-06-01,M,id25,9260,3196
2017-06-01,M,id26,6355,1694
2017-06-01,M,id27,1468,3700
2017-06-01,M,id28,7597,7958
2017-06-01,M,id29,9969,5842
2017-06-01,M,id30,9757,7492
2017-06-01,M,id31,5955,3541
2017-05-01,M,id0,8214,9964
2017-05-01,M,id1,178,3536
2017-05-01,M,id2,5968,2369
2017-05-01,M,id3,2656,4866
2017-05-01,M,id4,9169,8677
2017-05-01,M,id5,2844,8610
2017-05-01,M,id6,8441,6807
2017-05-01,M,id7,1545,5081
2017-05-01,M,id8,5042,3976
2017-05-01,M,id9,1318,9400
2017-05-01,M,id10,9437,9713
2017-05-01,M,id11,6391,2757
2017-05-01,M,id12,6749,834
2017-05-01,M,id13,9425,5059
2017-05-01,M,id14,5894,6807
2017-05-01,M,id15,4755,9877
2017-05-01,M,id16,4816,3685
2017-05-01,M,id17,235,5968
2017-05-01,M,id18,4995,4556
2017-05-01,M,id19,531,9650
2017-05-01,M,id20,8276,2245
2017-05-01,M,id21,7070,7365
2017-05-01,M,id22,6605,964
2017-05-01,M,id23,9774,3358
2017-05-01,M,id24,895,4393
2017-05-01,M,id25,3235,7874
2017-05-01,M,id26,801,686
2017-05-01,M,id27,2109,2078
2017-05-01,M,id28,9562,1945
2017-05-01,M,id29,1643,863
2017-05-01,M,id30,2946,1483
2017-05-01,M,id31,8400,5507
2017-04-01,M,id0,6882,8715
2017-04-01,M,id1,5360,515
2017-04-01,M,id2,7783,3251
2017-04-01,M,id3,6170,2432
2017-04-01,M,id4,1159,3278
2017-04-01,M,id5,7453,2682
2017-04-01,M,id6,5271,7127
2017-04-01,M,id7,8739,9293
2017-04-01,M,id8,6424,3041
2017-04-01,M,id9,574,2292
2017-04-01,M,id10,6082,6175
2017-04-01,M,id11,4217,6974
2017-04-01,M,id12,8801,5702
2017-04-01,M,id13,7020,2431
2017-04-01,M,id14,7912,5658
2017-04-01,M,id15,5391,6402
2017-04-01,M,id16,3910,4156
2017-04-01,M,id17,9221,7107
2017-04-01,M,id18,7506,3357
2017-04-01,M,id19,3305,412
2017-04-01,M,id20,2048,2447
2017-04-01,M,id21,1088,8143
2017-04-01,M,id22,1331,2314
2017-04-01,M,id23,8844,5794
2017-04-01,M,id24,9002,5733
2017-04-01,M,id25,9519,797
2017-04-01,M,id26,5302,2531
2017-04-01,M,id27,7185,5568
2017-04-01,M,id28,6434,5710
2017-04-01,M,id29,8179,5970
2017-04-01,M,id30,8076,8244
2017-04-01,M,id31,2447,1715
2017-03-01,M,id0,4401,8893
2017-03-01,M,id1,8097,3279
2017-03-01,M,id2,631,2959
2017-03-01,M,id3,6940,6361
2017-03-01,M,id4,668,2100
2017-03-01,M,id5,5359,5580
2017-03-01,M,id6,5061,4032
2017-03-01,M,id7,2725,9435
2017-03-01,M,id8,7301,9838
2017-03-01,M,id9,1975,5365
2017-03-01,M,id10,2821,9079
2017-03-01,M,id11,4629,314
2017-03-01,M,id12,1169,9474
2017-03-01,M,id13,6495,3530
2017-03-01,M,id14,4542,8438
2017-03-01,M,id15,1693,1655
2017-03-01,M,id16,7573,4370
2017-03-01,M,id17,5395,8111
2017-03-01,M,id18,1222,2397
2017-03-01,M,id19,364,7569
2017-03-01,M,id20,4301,6729
2017-03-01,M,id21,4148,9313
2017-03-01,M,id22,4309,2582
2017-03-01,M,id23,6443,2285
2017-03-01,M,id24,5722,2778
2017-03-01,M,id25,2196,5764
2017-03-01,M,id26,7933,7044
2017-03-01,M,id27,6245,1242
2017-03-01,M,id28,8701,1936
2017-03-01,M,id29,9189,8112
2017-03-01,M,id30,9056,8128
2017-03-01,M,id31,9821,2114
