ADJUSTMENT,DATAFLOW,DERIVATION,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,CONF_STATUS,DECIMALS,EMBARGO_TIME,OBS_STATUS,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,FREQ_2
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M6,F,2,,A,110.13,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M7,F,2,,A,110.76,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M8,F,2,,A,111.39,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M9,F,2,,A,109.13,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M10,F,2,,A,110.17,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M11,F,2,,A,109.69,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M12,F,2,,A,110.18,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M1,F,2,,A,112.49,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M2,F,2,,A,113.34,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M3,F,2,,A,115.18,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M4,F,2,,A,116.79,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M5,F,2,,A,117.59,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M6,F,2,,A,119.62,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M7,F,2,,A,121.52,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M8,F,2,,A,122.7,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M9,F,2,,A,120.86,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M10,F,2,,A,124.4,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M11,F,2,,A,126.29,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022M12,F,2,,A,126.88,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M1,F,2,,A,126.68,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M2,F,2,,A,129.27,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M3,F,2,,A,128.71,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M4,F,2,,A,131.83,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M5,F,2,,A,132.78,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M6,F,2,,A,128.7,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M7,F,2,,A,129.32,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M8,F,2,,A,130.75,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M9,F,2,,A,131.6,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M10,F,2,,A,128.66,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M11,F,2,,A,130.62,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020M12,F,2,,A,128.76,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M1,F,2,,A,128.95,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M2,F,2,,A,133.39,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M3,F,2,,A,132.21,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M4,F,2,,A,133.92,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M5,F,2,,A,136.3,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M6,F,2,,A,131.04,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M7,F,2,,A,131.94,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M8,F,2,,A,134.79,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M9,F,2,,A,138.48,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M10,F,2,,A,132.94,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M11,F,2,,A,136.97,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021M12,F,2,,A,133.96,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M1,F,2,,A,133.67,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M2,F,2,,A,138.04,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M3,F,2,,A,136.2,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M4,F,2,,A,137.97,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M5,F,2,,A,140.97,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M6,F,2,,A,138.95,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M7,F,2,,A,138.21,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M8,F,2,,A,142.17,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M9,F,2,,A,148.04,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M10,F,2,,A,141.14,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M11,F,2,,A,147.45,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022M12,F,2,,A,144.31,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M1,F,2,,A,105.13,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M2,F,2,,A,104.59,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M3,F,2,,A,104.67,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M4,F,2,,A,104.54,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M5,F,2,,A,104.57,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M6,F,2,,A,104.64,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M7,F,2,,A,104.55,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M8,F,2,,A,104.69,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M9,F,2,,A,104.98,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M10,F,2,,A,105.03,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M11,F,2,,A,105.03,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020M12,F,2,,A,104.69,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M1,F,2,,A,104.69,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M2,F,2,,A,104.69,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M3,F,2,,A,104.92,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M4,F,2,,A,104.96,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M5,F,2,,A,105.05,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M6,F,2,,A,105.05,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M7,F,2,,A,105.06,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M8,F,2,,A,104.99,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M9,F,2,,A,105.21,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M10,F,2,,A,105.33,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M11,F,2,,A,105.45,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021M12,F,2,,A,105.54,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M1,F,2,,A,105.54,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M2,F,2,,A,105.96,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M3,F,2,,A,106.11,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M4,F,2,,A,104.96,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M5,F,2,,A,104.36,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M6,F,2,,A,103.64,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M7,F,2,,A,103.66,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M8,F,2,,A,105.07,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M9,F,2,,A,108.38,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M10,F,2,,A,109.98,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M11,F,2,,A,112.01,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022M12,F,2,,A,112.82,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M1,F,2,,A,109.28,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M2,F,2,,A,108.62,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M3,F,2,,A,108.4,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M4,F,2,,A,107.45,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M5,F,2,,A,107.03,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M6,F,2,,A,107.02,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M7,F,2,,A,106.52,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M8,F,2,,A,106.57,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M9,F,2,,A,106.53,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M10,F,2,,A,107.53,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M11,F,2,,A,107.38,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020M12,F,2,,A,107.37,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M1,F,2,,A,107.85,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M2,F,2,,A,108.43,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M3,F,2,,A,108.94,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M4,F,2,,A,109.07,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M5,F,2,,A,109.7,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M6,F,2,,A,110.94,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M7,F,2,,A,112.55,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M8,F,2,,A,114.14,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M9,F,2,,A,114.73,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M10,F,2,,A,120.6,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M11,F,2,,A,127.38,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021M12,F,2,,A,126.92,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M1,F,2,,A,136.93,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M2,F,2,,A,137.97,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M3,F,2,,A,135.98,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M4,F,2,,A,135.48,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M5,F,2,,A,137.03,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M6,F,2,,A,137.16,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M7,F,2,,A,138.09,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M8,F,2,,A,142.61,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M9,F,2,,A,150.88,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M10,F,2,,A,161.49,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M11,F,2,,A,154.01,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022M12,F,2,,A,152.96,IX,0,False
