ADJUSTMENT,DATAFLOW,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,OBS_VALUE
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M12,126.88
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M01,126.68
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M02,129.27
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M03,128.71
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M04,131.83
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M05,132.78
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M06,128.7
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M07,129.32
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M08,130.75
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M09,131.6
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M10,128.66
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M11,130.62
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020-M12,128.76
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M01,128.95
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M02,133.39
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M03,132.21
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M04,133.92
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M05,136.3
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M06,131.04
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M07,131.94
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M08,134.79
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M09,138.48
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M10,132.94
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M11,136.97
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021-M12,133.96
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M01,133.67
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M02,138.04
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M03,136.2
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M04,137.97
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M05,140.97
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M06,138.95
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M07,138.21
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M08,142.17
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M09,148.04
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M10,141.14
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M11,147.45
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2022-M12,144.31
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M01,105.13
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M02,104.59
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M03,104.67
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M04,104.54
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M05,104.57
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M06,104.64
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M07,104.55
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M08,104.69
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M09,104.98
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M10,105.03
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M11,105.03
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020-M12,104.69
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M01,104.69
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M02,104.69
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M03,104.92
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M04,104.96
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M05,105.05
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M06,105.05
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M07,105.06
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M08,104.99
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M09,105.21
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M10,105.33
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M11,105.45
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021-M12,105.54
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M01,105.54
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M02,105.96
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M03,106.11
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M04,104.96
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M05,104.36
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M06,103.64
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M07,103.66
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M08,105.07
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M09,108.38
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M10,109.98
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M11,112.01
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2022-M12,112.82
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M01,109.28
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M02,108.62
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M03,108.4
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M04,107.45
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M05,107.03
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M06,107.02
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M07,106.52
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M08,106.57
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M09,106.53
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M10,107.53
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M11,107.38
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020-M12,107.37
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M01,107.85
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M02,108.43
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M03,108.94
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M04,109.07
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M05,109.7
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M06,110.94
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M07,112.55
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M08,114.14
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M09,114.73
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M10,120.6
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M11,127.38
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021-M12,126.92
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M01,136.93
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M02,137.97
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M03,135.98
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M04,135.48
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M05,137.03
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M06,137.16
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M07,138.09
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M08,142.61
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M09,150.88
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M10,161.49
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M11,154.01
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2022-M12,152.96
