ADJUSTMENT,DATAFLOW,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,DERIVATION,CURRENT,PREVIOUS,GROWTH
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M1,GROWTH_RATE,126.68,128.95,-1.7603722373012658
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M2,GROWTH_RATE,129.27,133.39,-3.0886873078941273
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M3,GROWTH_RATE,128.71,132.21,-2.647303532259284
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M4,GROWTH_RATE,131.83,133.92,-1.5606332138590018
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M5,GROWTH_RATE,132.78,136.3,-2.5825385179750624
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M6,GROWTH_RATE,128.7,131.04,-1.7857142857142885
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M7,GROWTH_RATE,129.32,131.94,-1.9857510989843903
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M8,GROWTH_RATE,130.75,134.79,-2.9972549892425198
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M9,GROWTH_RATE,131.6,138.48,-4.968226458694393
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M10,GROWTH_RATE,128.66,132.94,-3.2194975176771488
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M11,GROWTH_RATE,130.62,136.97,-4.636051690151124
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2020M12,GROWTH_RATE,128.76,133.96,-3.8817557479844855
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M1,GROWTH_RATE,128.95,133.67,-3.5310840128675087
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M2,GROWTH_RATE,133.39,138.04,-3.3685888148362833
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M3,GROWTH_RATE,132.21,136.2,-2.9295154185021888
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M4,GROWTH_RATE,133.92,137.97,-2.9354207436399298
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M5,GROWTH_RATE,136.3,140.97,-3.3127615804781065
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M6,GROWTH_RATE,131.04,138.95,-5.692695214105791
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M7,GROWTH_RATE,131.94,138.21,-4.536574777512488
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M8,GROWTH_RATE,134.79,142.17,-5.190968558767669
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M9,GROWTH_RATE,138.48,148.04,-6.457714131315863
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M10,GROWTH_RATE,132.94,141.14,-5.809834207170178
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M11,GROWTH_RATE,136.97,147.45,-7.107494065785006
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,2,BE,2021M12,GROWTH_RATE,133.96,144.31,-7.172060148291867
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M1,GROWTH_RATE,105.13,104.69,0.42028847072308506
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M2,GROWTH_RATE,104.59,104.69,-0.0955201069825144
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M3,GROWTH_RATE,104.67,104.92,-0.2382767823103317
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M4,GROWTH_RATE,104.54,104.96,-0.40015243902437836
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M5,GROWTH_RATE,104.57,105.05,-0.45692527367920416
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M6,GROWTH_RATE,104.64,105.05,-0.3902903379343138
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M7,GROWTH_RATE,104.55,105.06,-0.4854368932038884
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M8,GROWTH_RATE,104.69,104.99,-0.2857414991903964
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M9,GROWTH_RATE,104.98,105.21,-0.21861039825110712
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M10,GROWTH_RATE,105.03,105.33,-0.28481913984619495
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M11,GROWTH_RATE,105.03,105.45,-0.39829302987197884
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2020M12,GROWTH_RATE,104.69,105.54,-0.8053818457456969
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M1,GROWTH_RATE,104.69,105.54,-0.8053818457456969
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M2,GROWTH_RATE,104.69,105.96,-1.1985654964137373
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M3,GROWTH_RATE,104.92,106.11,-1.1214777118084984
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M4,GROWTH_RATE,104.96,104.96,0.0
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M5,GROWTH_RATE,105.05,104.36,0.6611728631659618
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M6,GROWTH_RATE,105.05,103.64,1.3604785796989547
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M7,GROWTH_RATE,105.06,103.66,1.3505691684352747
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M8,GROWTH_RATE,104.99,105.07,-0.07613971637955487
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M9,GROWTH_RATE,105.21,108.38,-2.924893891861969
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M10,GROWTH_RATE,105.33,109.98,-4.22804146208402
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M11,GROWTH_RATE,105.45,112.01,-5.856619944647801
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,3,BE,2021M12,GROWTH_RATE,105.54,112.82,-6.452756603439096
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M1,GROWTH_RATE,109.28,107.85,1.325915623551235
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M2,GROWTH_RATE,108.62,108.43,0.17522825786221316
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M3,GROWTH_RATE,108.4,108.94,-0.49568569854965305
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M4,GROWTH_RATE,107.45,109.07,-1.4852846795635744
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M5,GROWTH_RATE,107.03,109.7,-2.4339106654512324
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M6,GROWTH_RATE,107.02,110.94,-3.5334414999098627
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M7,GROWTH_RATE,106.52,112.55,-5.357618836072858
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M8,GROWTH_RATE,106.57,114.14,-6.632206062729987
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M9,GROWTH_RATE,106.53,114.73,-7.147215200906479
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M10,GROWTH_RATE,107.53,120.6,-10.837479270315086
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M11,GROWTH_RATE,107.38,127.38,-15.701051970482022
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2020M12,GROWTH_RATE,107.37,126.92,-15.403403718878032
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M1,GROWTH_RATE,107.85,136.93,-21.237128459796985
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M2,GROWTH_RATE,108.43,137.97,-21.41045154743784
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M3,GROWTH_RATE,108.94,135.98,-19.885277246653914
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M4,GROWTH_RATE,109.07,135.48,-19.493652199586652
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M5,GROWTH_RATE,109.7,137.03,-19.9445376924761
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M6,GROWTH_RATE,110.94,137.16,-19.11636045494313
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M7,GROWTH_RATE,112.55,138.09,-18.495184300094145
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M8,GROWTH_RATE,114.14,142.61,-19.96353691886965
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M9,GROWTH_RATE,114.73,150.88,-23.95943796394485
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M10,GROWTH_RATE,120.6,161.49,-25.320453278840805
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M11,GROWTH_RATE,127.38,154.01,-17.291084994480876
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,4,BE,2021M12,GROWTH_RATE,126.92,152.96,-17.024058577405864
