CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,CD0020,CD0030,CD0060,ruleid,errorcode,errorlevel
2D_ONA_OK,2019-06-30,JLA_null_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
2D_ONA_null,2019-06-30,JLA_0_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,,0,7,False,False,False,CT0300,CT0300,2.0
2D_ONA_0,2019-06-30,JLA_0_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,0.0,0,7,False,False,False,CT0300,CT0300,2.0
2D_ONA_OK,2019-06-30,JLA_0_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_smaller_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_equal_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_greater_1,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_null,2019-06-30,JLA_null_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_0,2019-06-30,JLA_null_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,0.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_null_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_null,2019-06-30,JLA_0_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_0,2019-06-30,JLA_0_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,0.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_0_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_smaller_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_equal_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
3D_ONA_OK,2019-06-30,JLA_greater_all,AT_Bank,1000,0.02,0,14,2016-08-01,2017-06-01,,,,,,,,,,,,,50000,1000000.0,0,7,False,False,False,CT0300,CT0300,2.0
