CNTRCT_ID,INSTRMNT_ID,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,RECL_PSTL_CD,NEVS_TYP_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,RECL_CNTRY,NEVS_TYP_PRTCTN,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VLTN_APPRCH,RECL_TRRTRL_UNT,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_PRTCTN_VL
C_CN0811_ER1,I_CN0811_ER1,100000,P_CN0811_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0811_OK1,I_CN0811_OK1,100000,P_CN0811_OK1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0812_ER1,I_CN0812_ER1,100000,P_CN0812_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0812_OK1,I_CN0812_OK1,100000,P_CN0812_OK1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0813_ER1,I_CN0813_ER1,100000,P_CN0813_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0813_ER2,I_CN0813_ER2,100000,P_CN0813_ER2,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0813_OK1,I_CN0813_OK1,100000,P_CN0813_OK1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0831_ER1,I_CN0831_ER1,100000,P_CN0831_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,0,300000.0,ITTS_ENT_40,200000.0,1,,8,1,,,,,,,,,,,,
C_CN0847_ER1,I_CN0847_ER1,100000,P_CN0847_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,4,1,,,,,,,,,,,,
C_CN0868_ER1,I_CN0868_ER1,300000,P_CN0868_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,,300000.0,ITTS_ENT_40,200000.0,1,DEA11,10,1,,,,,,,,,,,,
C_CN0960_ER1,I_CN0960_ER1,100000,P_CN0960_ER1,20000,AT_Bank,2019-06-30,,,2021-07-01,2016-12-01,2017-04-01,0,0,0,0,300000.0,ITTS_ENT_40,200000.0,1,,10,1,,,,,,,,,,,,
