CNTRCT_ID,DT_RFRNC,DBTR_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,CRDTR_ID,DT_END_INTRST_ONLY,DT_INCPTN,DT_PST_D,DT_LGL_FNL_MTRTY
2D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_smaller_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_equal_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_greater_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_null,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_null,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_0,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_smaller_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_equal_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_greater_all,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
