CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,int_var,ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_OTSTNDNG_NMNL_AMNT,NEVS_TRNSFRRD_AMNT,NEVS_TYP_SCRTSTN,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN
C_CY0110,2019-09-30,LUKEUFBDHF3988,I_CY0110,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0010b,2019-09-30,LV40003229974,I_IG0010b,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0011b,2019-09-30,AT0000073932459,I_IG0011b,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_IG0012b,2019-09-30,FR433378981,I_IG0012b,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
CCNTR_34,2019-09-30,EEAS_ENT07,CINSTR_34,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
CCNTR_35,2019-09-30,EEAS_ENT07,CINSTR_35,EEAS_OA30,1,0.0,0.0852,22500.0,14,2019-09-25,,2019-09-27,,,,,,0,,,,,,2250000.0,22500.0,0.0,7
C_CN0945,2019-09-30,ITTS_ENT_61,I_CN0945,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2019-10-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_CN0950,2019-09-30,ITTS_ENT_61,I_CN0950,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2019-11-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_CN0960a,2019-09-30,ITTS_ENT_61,I_CN0960a,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2220-05-10,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,1,1000000000.0,0.027000000000000003,0.0,,,2020-11-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_41,2019-09-30,ITTS_ENT_61,CINSTR_41,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2021-11-06,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_42,2019-09-30,ITTS_ENT_61,CINSTR_42,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2025-12-15,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_43,2019-09-30,ITTS_ENT_61,CINSTR_43,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_44,2019-09-30,ITTS_ENT_61,CINSTR_44,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2031-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_48,2019-09-30,ITTS_ENT_61,CINSTR_48,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_49,2019-09-30,ITTS_ENT_61,CINSTR_49,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
CCNTR_50,2019-09-30,EEAS_ENT02,CINSTR_50,EEAS_OA30,1,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
CCNTR_51,2019-09-30,DEB5DXO,CINSTR_51,EEAS_OA30,1,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,1200000.0,1
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,1,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7
CCNTR_53,2019-09-30,EEAS_ENT04,CINSTR_53,EEAS_OA30,1,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
CCNTR_54,2019-09-30,EEAS_ENT04,CINSTR_54,EEAS_OA30,1,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,1,,,,,,,,0,0,-5,0,0,0,0,0,,-5,,,0.0,,7
CCNTR_56,2019-09-30,EEAS_ENT04,CINSTR_56,EEAS_OA30,1,0.0,0.0,0.0,14,2014-12-01,,,,,,,,0,0,0,,,,,1134.31,0.0,7
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_DT_END_INTRST_ONLY,EEAS_OA30,1,1000.0,0.02,1000.0,14,2016-02-01,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,0.0,7
C_CN0620,2019-09-30,DEB5DXO,I_CN0620,EEAS_OA30,1,3750.0,0.0375,0.0,,,,,,,,0,0,0,0,0,,,,,1200000.0,50000.0,1
CCNTR_65,2019-09-30,ITTS_ENT_61,CINSTR_65,EEAS_OA30,1,1912.5,0.027000000000000003,0.0,,,2020-01-05,,,,,0,0,,0,0,,,,,850000.0,1.0,7
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1,1000.0,0.02,1000.0,14,2019-02-28,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,5000.0,7
CCNTR_71,2019-09-30,EEAS_ENT02,CINSTR_71,EEAS_OA30,1,0.0,0.0,0.0,14,2019-02-28,,,,,,,,0,0,0,,,,,2860897.67,0.0,7
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEAS_ENT02,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,1,1000.0,0.02,1000.0,14,2019-02-28,2020-12-01,2013-01-01,,,,,,,,,,,,50000.0,1000000.0,5000.0,7
C_IG0040,2019-09-30,DEAKENT,I_IG0040,EEAS_OA30,1,0.0,0.03,,,,,,,,0,0,0,0,0,,,,,0.0,5000.0,50.0,7
