CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS,DT_MTRTY_PRTCTN,DT_ORGNL_PRTCTN_VL,DT_PRTCTN_VL,NEVS_DT_MTRTY_PRTCTN,NEVS_DT_ORGNL_PRTCTN_VL,NEVS_DT_PRTCTN_VL,NEVS_ORGNL_PRTCTN_VL,NEVS_PRTCTN_PRVDR_CD,NEVS_PRTCTN_VL,NEVS_PRTCTN_VLTN_APPRCH,NEVS_RECL_CNTRY,NEVS_RECL_PSTL_CD,NEVS_RECL_TRRTRL_UNT,NEVS_RL_ESTT_CLLTRL_LCTN,NEVS_TYP_PRTCTN,NEVS_TYP_PRTCTN_VL,ORGNL_PRTCTN_VL,PRTCTN_PRVDR_CD,PRTCTN_VL,PRTCTN_VLTN_APPRCH,RECL_CNTRY,RECL_PSTL_CD,RECL_TRRTRL_UNT,RL_ESTT_CLLTRL_LCTN,TYP_PRTCTN,TYP_PRTCTN_VL,CD0050,CD0060
C_CN0811_ER1,2017-03-31,I_CN0811_ER1,EEAS_OA26,P_CN0811_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0811_OK1,2017-03-31,I_CN0811_OK1,EEAS_OA26,P_CN0811_OK1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0812_ER1,2017-03-31,I_CN0812_ER1,EEAS_OA26,P_CN0812_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0812_OK1,2017-03-31,I_CN0812_OK1,EEAS_OA26,P_CN0812_OK1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0813_ER1,2017-03-31,I_CN0813_ER1,EEAS_OA26,P_CN0813_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0813_ER2,2017-03-31,I_CN0813_ER2,EEAS_OA26,P_CN0813_ER2,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0813_OK1,2017-03-31,I_CN0813_OK1,EEAS_OA26,P_CN0813_OK1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0831_ER1,2017-03-31,I_CN0831_ER1,EEAS_OA26,P_CN0831_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,0,,,300000.0,ITTS_ENT_40,200000.0,1,,,,,8,1,True,False
C_CN0847_ER1,2017-03-31,I_CN0847_ER1,EEAS_OA26,P_CN0847_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,4,1,True,False
C_CN0868_ER1,2017-03-31,I_CN0868_ER1,EEAS_OA26,P_CN0868_ER1,,,300000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,,,,300000.0,ITTS_ENT_40,200000.0,1,,,,DEA11,10,1,True,False
C_CN0960_ER1,2017-03-31,I_CN0960_ER1,EEAS_OA26,P_CN0960_ER1,,,100000,20000,2021-07-01,2016-12-01,2017-04-01,,,,,,,,,,,0,,,300000.0,ITTS_ENT_40,200000.0,1,,,,,10,1,True,False
