CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DFLT_STTS_INSTRMNT,NEVS_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS_INSTRMNT,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD,ACCNTNG_FRMWRK_SL,ANCRDT_DRGTN_QRTR_CR_OA,ANNL_TRNVR,BLNC_SHT_TTL,CNTRY,CTY,DT_BRTH,DT_ENTRPRS_SZ,DT_INTTN_LGL_PRCDNGS,ECNMC_ACTVTY,ENTRPRS_SZ,HD_OFFC_UNDRT_CD,HD_OFFC_UNDRT_CNTRY,IMMDT_PRNT_UNDRT_CD,INSTTTNL_SCTR,INSTTTNL_SCTR_DTL,LEI,LGL_FRM,LGL_PRCDNG_STTS,NMBR_EMPLYS,NM_ENTTY,PSTL_CD,SSMSIGNIFICANCE,STRT,TRRTRL_UNT,ULTMT_PRNT_UNDRT_CD
C_IG0012,2019-09-30,LV40003817773,I_IG0012,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0090,2019-09-30,ESB66706714,I_IG0090,EEAS_OA30,14,,2019-09-25,,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0190a,2019-09-30,EEAS_ENT07,I_IG0190a,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0190b,2019-09-30,EEAS_ENT07,I_IG0190b,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CY0110,2019-09-30,LUKEUFBDHF3988,I_CY0110,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0010b,2019-09-30,LV40003229974,I_IG0010b,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0011b,2019-09-30,AT0000073932459,I_IG0011b,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0012b,2019-09-30,FR433378981,I_IG0012b,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_34,2019-09-30,EEAS_ENT07,CINSTR_34,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_35,2019-09-30,EEAS_ENT07,CINSTR_35,EEAS_OA30,14,,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0945,2019-09-30,ITTS_ENT_61,I_CN0945,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0950,2019-09-30,ITTS_ENT_61,I_CN0950,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0960a,2019-09-30,ITTS_ENT_61,I_CN0960a,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_DT_NXT_INTRST_RT_RST,2019-09-30,ITTS_ENT_61,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_ACCRD_INTRST_INSTRMNT,2019-09-30,ITTS_ENT_61,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_41,2019-09-30,ITTS_ENT_61,CINSTR_41,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_42,2019-09-30,ITTS_ENT_61,CINSTR_42,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_43,2019-09-30,ITTS_ENT_61,CINSTR_43,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_44,2019-09-30,ITTS_ENT_61,CINSTR_44,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_48,2019-09-30,ITTS_ENT_61,CINSTR_48,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_49,2019-09-30,ITTS_ENT_61,CINSTR_49,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_50,2019-09-30,EEAS_ENT02,CINSTR_50,EEAS_OA30,14,,2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_51,2019-09-30,DEB5DXO,CINSTR_51,EEAS_OA30,,0,,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_ACCMLTD_WRTFFS_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,,0,,0,19,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_53,2019-09-30,EEAS_ENT04,CINSTR_53,EEAS_OA30,14,,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_54,2019-09-30,EEAS_ENT04,CINSTR_54,EEAS_OA30,14,,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,,0,,0,19,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_56,2019-09-30,EEAS_ENT04,CINSTR_56,EEAS_OA30,14,,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_DT_END_INTRST_ONLY,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_DT_END_INTRST_ONLY,EEAS_OA30,14,,2016-02-01,,19,1900-01-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0620,2019-09-30,DEB5DXO,I_CN0620,EEAS_OA30,,0,,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_65,2019-09-30,ITTS_ENT_61,CINSTR_65,EEAS_OA30,,0,,0,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEE_DT_DFLT_STTS_ENTTY,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,14,,2019-02-28,,19,1900-01-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNTR_71,2019-09-30,EEAS_ENT02,CINSTR_71,EEAS_OA30,14,,2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEAS_ENT02,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,14,,2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_IG0040,2019-09-30,DEAKENT,I_IG0040,EEAS_OA30,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
