CNTRCT_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,CMMTMNT_INCPTN,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_CRRNCY_DNMNTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FDCRY,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_PRPS,NEVS_PYMNT_FRQNCY,NEVS_RCRS,NEVS_RFRNC_RT,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_SYNDCTD_CNTRCT_ID,NEVS_TYP_AMRTSTN,NEVS_TYP_INSTRMNT,NEVS_TYP_INTRST_RT,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,SYNDCTD_CNTRCT_ID,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT
C_IG0011,I_IG0011,EEAS_OA30,2250000.0,EUR,,2019-09-25,2020-04-21,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0012,I_IG0012,EEAS_OA30,2250000.0,EUR,,2019-09-25,2020-10-31,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0090,I_IG0090,EEAS_OA30,2250000.0,EUR,,2019-09-25,2021-07-17,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0190a,I_IG0190a,EEAS_OA30,2250000.0,EUR,,2019-09-25,2021-12-07,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,2
C_IG0190b,I_IG0190b,EEAS_OA30,2250000.0,EUR,,2019-09-25,2022-12-07,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,71,1
C_CY0110,I_CY0110,EEAS_OA30,2250000.0,EUR,,2019-09-25,2025-11-20,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0010b,I_IG0010b,EEAS_OA30,2250000.0,EUR,,2019-09-25,2030-02-26,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0011b,I_IG0011b,EEAS_OA30,2250000.0,EUR,,2019-09-25,2035-10-02,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0012b,I_IG0012b,EEAS_OA30,2250000.0,EUR,,2019-09-25,2041-09-29,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
CCNTR_34,CINSTR_34,EEAS_OA30,2250000.0,EUR,,2019-09-25,2059-09-24,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
CCNTR_35,CINSTR_35,EEAS_OA30,2250000.0,EUR,,2019-09-25,2070-09-25,,2,,,,,,,,0,,,0,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_CN0945,I_CN0945,EEAS_OA30,,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,0,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_CN0950,I_CN0950,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_CN0960a,I_CN0960a,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_DT_NXT_INTRST_RT_RST,I_DT_NXT_INTRST_RT_RST,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_ACCRD_INTRST_INSTRMNT,I_ACCRD_INTRST_INSTRMNT,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_41,CINSTR_41,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_42,CINSTR_42,EEAS_OA30,1000000.0,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_43,CINSTR_43,EEAS_OA30,1000000.0,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_44,CINSTR_44,EEAS_OA30,1000000.0,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_CN0960b,I_CN0960b,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
CCNTR_46,CINSTR_46,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
CCNTR_47,CINSTR_47,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
CCNTR_48,CINSTR_48,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_49,CINSTR_49,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_50,CINSTR_50,EEAS_OA30,,EUR,,2019-02-28,,2019-02-28,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_51,CINSTR_51,EEAS_OA30,1500000.0,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,2,13,8,1,,2,2,,3,1004,1
C_ACCMLTD_WRTFFS_INSTRMNT,I_ACCMLTD_WRTFFS_INSTRMNT,EEAS_OA30,1000000.0,EUR,,2015-06-12,2018-06-30,2015-06-30,2,,,,,0.04,,,0,,,,,0,0,0,0,,,,,,,,,0,,,,2,11,8,1,136,2,2,,3,1004,2
CCNTR_53,CINSTR_53,EEAS_OA30,,EUR,,2014-12-01,,2014-12-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
CCNTR_54,CINSTR_54,EEAS_OA30,,EUR,,2014-12-01,,2014-12-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,1000000.0,EUR,,2015-06-12,2018-06-30,2015-06-30,2,,,,,0.04,,,0,,,,,0,0,0,0,,,,,,,,,0,,,,2,11,8,1,136,2,2,,3,1004,2
CCNTR_56,CINSTR_56,EEAS_OA30,,EUR,,2014-12-01,,2014-12-01,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_ACCMLTD_IMPRMNT_INSTRMNT,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
CCNTR_58,CINSTR_58,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
CCNTR_59,CINSTR_59,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
C_IG0020,I_IG0020,EEAS_OA30,185000.0,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_DT_END_INTRST_ONLY,I_DT_END_INTRST_ONLY,EEAS_OA30,2222.0,EUR,2210-01-02,2010-01-01,2020-12-31,2010-01-01,2,,0.2,0.001,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,11,8,2,55,2,2,,5,1004,2
C_DT_LGL_FNL_MTRTY,I_DT_LGL_FNL_MTRTY,EEAS_OA30,2000000.0,EUR,,2016-01-01,2220-12-31,2016-01-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2
C_IG0070,I_IG0070,EEAS_OA30,2000000.0,EUR,,2016-01-01,2020-12-31,2016-01-01,2,0.0,0.1,0.01,8,0.02,,,0,,,,,,,,,,,,,,,,,0,,,,2,9,1,2,100,2,2,,3,1004,2
C_CN0620,I_CN0620,EEAS_OA30,1500000.0,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,2,13,8,1,,2,2,,3,1004,1
CCNTR_65,CINSTR_65,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
CCNTR_66,CINSTR_66,EEAS_OA30,1500000.0,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,2,13,8,1,,2,2,,3,1004,1
CCNTR_67,CINSTR_67,EEAS_OA30,1500000.0,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,2,13,8,1,,2,2,,3,1004,1
CCNTR_68,CINSTR_68,EEAS_OA30,72000000.0,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,0.05,,,0.035,,,0,,,,,0,,0,0,,,,,,,,,0,,,,2,8,8,2,136,2,2,,3,1004,2
C_THRD_PRTY_PRRTY_CLMS,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,1000000.0,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,0.042,0.025,1,0.024,,,0,,,,,0,,,,,,,,,,,,0,,,,2,8,8,1,136,2,2,,3,1004,2
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,2222.0,EUR,2016-11-30,2010-01-01,2020-12-31,2010-01-01,2,,0.2,0.001,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,11,8,2,55,2,2,,5,1004,2
CCNTR_71,CINSTR_71,EEAS_OA30,,EUR,,2019-02-28,,2019-02-28,2,,,,,,0,,0,,0,,,0,0,0,0,0,,,,,0,,,0,,,,2,11,15,2,,1,2,,5,1000,1
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,2222.0,EUR,2016-11-30,2010-01-01,2020-12-31,2010-01-01,2,,0.2,0.001,8,0.02,,,,,,,,,,,,,,,,,,,,0,,,,2,11,8,2,55,2,2,,5,1004,2
C_PRTCTN_ALLCTD_VL,I_PRTCTN_ALLCTD_VL,EEAS_OA30,185000.0,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
CCNTR_74,CINSTR_74,EEAS_OA30,185000.0,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,,,,,,,0,,,,,0,0,0,0,0,,,,,0,,,0,,,,1,8,4,2,,2,2,,4,1002,1
C_IG0040,I_IG0040,EEAS_OA30,23000.0,EUR,,2017-09-11,2021-03-13,2017-09-11,2,,,,,,,,0,,,,,,0,0,0,0,,,,,0,,,0,,,,2,11,4,1,,2,2,,3,1004,1
