CNTRCT_ID,CNT_3PPC,DT_RFRNC,INSTRMNT_ID,MX_3PPC,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,NMBR_INSTRMNT_SCRD,OBSRVD_AGNT_CD,PRTCTN_ALLCTD_VL,PRTCTN_ID,THRD_PRTY_PRRTY_CLMS
CCNTR_74,3,2019-09-30,CINSTR_74,,,,6,EEAS_OA30,200.0,GUA_4,0
CCNTR_74,4,2019-09-30,CINSTR_74,,,,6,EEAS_OA30,100.0,GUA_5,0
CCNTR_74,3,2019-09-30,CINSTR_74,,,,6,EEAS_OA30,200.0,G_PRTCTN_ALLCTD_VL,0
C_ACCMLTD_IMPRMNT_INSTRMNT,6,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,,,,2,EEAS_OA30,36000000.0,GUA_15,0
C_ACCMLTD_IMPRMNT_INSTRMNT,6,2019-09-30,I_ACCMLTD_IMPRMNT_INSTRMNT,,,,1,EEAS_OA30,36000000.0,G_CN0960b,0
C_ACCRD_INTRST_INSTRMNT,1,2019-09-30,I_ACCRD_INTRST_INSTRMNT,,,,18,EEAS_OA30,500000.0,GUA_10,0
C_ANNLSD_AGRD_RT,18,2019-09-30,I_ANNLSD_AGRD_RT,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_ARRRS_INSTRMNT,18,2019-09-30,I_ARRRS_INSTRMNT,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_CN0541,18,2019-09-30,I_CN0541,,,,18,EEAS_OA30,3375000.0,GUA_1,0
C_CN0541a,18,2019-09-30,I_CN0541a,,,,18,EEAS_OA30,3375000.0,GUA_1,0
C_CN0620,4,2019-09-30,I_CN0620,,,,6,EEAS_OA30,2000000.0,GUA_17,0
C_CN0935,3,2019-09-30,I_CN0935,,,,3,EEAS_OA30,185000.0,GUA_2,0
C_CN0935,3,2019-09-30,I_CN0935,,,,4,EEAS_OA30,185000.0,GUA_4,0
C_CN0935,4,2019-09-30,I_CN0935,,,,3,EEAS_OA30,133000.0,GUA_5,0
C_CN0935,3,2019-09-30,I_CN0935,,,,3,EEAS_OA30,185000.0,G_PRTCTN_ALLCTD_VL,0
C_CN0945,1,2019-09-30,I_CN0945,,,,18,EEAS_OA30,500000.0,GUA_6,0
C_CN0950,1,2019-09-30,I_CN0950,,,,18,EEAS_OA30,500000.0,G_CN0950,0
C_CN0960a,3,2019-09-30,I_CN0960a,,,,18,EEAS_OA30,500000.0,G_CN0960a,0
C_CN0960b,6,2019-09-30,I_CN0960b,,,,18,EEAS_OA30,36000000.0,GUA_15,0
C_CN0960b,6,2019-09-30,I_CN0960b,,,,18,EEAS_OA30,36000000.0,G_CN0960b,0
C_CY0110,18,2019-09-30,I_CY0110,,,,4,EEAS_OA30,3375000.0,GUA_1,0
C_DT_END_INTRST_ONLY,3,2019-09-30,I_DT_END_INTRST_ONLY,,,,6,EEAS_OA30,100000.0,GUA_18,20000
C_DT_FRBRNC_STTS,18,2019-09-30,I_DT_FRBRNC_STTS,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_DT_NXT_INTRST_RT_RST,1,2019-09-30,I_DT_NXT_INTRST_RT_RST,,,,18,EEAS_OA30,500000.0,GUA_9,0
C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,3,2019-09-30,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,6,EEAS_OA30,100000.0,GUA_18,20000
C_IG0010,18,2019-09-30,I_IG0010,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_IG0010b,18,2019-09-30,I_IG0010b,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_IG0011,18,2019-09-30,I_IG0011,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_IG0011b,18,2019-09-30,I_IG0011b,,,,18,EEAS_OA30,3375000.0,GUA_1,0
C_IG0012,18,2019-09-30,I_IG0012,,,,4,EEAS_OA30,3375000.0,GUA_1,0
C_IG0012b,18,2019-09-30,I_IG0012b,,,,18,EEAS_OA30,3375000.0,GUA_1,0
C_IG0020,4,2019-09-30,I_IG0020,,,,6,EEAS_OA30,133000.0,GUA_5,0
C_IG0090,18,2019-09-30,I_IG0090,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_IG0190a,18,2019-09-30,I_IG0190a,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_IG0190b,18,2019-09-30,I_IG0190b,,,,3,EEAS_OA30,3375000.0,GUA_1,0
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,3,2019-09-30,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,6,EEAS_OA30,100000.0,GUA_18,20000
C_PRTCTN_ALLCTD_VL,3,2019-09-30,I_PRTCTN_ALLCTD_VL,,,,3,EEAS_OA30,400.0,GUA_2,0
C_PRTCTN_ALLCTD_VL,3,2019-09-30,I_PRTCTN_ALLCTD_VL,,,,4,EEAS_OA30,500.0,GUA_4,0
C_PRTCTN_ALLCTD_VL,4,2019-09-30,I_PRTCTN_ALLCTD_VL,,,,6,EEAS_OA30,250.0,GUA_5,0
C_PRTCTN_ALLCTD_VL,3,2019-09-30,I_PRTCTN_ALLCTD_VL,,,,3,EEAS_OA30,1000000000.0,G_PRTCTN_ALLCTD_VL,0
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,18,2019-09-30,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,,,,4,EEAS_OA30,3375000.0,GUA_1,0
C_THRD_PRTY_PRRTY_CLMS,1,2019-09-30,I_THRD_PRTY_PRRTY_CLMS,0.0,,,6,EEAS_OA30,36000000.0,G_THRD_PRTY_PRRTY_CLMS,1000000000
