CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,LGL_ENTTY_CD
3D_ONA_null,2019-06-30,AL0ECBM00067,2,JLA_0_all,AT_Bank,AL0ECBM00067
3D_ONA_0,2019-06-30,AL0ECBM00067,2,JLA_0_all,AT_Bank,AL0ECBM00067
3D_ONA_OK,2019-06-30,AL0ECBM00067,2,JLA_0_all,AT_Bank,AL0ECBM00067
3D_ONA_OK,2019-06-30,AL0ECBM00067,2,JLA_smaller_all,AT_Bank,AL0ECBM00067
3D_ONA_OK,2019-06-30,AL0ECBM00067,2,JLA_equal_all,AT_Bank,AL0ECBM00067
3D_ONA_OK,2019-06-30,AL0ECBM00067,2,JLA_greater_all,AT_Bank,AL0ECBM00067
2D_ONA_null,2019-06-30,EEAS_OA25,2,JLA_null_1,AT_Bank,EEAS_OA25
2D_ONA_0,2019-06-30,EEAS_OA25,2,JLA_null_1,AT_Bank,EEAS_OA25
2D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_null_1,AT_Bank,EEAS_OA25
2D_ONA_null,2019-06-30,EEAS_OA25,2,JLA_0_1,AT_Bank,EEAS_OA25
2D_ONA_0,2019-06-30,EEAS_OA25,2,JLA_0_1,AT_Bank,EEAS_OA25
2D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_0_1,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_smaller_1,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_equal_1,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_greater_1,AT_Bank,EEAS_OA25
3D_ONA_null,2019-06-30,EEAS_OA25,2,JLA_null_all,AT_Bank,EEAS_OA25
3D_ONA_0,2019-06-30,EEAS_OA25,2,JLA_null_all,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_null_all,AT_Bank,EEAS_OA25
3D_ONA_null,2019-06-30,EEAS_OA25,2,JLA_0_all,AT_Bank,EEAS_OA25
3D_ONA_0,2019-06-30,EEAS_OA25,2,JLA_0_all,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_0_all,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_smaller_all,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_equal_all,AT_Bank,EEAS_OA25
3D_ONA_OK,2019-06-30,EEAS_OA25,2,JLA_greater_all,AT_Bank,EEAS_OA25
1D_ONA_null,2019-06-30,AT_Bank,1,JLA_null,AT_Bank,AT_Bank
1D_ONA_0,2019-06-30,AT_Bank,1,JLA_null,AT_Bank,AT_Bank
1D_ONA_OK,2019-06-30,AT_Bank,1,JLA_null,AT_Bank,AT_Bank
1D_ONA_null,2019-06-30,AT_Bank,1,JLA_0,AT_Bank,AT_Bank
1D_ONA_0,2019-06-30,AT_Bank,1,JLA_0,AT_Bank,AT_Bank
1D_ONA_OK,2019-06-30,AT_Bank,1,JLA_0,AT_Bank,AT_Bank
1D_ONA_OK,2019-06-30,AT_Bank,1,JLA_smaller,AT_Bank,AT_Bank
1D_ONA_OK,2019-06-30,AT_Bank,1,JLA_equal,AT_Bank,AT_Bank
1D_ONA_OK,2019-06-30,AT_Bank,1,JLA_greater,AT_Bank,AT_Bank
2D_ONA_null,2019-06-30,AT_Bank,1,JLA_null_1,AT_Bank,AT_Bank
2D_ONA_0,2019-06-30,AT_Bank,1,JLA_null_1,AT_Bank,AT_Bank
2D_ONA_OK,2019-06-30,AT_Bank,1,JLA_null_1,AT_Bank,AT_Bank
2D_ONA_null,2019-06-30,AT_Bank,1,JLA_0_1,AT_Bank,AT_Bank
2D_ONA_0,2019-06-30,AT_Bank,1,JLA_0_1,AT_Bank,AT_Bank
2D_ONA_OK,2019-06-30,AT_Bank,1,JLA_0_1,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_smaller_1,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_equal_1,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_greater_1,AT_Bank,AT_Bank
3D_ONA_null,2019-06-30,AT_Bank,1,JLA_null_all,AT_Bank,AT_Bank
3D_ONA_0,2019-06-30,AT_Bank,1,JLA_null_all,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_null_all,AT_Bank,AT_Bank
3D_ONA_null,2019-06-30,AT_Bank,1,JLA_0_all,AT_Bank,AT_Bank
3D_ONA_0,2019-06-30,AT_Bank,1,JLA_0_all,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_0_all,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_smaller_all,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_equal_all,AT_Bank,AT_Bank
3D_ONA_OK,2019-06-30,AT_Bank,1,JLA_greater_all,AT_Bank,AT_Bank
0,2019-06-30,AT_Bank,7,0,AT_Bank,AT_Bank
