FREQ,INDEX_BASE,MARKET_GEO,NBB_ISTI,TIME_PERIOD,CONF_STATUS
M,2010,OPD,1070,2011-Q3,F
M,2010,OPD,1070,2011-Q4,F
M,2010,OPD,1071,2010-Q1,F
M,2010,OPD,1071,2010-Q2,F
M,2010,OPD,1071,2010-Q3,F
M,2010,OPD,1071,2010-Q4,F
M,2010,OPD,1071,2011-Q1,F
M,2010,OPD,1071,2011-Q2,F
M,2010,OPD,1071,2011-Q3,F
M,2010,OPD,1071,2011-Q4,F
M,2010,OPD,1072,2010-Q1,C
M,2010,OPD,1072,2010-Q2,C
M,2010,OPD,1072,2010-Q3,C
M,2010,OPD,1072,2010-Q4,C
M,2010,OPD,1072,2011-Q1,C
M,2010,OPD,1072,2011-Q2,C
M,2010,OPD,1072,2011-Q3,C
M,2010,OPD,1072,2011-Q4,C
M,2010,OPD,1080,2010-Q1,N
M,2010,OPD,1080,2010-Q2,N
M,2010,OPD,1080,2010-Q3,N
M,2010,OPD,1080,2010-Q4,N
M,2010,OPD,1080,2011-Q1,N
M,2010,OPD,1080,2011-Q2,N
M,2010,OPD,1080,2011-Q3,N
M,2010,OPD,1080,2011-Q4,N
M,2010,OPD,1082,2010-Q1,E
M,2010,OPD,1082,2010-Q2,E
M,2010,OPD,1082,2010-Q3,E
M,2010,OPD,1082,2010-Q4,E
M,2010,OPD,1082,2011-Q1,E
M,2010,OPD,1082,2011-Q2,E
M,2010,OPD,1082,2011-Q3,E
M,2010,OPD,1082,2011-Q4,E
M,2010,OPD,1083,2010-Q1,F
M,2010,OPD,1083,2010-Q2,F
M,2010,OPD,1083,2010-Q3,F
M,2010,OPD,1083,2010-Q4,F
M,2010,OPD,1083,2011-Q1,F
M,2010,OPD,1083,2011-Q2,F
M,2010,OPD,1083,2011-Q3,F
M,2010,OPD,1083,2011-Q4,F
M,2010,OPD,1084,2010-Q1,F
M,2010,OPD,1084,2010-Q2,F
M,2010,OPD,1084,2010-Q3,F
M,2010,OPD,1084,2010-Q4,F
M,2010,OPD,1084,2011-Q1,F
M,2010,OPD,1084,2011-Q2,F
M,2010,OPD,1084,2011-Q3,F
M,2010,OPD,1084,2011-Q4,F
M,2010,OPD,1085,2010-Q1,C
M,2010,OPD,1085,2010-Q2,C
M,2010,OPD,1085,2010-Q3,C
M,2010,OPD,1085,2010-Q4,C
M,2010,OPD,1085,2011-Q1,C
M,2010,OPD,1085,2011-Q2,C
M,2010,OPD,1085,2011-Q3,C
M,2010,OPD,1085,2011-Q4,C
M,2010,OPD,1089,2010-Q1,N
M,2010,OPD,1089,2010-Q2,N
M,2010,OPD,1089,2010-Q3,N
M,2010,OPD,1089,2010-Q4,N
M,2010,OPD,1089,2011-Q1,N
M,2010,OPD,1089,2011-Q2,N
M,2010,OPD,1089,2011-Q3,N
M,2010,OPD,1089,2011-Q4,N
M,2010,OPD,1090,2010-Q1,E
M,2010,OPD,1090,2010-Q2,E
M,2010,OPD,1090,2010-Q3,E
M,2010,OPD,1090,2010-Q4,E
M,2010,OPD,1090,2011-Q1,E
M,2010,OPD,1090,2011-Q2,E
M,2010,OPD,1090,2011-Q3,E
M,2010,OPD,1090,2011-Q4,E
M,2010,OPD,1091,2010-Q1,F
M,2010,OPD,1091,2010-Q2,F
M,2010,OPD,1091,2010-Q3,F
M,2010,OPD,1091,2010-Q4,F
M,2010,OPD,1091,2011-Q1,F
M,2010,OPD,1091,2011-Q2,F
M,2010,OPD,1091,2011-Q3,F
M,2010,OPD,1091,2011-Q4,F
M,2010,OPD,1100,2010-Q1,F
M,2010,OPD,1100,2010-Q2,F
M,2010,OPD,1100,2010-Q3,F
M,2010,OPD,1100,2010-Q4,F
M,2010,OPD,1100,2011-Q1,F
M,2010,OPD,1100,2011-Q2,F
M,2010,OPD,1100,2011-Q3,F
M,2010,OPD,1100,2011-Q4,F
M,2010,OPD,1101,2010-Q1,C
M,2010,OPD,1101,2010-Q2,C
M,2010,OPD,1101,2010-Q3,C
M,2010,OPD,1101,2010-Q4,C
M,2010,OPD,1101,2011-Q1,C
M,2010,OPD,1101,2011-Q2,C
M,2010,OPD,1101,2011-Q3,C
M,2010,OPD,1101,2011-Q4,C
M,2010,OPD,1105,2010-Q1,N
M,2010,OPD,1105,2010-Q2,N
M,2010,OPD,1105,2010-Q3,N
M,2010,OPD,1105,2010-Q4,N
M,2010,OPD,1105,2011-Q1,N
M,2010,OPD,1105,2011-Q2,N
M,2010,OPD,1105,2011-Q3,N
M,2010,OPD,1105,2011-Q4,N
M,2010,OPD,1107,2010-Q1,E
M,2010,OPD,1107,2010-Q2,E
M,2010,OPD,1107,2010-Q3,E
M,2010,OPD,1107,2010-Q4,E
M,2010,OPD,1107,2011-Q1,E
M,2010,OPD,1107,2011-Q2,E
M,2010,OPD,1107,2011-Q3,E
M,2010,OPD,1107,2011-Q4,E
M,2010,OPD,1200,2010-Q1,F
M,2010,OPD,1200,2010-Q2,F
M,2010,OPD,1200,2010-Q3,F
M,2010,OPD,1200,2010-Q4,F
M,2010,OPD,1200,2011-Q1,F
M,2010,OPD,1200,2011-Q2,F
M,2010,OPD,1200,2011-Q3,F
M,2010,OPD,1200,2011-Q4,F
M,2010,OPD,1300,2010-Q1,F
M,2010,OPD,1300,2010-Q2,F
M,2010,OPD,1300,2010-Q3,F
M,2010,OPD,1300,2010-Q4,F
M,2010,OPD,1300,2011-Q1,F
M,2010,OPD,1300,2011-Q2,F
M,2010,OPD,1300,2011-Q3,F
M,2010,OPD,1300,2011-Q4,F
M,2010,OPD,1310,2010-Q1,C
M,2010,OPD,1310,2010-Q2,C
M,2010,OPD,1310,2010-Q3,C
M,2010,OPD,1310,2010-Q4,C
M,2010,OPD,1310,2011-Q1,C
M,2010,OPD,1310,2011-Q2,C
M,2010,OPD,1310,2011-Q3,C
M,2010,OPD,1310,2011-Q4,C
M,2010,OPD,1320,2010-Q1,N
M,2010,OPD,1320,2010-Q2,N
M,2010,OPD,1320,2010-Q3,N
M,2010,OPD,1320,2010-Q4,N
M,2010,OPD,1320,2011-Q1,N
M,2010,OPD,1320,2011-Q2,N
M,2010,OPD,1320,2011-Q3,N
M,2010,OPD,1320,2011-Q4,N
M,2010,OPD,1330,2010-Q1,E
M,2010,OPD,1330,2010-Q2,E
M,2010,OPD,1330,2010-Q3,E
M,2010,OPD,1330,2010-Q4,E
M,2010,OPD,1330,2011-Q1,E
M,2010,OPD,1330,2011-Q2,E
M,2010,OPD,1330,2011-Q3,E
M,2010,OPD,1330,2011-Q4,E
M,2010,OPD,1390,2010-Q1,F
M,2010,OPD,1390,2010-Q2,F
M,2010,OPD,1390,2010-Q3,F
M,2010,OPD,1390,2010-Q4,F
M,2010,OPD,1390,2011-Q1,F
M,2010,OPD,1390,2011-Q2,F
M,2010,OPD,1390,2011-Q3,F
M,2010,OPD,1390,2011-Q4,F
M,2010,OPD,1392,2010-Q1,F
M,2010,OPD,1392,2010-Q2,F
M,2010,OPD,1392,2010-Q3,F
M,2010,OPD,1392,2010-Q4,F
M,2010,OPD,1392,2011-Q1,F
M,2010,OPD,1392,2011-Q2,F
M,2010,OPD,1392,2011-Q3,F
M,2010,OPD,1392,2011-Q4,F
M,2010,OPD,1393,2010-Q1,C
M,2010,OPD,1393,2010-Q2,C
M,2010,OPD,1393,2010-Q3,C
M,2010,OPD,1393,2010-Q4,C
M,2010,OPD,1393,2011-Q1,C
M,2010,OPD,1393,2011-Q2,C
M,2010,OPD,1393,2011-Q3,C
M,2010,OPD,1393,2011-Q4,C
M,2010,OPD,1396,2010-Q1,N
M,2010,OPD,1396,2010-Q2,N
M,2010,OPD,1396,2010-Q3,N
M,2010,OPD,1396,2010-Q4,N
M,2010,OPD,1396,2011-Q1,N
M,2010,OPD,1396,2011-Q2,N
M,2010,OPD,1396,2011-Q3,N
M,2010,OPD,1396,2011-Q4,N
M,2010,OPD,1410,2010-Q1,E
M,2010,OPD,1410,2010-Q2,E
M,2010,OPD,1410,2010-Q3,E
M,2010,OPD,1410,2010-Q4,E
M,2010,OPD,1410,2011-Q1,E
M,2010,OPD,1410,2011-Q2,E
M,2010,OPD,1410,2011-Q3,E
M,2010,OPD,1410,2011-Q4,E
M,2010,OPD,1412,2010-Q1,F
M,2010,OPD,1412,2010-Q2,F
M,2010,OPD,1412,2010-Q3,F
M,2010,OPD,1412,2010-Q4,F
M,2010,OPD,1412,2011-Q1,F
M,2010,OPD,1412,2011-Q2,F
M,2010,OPD,1412,2011-Q3,F
M,2010,OPD,1412,2011-Q4,F
M,2010,OPD,1413,2010-Q1,F
M,2010,OPD,1413,2010-Q2,F
M,2010,OPD,1413,2010-Q3,F
M,2010,OPD,1413,2010-Q4,F
M,2010,OPD,1413,2011-Q1,F
M,2010,OPD,1413,2011-Q2,F
M,2010,OPD,1413,2011-Q3,F
M,2010,OPD,1413,2011-Q4,F
M,2010,OPD,1414,2010-Q1,C
M,2010,OPD,1414,2010-Q2,C
M,2010,OPD,1414,2010-Q3,C
M,2010,OPD,1414,2010-Q4,C
M,2010,OPD,1414,2011-Q1,C
M,2010,OPD,1414,2011-Q2,C
M,2010,OPD,1414,2011-Q3,C
M,2010,OPD,1414,2011-Q4,C
M,2010,OPD,1419,2010-Q1,N
M,2010,OPD,1419,2010-Q2,N
M,2010,OPD,1419,2010-Q3,N
M,2010,OPD,1419,2010-Q4,N
M,2010,OPD,1419,2011-Q1,N
M,2010,OPD,1419,2011-Q2,N
M,2010,OPD,1419,2011-Q3,N
M,2010,OPD,1419,2011-Q4,N
M,2010,OPD,1430,2010-Q1,E
M,2010,OPD,1430,2010-Q2,E
M,2010,OPD,1430,2010-Q3,E
M,2010,OPD,1430,2010-Q4,E
M,2010,OPD,1430,2011-Q1,E
M,2010,OPD,1430,2011-Q2,E
M,2010,OPD,1430,2011-Q3,E
M,2010,OPD,1430,2011-Q4,E
M,2010,OPD,1439,2010-Q1,F
M,2010,OPD,1439,2010-Q2,F
M,2010,OPD,1439,2010-Q3,F
M,2010,OPD,1439,2010-Q4,F
M,2010,OPD,1439,2011-Q1,F
M,2010,OPD,1439,2011-Q2,F
M,2010,OPD,1439,2011-Q3,F
M,2010,OPD,1439,2011-Q4,F
M,2010,OPD,1500,2010-Q1,F
M,2010,OPD,1500,2010-Q2,F
M,2010,OPD,1500,2010-Q3,F
M,2010,OPD,1500,2010-Q4,F
M,2010,OPD,1500,2011-Q1,F
M,2010,OPD,1500,2011-Q2,F
M,2010,OPD,1500,2011-Q3,F
M,2010,OPD,1500,2011-Q4,F
M,2010,OPD,1510,2010-Q1,C
M,2010,OPD,1510,2010-Q2,C
M,2010,OPD,1510,2010-Q3,C
M,2010,OPD,1510,2010-Q4,C
M,2010,OPD,1510,2011-Q1,C
M,2010,OPD,1510,2011-Q2,C
M,2010,OPD,1510,2011-Q3,C
M,2010,OPD,1510,2011-Q4,C
M,2010,OPD,1512,2010-Q1,N
M,2010,OPD,1512,2010-Q2,N
M,2010,OPD,1512,2010-Q3,N
M,2010,OPD,1512,2010-Q4,N
M,2010,OPD,1512,2011-Q1,N
M,2010,OPD,1512,2011-Q2,N
M,2010,OPD,1512,2011-Q3,N
M,2010,OPD,1512,2011-Q4,N
M,2010,OPD,1600,2010-Q1,E
M,2010,OPD,1600,2010-Q2,E
M,2010,OPD,1600,2010-Q3,E
M,2010,OPD,1600,2010-Q4,E
M,2010,OPD,1600,2011-Q1,E
M,2010,OPD,1600,2011-Q2,E
M,2010,OPD,1600,2011-Q3,E
M,2010,OPD,1600,2011-Q4,E
M,2010,OPD,1610,2010-Q1,F
M,2010,OPD,1610,2010-Q2,F
M,2010,OPD,1610,2010-Q3,F
M,2010,OPD,1610,2010-Q4,F
M,2010,OPD,1610,2011-Q1,F
M,2010,OPD,1610,2011-Q2,F
M,2010,OPD,1610,2011-Q3,F
M,2010,OPD,1610,2011-Q4,F
M,2010,OPD,1620,2010-Q1,F
M,2010,OPD,1620,2010-Q2,F
M,2010,OPD,1620,2010-Q3,F
M,2010,OPD,1620,2010-Q4,F
M,2010,OPD,1620,2011-Q1,F
M,2010,OPD,1620,2011-Q2,F
M,2010,OPD,1620,2011-Q3,F
M,2010,OPD,1620,2011-Q4,F
M,2010,OPD,1621,2010-Q1,C
M,2010,OPD,1621,2010-Q2,C
M,2010,OPD,1621,2010-Q3,C
M,2010,OPD,1621,2010-Q4,C
M,2010,OPD,1621,2011-Q1,C
M,2010,OPD,1621,2011-Q2,C
M,2010,OPD,1621,2011-Q3,C
M,2010,OPD,1621,2011-Q4,C
M,2010,OPD,1623,2010-Q1,N
M,2010,OPD,1623,2010-Q2,N
M,2010,OPD,1623,2010-Q3,N
M,2010,OPD,1623,2010-Q4,N
M,2010,OPD,1623,2011-Q1,N
M,2010,OPD,1623,2011-Q2,N
M,2010,OPD,1623,2011-Q3,N
M,2010,OPD,1623,2011-Q4,N
M,2010,OPD,1624,2010-Q1,E
M,2010,OPD,1624,2010-Q2,E
M,2010,OPD,1624,2010-Q3,E
M,2010,OPD,1624,2010-Q4,E
M,2010,OPD,1624,2011-Q1,E
M,2010,OPD,1624,2011-Q2,E
M,2010,OPD,1624,2011-Q3,E
M,2010,OPD,1624,2011-Q4,E
M,2010,OPD,1629,2010-Q1,F
M,2010,OPD,1629,2010-Q2,F
M,2010,OPD,1629,2010-Q3,F
M,2010,OPD,1629,2010-Q4,F
M,2010,OPD,1629,2011-Q1,F
M,2010,OPD,1629,2011-Q2,F
M,2010,OPD,1629,2011-Q3,F
M,2010,OPD,1629,2011-Q4,F
M,2010,OPD,1700,2010-Q1,F
M,2010,OPD,1700,2010-Q2,F
M,2010,OPD,1700,2010-Q3,F
M,2010,OPD,1700,2010-Q4,F
M,2010,OPD,1700,2011-Q1,F
M,2010,OPD,1700,2011-Q2,F
M,2010,OPD,1700,2011-Q3,F
M,2010,OPD,1700,2011-Q4,F
M,2010,OPD,1720,2010-Q1,C
M,2010,OPD,1720,2010-Q2,C
M,2010,OPD,1720,2010-Q3,C
M,2010,OPD,1720,2010-Q4,C
M,2010,OPD,1720,2011-Q1,C
M,2010,OPD,1720,2011-Q2,C
M,2010,OPD,1720,2011-Q3,C
M,2010,OPD,1720,2011-Q4,C
M,2010,OPD,1721,2010-Q1,N
M,2010,OPD,1721,2010-Q2,N
M,2010,OPD,1721,2010-Q3,N
M,2010,OPD,1721,2010-Q4,N
M,2010,OPD,1721,2011-Q1,N
M,2010,OPD,1721,2011-Q2,N
M,2010,OPD,1721,2011-Q3,N
M,2010,OPD,1721,2011-Q4,N
M,2010,OPD,1722,2010-Q1,E
M,2010,OPD,1722,2010-Q2,E
M,2010,OPD,1722,2010-Q3,E
M,2010,OPD,1722,2010-Q4,E
M,2010,OPD,1722,2011-Q1,E
M,2010,OPD,1722,2011-Q2,E
M,2010,OPD,1722,2011-Q3,E
M,2010,OPD,1722,2011-Q4,E
M,2010,OPD,1729,2010-Q1,F
M,2010,OPD,1729,2010-Q2,F
M,2010,OPD,1729,2010-Q3,F
M,2010,OPD,1729,2010-Q4,F
M,2010,OPD,1729,2011-Q1,F
M,2010,OPD,1729,2011-Q2,F
M,2010,OPD,1729,2011-Q3,F
M,2010,OPD,1729,2011-Q4,F
M,2010,OPD,1920,2010-Q1,E
M,2010,OPD,1920,2010-Q2,E
M,2010,OPD,1920,2010-Q3,E
M,2010,OPD,1920,2010-Q4,E
M,2010,OPD,1920,2011-Q1,E
M,2010,OPD,1920,2011-Q2,E
M,2010,OPD,1920,2011-Q3,E
M,2010,OPD,1920,2011-Q4,E
M,2010,OPD,20,2010-Q1,F
M,2010,OPD,20,2010-Q2,F
M,2010,OPD,20,2010-Q3,F
M,2010,OPD,20,2010-Q4,F
M,2010,OPD,20,2011-Q1,F
M,2010,OPD,20,2011-Q2,F
M,2010,OPD,20,2011-Q3,F
M,2010,OPD,20,2011-Q4,F
M,2010,OPD,200,2010-Q1,F
M,2010,OPD,200,2010-Q2,F
M,2010,OPD,200,2010-Q3,F
M,2010,OPD,200,2010-Q4,F
M,2010,OPD,200,2011-Q1,F
M,2010,OPD,200,2011-Q2,F
M,2010,OPD,200,2011-Q3,F
M,2010,OPD,200,2011-Q4,F
M,2010,OPD,2000,2010-Q1,C
M,2010,OPD,2000,2010-Q2,C
M,2010,OPD,2000,2010-Q3,C
M,2010,OPD,2000,2010-Q4,C
M,2010,OPD,2000,2011-Q1,C
M,2010,OPD,2000,2011-Q2,C
M,2010,OPD,2000,2011-Q3,C
M,2010,OPD,2000,2011-Q4,C
M,2010,OPD,2010,2010-Q1,N
M,2010,OPD,2010,2010-Q2,N
M,2010,OPD,2010,2010-Q3,N
M,2010,OPD,2010,2010-Q4,N
M,2010,OPD,2010,2011-Q1,N
M,2010,OPD,2010,2011-Q2,N
M,2010,OPD,2010,2011-Q3,N
M,2010,OPD,2010,2011-Q4,N
M,2010,OPD,2011,2010-Q1,E
M,2010,OPD,2011,2010-Q2,E
M,2010,OPD,2011,2010-Q3,E
M,2010,OPD,2011,2010-Q4,E
M,2010,OPD,2011,2011-Q1,E
M,2010,OPD,2011,2011-Q2,E
M,2010,OPD,2011,2011-Q3,E
M,2010,OPD,2011,2011-Q4,E
M,2010,OPD,2012,2010-Q1,F
M,2010,OPD,2012,2010-Q2,F
M,2010,OPD,2012,2010-Q3,F
M,2010,OPD,2012,2010-Q4,F
M,2010,OPD,2012,2011-Q1,F
M,2010,OPD,2012,2011-Q2,F
M,2010,OPD,2012,2011-Q3,F
M,2010,OPD,2012,2011-Q4,F
M,2010,OPD,2013,2010-Q1,F
M,2010,OPD,2013,2010-Q2,F
M,2010,OPD,2013,2010-Q3,F
M,2010,OPD,2013,2010-Q4,F
M,2010,OPD,2013,2011-Q1,F
M,2010,OPD,2013,2011-Q2,F
M,2010,OPD,2013,2011-Q3,F
M,2010,OPD,2013,2011-Q4,F
M,2010,OPD,2014,2010-Q1,C
M,2010,OPD,2014,2010-Q2,C
M,2010,OPD,2014,2010-Q3,C
M,2010,OPD,2014,2010-Q4,C
M,2010,OPD,2014,2011-Q1,C
M,2010,OPD,2014,2011-Q2,C
M,2010,OPD,2014,2011-Q3,C
M,2010,OPD,2014,2011-Q4,C
M,2010,OPD,2016,2010-Q1,N
M,2010,OPD,2016,2010-Q2,N
M,2010,OPD,2016,2010-Q3,N
M,2010,OPD,2016,2010-Q4,N
M,2010,OPD,2016,2011-Q1,N
M,2010,OPD,2016,2011-Q2,N
M,2010,OPD,2016,2011-Q3,N
M,2010,OPD,2016,2011-Q4,N
M,2010,OPD,2030,2010-Q1,E
M,2010,OPD,2030,2010-Q2,E
M,2010,OPD,2030,2010-Q3,E
M,2010,OPD,2030,2010-Q4,E
M,2010,OPD,2030,2011-Q1,E
M,2010,OPD,2030,2011-Q2,E
M,2010,OPD,2030,2011-Q3,E
M,2010,OPD,2030,2011-Q4,E
M,2010,OPD,2040,2010-Q1,F
M,2010,OPD,2040,2010-Q2,F
M,2010,OPD,2040,2010-Q3,F
M,2010,OPD,2040,2010-Q4,F
M,2010,OPD,2040,2011-Q1,F
M,2010,OPD,2040,2011-Q2,F
M,2010,OPD,2040,2011-Q3,F
M,2010,OPD,2040,2011-Q4,F
M,2010,OPD,2042,2010-Q1,F
M,2010,OPD,2042,2010-Q2,F
M,2010,OPD,2042,2010-Q3,F
M,2010,OPD,2042,2010-Q4,F
M,2010,OPD,2042,2011-Q1,F
M,2010,OPD,2042,2011-Q2,F
M,2010,OPD,2042,2011-Q3,F
M,2010,OPD,2042,2011-Q4,F
M,2010,OPD,2050,2010-Q1,C
M,2010,OPD,2050,2010-Q2,C
M,2010,OPD,2050,2010-Q3,C
M,2010,OPD,2050,2010-Q4,C
M,2010,OPD,2050,2011-Q1,C
M,2010,OPD,2050,2011-Q2,C
M,2010,OPD,2050,2011-Q3,C
M,2010,OPD,2050,2011-Q4,C
M,2010,OPD,2053,2010-Q1,N
M,2010,OPD,2053,2010-Q2,N
M,2010,OPD,2053,2010-Q3,N
M,2010,OPD,2053,2010-Q4,N
M,2010,OPD,2053,2011-Q1,N
M,2010,OPD,2053,2011-Q2,N
M,2010,OPD,2053,2011-Q3,N
M,2010,OPD,2053,2011-Q4,N
M,2010,OPD,2059,2010-Q1,E
M,2010,OPD,2059,2010-Q2,E
M,2010,OPD,2059,2010-Q3,E
M,2010,OPD,2059,2010-Q4,E
M,2010,OPD,2059,2011-Q1,E
M,2010,OPD,2059,2011-Q2,E
M,2010,OPD,2059,2011-Q3,E
M,2010,OPD,2059,2011-Q4,E
M,2010,OPD,2060,2010-Q1,F
M,2010,OPD,2060,2010-Q2,F
M,2010,OPD,2060,2010-Q3,F
M,2010,OPD,2060,2010-Q4,F
M,2010,OPD,2060,2011-Q1,F
M,2010,OPD,2060,2011-Q2,F
M,2010,OPD,2060,2011-Q3,F
M,2010,OPD,2060,2011-Q4,F
M,2010,OPD,2100,2010-Q1,F
M,2010,OPD,2100,2010-Q2,F
M,2010,OPD,2100,2010-Q3,F
M,2010,OPD,2100,2010-Q4,F
M,2010,OPD,2100,2011-Q1,F
M,2010,OPD,2100,2011-Q2,F
M,2010,OPD,2100,2011-Q3,F
M,2010,OPD,2100,2011-Q4,F
M,2010,OPD,2110,2010-Q1,C
M,2010,OPD,2110,2010-Q2,C
M,2010,OPD,2110,2010-Q3,C
M,2010,OPD,2110,2010-Q4,C
M,2010,OPD,2110,2011-Q1,C
M,2010,OPD,2110,2011-Q2,C
M,2010,OPD,2110,2011-Q3,C
M,2010,OPD,2110,2011-Q4,C
M,2010,OPD,2120,2010-Q1,N
M,2010,OPD,2120,2010-Q2,N
M,2010,OPD,2120,2010-Q3,N
M,2010,OPD,2120,2010-Q4,N
M,2010,OPD,2120,2011-Q1,N
M,2010,OPD,2120,2011-Q2,N
