FREQ,INDEX_BASE,MARKET_GEO,NBB_ISTI,TIME_PERIOD,CONF_STATUS,DECIMALS,EMBARGO_TIME,OBS_STATUS,OBS_VALUE,UNIT_MEASURE,UNIT_MULT
M,2010,OPI,2710,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2711,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2730,2010-01,C,,,A,94.43,IX,0
M,2010,OPI,2732,2010-01,N,,,A,94.27,IX,0
M,2010,OPI,2733,2010-01,E,,,A,97.72,IX,0
M,2010,OPI,2740,2010-01,F,,,A,99.72,IX,0
M,2010,OPI,2750,2010-01,F,,,A,98.51,IX,0
M,2010,OPI,2752,2010-01,C,,,A,100.02,IX,0
M,2010,OPI,2790,2010-01,N,,,A,106.39,IX,0
M,2010,OPI,2800,2010-01,E,,,A,99.18,IX,0
M,2010,OPI,2810,2010-01,F,,,A,99.32,IX,0
M,2010,OPI,2820,2010-01,F,,,A,97.9,IX,0
M,2010,OPI,2822,2010-01,C,,,A,100.0,IX,0
M,2010,OPI,2825,2010-01,N,,,A,96.2,IX,0
M,2010,OPI,2829,2010-01,E,,,A,99.89,IX,0
M,2010,OPI,2830,2010-01,F,,,A,99.79,IX,0
M,2010,OPI,2890,2010-01,F,,,A,100.59,IX,0
M,2010,OPI,2893,2010-01,C,,,A,99.98,IX,0
M,2010,OPI,2894,2010-01,N,,,A,101.93,IX,0
M,2010,OPI,2900,2010-01,E,,,A,99.47,IX,0
M,2010,OPI,2910,2010-01,F,,,A,99.78,IX,0
M,2010,OPI,2920,2010-01,F,,,A,103.04,IX,0
M,2010,OPI,2930,2010-01,C,,,A,97.16,IX,0
M,2010,OPI,2932,2010-01,N,,,A,97.08,IX,0
M,2010,OPI,1000,2010-01,E,,,A,98.36,IX,0
M,2010,OPI,1010,2010-01,F,,,A,98.94,IX,0
M,2010,OPI,1011,2010-01,F,,,A,99.52,IX,0
M,2010,OPI,1012,2010-01,C,,,A,97.11,IX,0
M,2010,OPI,1013,2010-01,N,,,A,99.38,IX,0
M,2010,OPI,1020,2010-01,E,,,A,98.26,IX,0
M,2010,OPI,1030,2010-01,F,,,A,101.63,IX,0
M,2010,OPI,1031,2010-01,F,,,A,102.29,IX,0
M,2010,OPI,1039,2010-01,C,,,A,100.05,IX,0
M,2010,OPI,1040,2010-01,N,,,A,96.16,IX,0
M,2010,OPI,1050,2010-01,E,,,A,97.57,IX,0
M,2010,OPI,1051,2010-01,F,,,A,97.3,IX,0
M,2010,OPI,1052,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,1060,2010-01,C,,,A,94.81,IX,0
M,2010,OPI,1061,2010-01,N,,,A,95.19,IX,0
M,2010,OPI,1062,2010-01,E,,,A,94.73,IX,0
M,2010,OPI,1070,2010-01,F,,,A,99.66,IX,0
M,2010,OPI,1071,2010-01,F,,,A,99.35,IX,0
M,2010,OPI,1072,2010-01,C,,,A,99.91,IX,0
M,2010,OPI,1080,2010-01,N,,,A,99.95,IX,0
M,2010,OPI,1082,2010-01,E,,,A,100.05,IX,0
M,2010,OPI,1083,2010-01,F,,,A,98.86,IX,0
M,2010,OPI,1084,2010-01,F,,,A,99.96,IX,0
M,2010,OPI,1085,2010-01,C,,,A,100.14,IX,0
M,2010,OPI,1089,2010-01,N,,,A,100.0,IX,0
M,2010,OPI,1090,2010-01,E,,,A,94.54,IX,0
M,2010,OPI,1091,2010-01,F,,,A,94.42,IX,0
M,2010,OPI,1100,2010-01,F,,,A,99.24,IX,0
M,2010,OPI,1101,2010-01,C,,,A,99.48,IX,0
M,2010,OPI,1105,2010-01,N,,,A,100.0,IX,0
M,2010,OPI,1107,2010-01,E,,,A,99.98,IX,0
M,2010,OPI,1200,2010-01,F,,,A,97.97,IX,0
M,2010,OPI,1300,2010-01,F,,,A,98.63,IX,0
M,2010,OPI,1310,2010-01,C,,,A,89.28,IX,0
M,2010,OPI,1320,2010-01,N,,,A,98.7,IX,0
M,2010,OPI,1330,2010-01,E,,,A,100.0,IX,0
M,2010,OPI,1390,2010-01,F,,,A,99.83,IX,0
M,2010,OPI,1392,2010-01,F,,,A,99.36,IX,0
M,2010,OPI,1393,2010-01,C,,,A,99.8,IX,0
M,2010,OPI,1396,2010-01,N,,,A,100.0,IX,0
M,2010,OPI,1410,2010-01,E,,,A,99.2,IX,0
M,2010,OPI,1412,2010-01,F,,,A,97.14,IX,0
M,2010,OPI,1413,2010-01,F,,,A,100.12,IX,0
M,2010,OPI,1414,2010-01,C,,,A,99.9,IX,0
M,2010,OPI,1419,2010-01,N,,,A,89.92,IX,0
M,2010,OPI,1430,2010-01,E,,,A,100.0,IX,0
M,2010,OPI,1439,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,1500,2010-01,F,,,A,99.27,IX,0
M,2010,OPI,1510,2010-01,C,,,A,99.91,IX,0
M,2010,OPI,1512,2010-01,N,,,A,99.9,IX,0
M,2010,OPI,1600,2010-01,E,,,A,95.12,IX,0
M,2010,OPI,1610,2010-01,F,,,A,86.57,IX,0
M,2010,OPI,1620,2010-01,F,,,A,97.16,IX,0
M,2010,OPI,1621,2010-01,C,,,A,96.06,IX,0
M,2010,OPI,1623,2010-01,N,,,A,99.01,IX,0
M,2010,OPI,1624,2010-01,E,,,A,95.31,IX,0
M,2010,OPI,1629,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,1700,2010-01,F,,,A,97.94,IX,0
M,2010,OPI,1720,2010-01,C,,,A,96.68,IX,0
M,2010,OPI,1721,2010-01,N,,,A,93.79,IX,0
M,2010,OPI,1722,2010-01,E,,,A,99.39,IX,0
M,2010,OPI,1729,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2200,2010-01,F,,,A,96.63,IX,0
M,2010,OPI,2210,2010-01,C,,,A,99.59,IX,0
M,2010,OPI,2219,2010-01,N,,,A,99.17,IX,0
M,2010,OPI,2220,2010-01,E,,,A,95.93,IX,0
M,2010,OPI,2221,2010-01,F,,,A,95.58,IX,0
M,2010,OPI,2222,2010-01,F,,,A,97.7,IX,0
M,2010,OPI,2223,2010-01,C,,,A,99.95,IX,0
M,2010,OPI,2229,2010-01,N,,,A,94.43,IX,0
M,2010,OPI,3100,2010-01,E,,,A,99.14,IX,0
M,2010,OPI,3101,2010-01,F,,,A,99.39,IX,0
M,2010,OPI,3102,2010-01,F,,,A,102.05,IX,0
M,2010,OPI,3103,2010-01,C,,,A,97.88,IX,0
M,2010,OPI,3109,2010-01,N,,,A,98.86,IX,0
M,2010,OPI,3200,2010-01,E,,,A,99.88,IX,0
M,2010,OPI,3250,2010-01,F,,,A,99.4,IX,0
M,2010,OPI,3290,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,3299,2010-01,C,,,A,100.0,IX,0
M,2010,OPI,3310,2010-01,N,,,A,98.1,IX,0
M,2010,OPI,3312,2010-01,E,,,A,99.96,IX,0
M,2010,OPI,3320,2010-01,F,,,A,101.13,IX,0
M,2010,OPD,20,2010-01,F,,,A,96.55,IX,0
M,2010,OPD,31,2010-01,C,,,A,97.21,IX,0
M,2010,OPD,39,2010-01,N,,,A,95.27,IX,0
M,2010,OPD,40,2010-01,E,,,A,95.59,IX,0
M,2010,OPD,50,2010-01,F,,,A,97.83,IX,0
M,2010,OPD,60,2010-01,F,,,A,99.36,IX,0
M,2010,OPD,70,2010-01,C,,,A,98.88,IX,0
M,2010,OPD,80,2010-01,N,,,A,98.93,IX,0
M,2010,OPD,90,2010-01,E,,,A,95.01,IX,0
M,2010,OPD,100,2010-01,F,,,A,99.86,IX,0
M,2010,OPD,200,2010-01,F,,,A,96.51,IX,0
M,2010,OPD,257,2010-01,C,,,A,98.25,IX,0
M,2010,OPD,3500,2010-01,N,,,A,96.41,IX,0
M,2010,OPD,1920,2010-01,E,,,A,90.22,IX,0
M,2010,OPD,3510,2010-01,F,,,A,97.01,IX,0
M,2010,OPD,3520,2010-01,F,,,A,94.29,IX,0
M,2010,OPD,3600,2010-01,C,,,A,99.83,IX,0
M,2010,OPD,2400,2010-01,N,,,A,88.07,IX,0
M,2010,OPD,2410,2010-01,E,,,A,84.51,IX,0
M,2010,OPD,2430,2010-01,F,,,A,94.65,IX,0
M,2010,OPD,2434,2010-01,F,,,A,91.2,IX,0
M,2010,OPD,2440,2010-01,C,,,A,92.7,IX,0
M,2010,OPD,2444,2010-01,N,,,A,87.78,IX,0
M,2010,OPD,2450,2010-01,E,,,A,98.74,IX,0
M,2010,OPD,2451,2010-01,F,,,A,98.3,IX,0
M,2010,OPD,2453,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,810,2010-01,C,,,A,99.85,IX,0
M,2010,OPD,811,2010-01,N,,,A,99.95,IX,0
M,2010,OPD,812,2010-01,E,,,A,99.68,IX,0
M,2010,OPD,2300,2010-01,F,,,A,99.34,IX,0
M,2010,OPD,2310,2010-01,F,,,A,98.47,IX,0
M,2010,OPD,2311,2010-01,C,,,A,96.03,IX,0
M,2010,OPD,2312,2010-01,N,,,A,101.16,IX,0
M,2010,OPD,2314,2010-01,E,,,A,100.0,IX,0
M,2010,OPD,2330,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2332,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2350,2010-01,C,,,A,99.02,IX,0
M,2010,OPD,2351,2010-01,N,,,A,98.55,IX,0
M,2010,OPD,2360,2010-01,E,,,A,99.98,IX,0
M,2010,OPD,2361,2010-01,F,,,A,99.37,IX,0
M,2010,OPD,2362,2010-01,F,,,A,101.89,IX,0
M,2010,OPD,2363,2010-01,C,,,A,101.29,IX,0
M,2010,OPD,2369,2010-01,N,,,A,97.42,IX,0
M,2010,OPD,2370,2010-01,E,,,A,101.11,IX,0
M,2010,OPD,2390,2010-01,F,,,A,95.78,IX,0
M,2010,OPD,2399,2010-01,F,,,A,95.48,IX,0
M,2010,OPD,2000,2010-01,C,,,A,94.69,IX,0
M,2010,OPD,2010,2010-01,N,,,A,92.65,IX,0
M,2010,OPD,2011,2010-01,E,,,A,89.8,IX,0
M,2010,OPD,2012,2010-01,F,,,A,86.9,IX,0
M,2010,OPD,2013,2010-01,F,,,A,90.17,IX,0
M,2010,OPD,2014,2010-01,C,,,A,92.93,IX,0
M,2010,OPD,2016,2010-01,N,,,A,97.8,IX,0
M,2010,OPD,2030,2010-01,E,,,A,98.48,IX,0
M,2010,OPD,2040,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2042,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2050,2010-01,C,,,A,100.28,IX,0
M,2010,OPD,2053,2010-01,N,,,A,99.7,IX,0
M,2010,OPD,2059,2010-01,E,,,A,100.36,IX,0
M,2010,OPD,2060,2010-01,F,,,A,92.03,IX,0
M,2010,OPD,2100,2010-01,F,,,A,99.77,IX,0
M,2010,OPD,2110,2010-01,C,,,A,93.74,IX,0
M,2010,OPD,2120,2010-01,N,,,A,100.0,IX,0
M,2010,OPD,2500,2010-01,E,,,A,95.45,IX,0
M,2010,OPD,2510,2010-01,F,,,A,90.1,IX,0
M,2010,OPD,2511,2010-01,F,,,A,84.64,IX,0
M,2010,OPD,2512,2010-01,C,,,A,99.07,IX,0
M,2010,OPD,2520,2010-01,N,,,A,95.22,IX,0
M,2010,OPD,2521,2010-01,E,,,A,97.59,IX,0
M,2010,OPD,2529,2010-01,F,,,A,89.69,IX,0
M,2010,OPD,2560,2010-01,F,,,A,100.17,IX,0
M,2010,OPD,2561,2010-01,C,,,A,99.99,IX,0
M,2010,OPD,2562,2010-01,N,,,A,100.24,IX,0
M,2010,OPD,2570,2010-01,E,,,A,100.0,IX,0
M,2010,OPD,2590,2010-01,F,,,A,97.68,IX,0
M,2010,OPD,2599,2010-01,F,,,A,100.5,IX,0
M,2010,OPD,2600,2010-01,C,,,A,99.96,IX,0
M,2010,OPD,2630,2010-01,N,,,A,99.92,IX,0
M,2010,OPD,2700,2010-01,E,,,A,99.28,IX,0
M,2010,OPD,2710,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2711,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2730,2010-01,C,,,A,94.4,IX,0
M,2010,OPD,2732,2010-01,N,,,A,94.27,IX,0
M,2010,OPD,2733,2010-01,E,,,A,97.26,IX,0
M,2010,OPD,2740,2010-01,F,,,A,99.7,IX,0
M,2010,OPD,2750,2010-01,F,,,A,98.52,IX,0
M,2010,OPD,2752,2010-01,C,,,A,100.02,IX,0
M,2010,OPD,2790,2010-01,N,,,A,106.39,IX,0
M,2010,OPD,2800,2010-01,E,,,A,99.39,IX,0
M,2010,OPD,2810,2010-01,F,,,A,99.35,IX,0
M,2010,OPD,2820,2010-01,F,,,A,98.95,IX,0
M,2010,OPD,2822,2010-01,C,,,A,100.0,IX,0
M,2010,OPD,2825,2010-01,N,,,A,97.23,IX,0
M,2010,OPD,2829,2010-01,E,,,A,99.74,IX,0
M,2010,OPD,2830,2010-01,F,,,A,99.72,IX,0
M,2010,OPD,2890,2010-01,F,,,A,100.52,IX,0
M,2010,OPD,2893,2010-01,C,,,A,99.98,IX,0
M,2010,OPD,2894,2010-01,N,,,A,101.98,IX,0
M,2010,OPD,2900,2010-01,E,,,A,99.51,IX,0
M,2010,OPD,2910,2010-01,F,,,A,100.67,IX,0
M,2010,OPD,2920,2010-01,F,,,A,102.52,IX,0
M,2010,OPD,2930,2010-01,C,,,A,96.94,IX,0
M,2010,OPD,2932,2010-01,N,,,A,96.91,IX,0
M,2010,OPD,1000,2010-01,E,,,A,98.25,IX,0
M,2010,OPD,1010,2010-01,F,,,A,98.92,IX,0
M,2010,OPD,1011,2010-01,F,,,A,99.38,IX,0
M,2010,OPD,1012,2010-01,C,,,A,96.9,IX,0
M,2010,OPD,1013,2010-01,N,,,A,99.38,IX,0
M,2010,OPD,1020,2010-01,E,,,A,97.77,IX,0
M,2010,OPD,1030,2010-01,F,,,A,101.69,IX,0
M,2010,OPD,1031,2010-01,F,,,A,102.28,IX,0
M,2010,OPD,1039,2010-01,C,,,A,100.06,IX,0
M,2010,OPD,1040,2010-01,N,,,A,95.88,IX,0
M,2010,OPD,1050,2010-01,E,,,A,97.59,IX,0
M,2010,OPD,1051,2010-01,F,,,A,97.34,IX,0
M,2010,OPD,1052,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,1060,2010-01,C,,,A,95.85,IX,0
M,2010,OPD,1061,2010-01,N,,,A,96.71,IX,0
M,2010,OPD,1062,2010-01,E,,,A,94.74,IX,0
M,2010,OPD,1070,2010-01,F,,,A,99.6,IX,0
M,2010,OPD,1071,2010-01,F,,,A,99.31,IX,0
M,2010,OPD,1072,2010-01,C,,,A,99.9,IX,0
M,2010,OPD,1080,2010-01,N,,,A,99.89,IX,0
M,2010,OPD,1082,2010-01,E,,,A,100.03,IX,0
M,2010,OPD,1083,2010-01,F,,,A,98.86,IX,0
M,2010,OPD,1084,2010-01,F,,,A,99.96,IX,0
M,2010,OPD,1085,2010-01,C,,,A,100.02,IX,0
M,2010,OPD,1089,2010-01,N,,,A,100.0,IX,0
M,2010,OPD,1090,2010-01,E,,,A,94.55,IX,0
M,2010,OPD,1091,2010-01,F,,,A,94.49,IX,0
M,2010,OPD,1100,2010-01,F,,,A,99.28,IX,0
M,2010,OPD,1101,2010-01,C,,,A,99.48,IX,0
M,2010,OPD,1105,2010-01,N,,,A,100.0,IX,0
M,2010,OPD,1107,2010-01,E,,,A,99.98,IX,0
M,2010,OPD,1200,2010-01,F,,,A,97.82,IX,0
M,2010,OPD,1300,2010-01,F,,,A,98.33,IX,0
M,2010,OPD,1310,2010-01,C,,,A,89.23,IX,0
M,2010,OPD,1320,2010-01,N,,,A,99.71,IX,0
M,2010,OPD,1330,2010-01,E,,,A,100.0,IX,0
M,2010,OPD,1390,2010-01,F,,,A,99.73,IX,0
M,2010,OPD,1392,2010-01,F,,,A,99.34,IX,0
M,2010,OPD,1393,2010-01,C,,,A,99.8,IX,0
M,2010,OPD,1396,2010-01,N,,,A,100.0,IX,0
M,2010,OPD,1410,2010-01,E,,,A,98.7,IX,0
M,2010,OPD,1412,2010-01,F,,,A,97.14,IX,0
M,2010,OPD,1413,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,1414,2010-01,C,,,A,99.62,IX,0
M,2010,OPD,1419,2010-01,N,,,A,89.92,IX,0
M,2010,OPD,1430,2010-01,E,,,A,100.0,IX,0
M,2010,OPD,1439,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,1500,2010-01,F,,,A,97.94,IX,0
M,2010,OPD,1510,2010-01,C,,,A,99.97,IX,0
M,2010,OPD,1512,2010-01,N,,,A,99.97,IX,0
M,2010,OPD,1600,2010-01,E,,,A,95.09,IX,0
M,2010,OPD,1610,2010-01,F,,,A,86.6,IX,0
M,2010,OPD,1620,2010-01,F,,,A,97.86,IX,0
M,2010,OPD,1621,2010-01,C,,,A,96.83,IX,0
M,2010,OPD,1623,2010-01,N,,,A,99.05,IX,0
M,2010,OPD,1624,2010-01,E,,,A,95.32,IX,0
M,2010,OPD,1629,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,1700,2010-01,F,,,A,97.38,IX,0
M,2010,OPD,1720,2010-01,C,,,A,96.31,IX,0
M,2010,OPD,1721,2010-01,N,,,A,93.76,IX,0
M,2010,OPD,1722,2010-01,E,,,A,98.99,IX,0
M,2010,OPD,1729,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,2200,2010-01,F,,,A,96.69,IX,0
M,2010,OPD,2210,2010-01,C,,,A,99.48,IX,0
M,2010,OPD,2219,2010-01,N,,,A,99.18,IX,0
M,2010,OPD,2220,2010-01,E,,,A,96.27,IX,0
M,2010,OPD,2221,2010-01,F,,,A,95.47,IX,0
M,2010,OPD,2222,2010-01,F,,,A,97.74,IX,0
M,2010,OPD,2223,2010-01,C,,,A,99.95,IX,0
M,2010,OPD,2229,2010-01,N,,,A,93.9,IX,0
M,2010,OPD,3100,2010-01,E,,,A,99.35,IX,0
M,2010,OPD,3101,2010-01,F,,,A,99.38,IX,0
M,2010,OPD,3102,2010-01,F,,,A,102.03,IX,0
M,2010,OPD,3103,2010-01,C,,,A,97.88,IX,0
M,2010,OPD,3109,2010-01,N,,,A,98.82,IX,0
M,2010,OPD,3200,2010-01,E,,,A,100.17,IX,0
M,2010,OPD,3250,2010-01,F,,,A,100.11,IX,0
M,2010,OPD,3290,2010-01,F,,,A,100.0,IX,0
M,2010,OPD,3299,2010-01,C,,,A,100.0,IX,0
M,2010,OPD,3310,2010-01,N,,,A,97.89,IX,0
M,2010,OPD,3312,2010-01,E,,,A,100.0,IX,0
M,2010,OPD,3320,2010-01,F,,,A,101.05,IX,0
M,2010,OPN,20,2010-01,F,,,A,96.22,IX,0
M,2010,OPN,31,2010-01,C,,,A,96.8,IX,0
M,2010,OPN,39,2010-01,N,,,A,94.68,IX,0
M,2010,OPN,40,2010-01,E,,,A,94.73,IX,0
M,2010,OPN,50,2010-01,F,,,A,98.9,IX,0
M,2010,OPN,60,2010-01,F,,,A,99.0,IX,0
M,2010,OPN,70,2010-01,C,,,A,99.3,IX,0
M,2010,OPN,80,2010-01,N,,,A,99.29,IX,0
M,2010,OPN,90,2010-01,E,,,A,94.67,IX,0
M,2010,OPN,100,2010-01,F,,,A,99.89,IX,0
M,2010,OPN,200,2010-01,F,,,A,96.22,IX,0
M,2010,OPN,257,2010-01,C,,,A,99.04,IX,0
M,2010,OPN,3500,2010-01,N,,,A,96.25,IX,0
M,2010,OPN,1920,2010-01,E,,,A,94.29,IX,0
M,2010,OPN,3510,2010-01,F,,,A,97.01,IX,0
M,2010,OPN,3520,2010-01,F,,,A,94.29,IX,0
M,2010,OPN,3600,2010-01,C,,,A,99.89,IX,0
M,2010,OPN,2400,2010-01,N,,,A,89.52,IX,0
M,2010,OPN,2410,2010-01,E,,,A,86.93,IX,0
M,2010,OPN,2430,2010-01,F,,,A,91.88,IX,0
M,2010,OPN,2434,2010-01,F,,,A,88.27,IX,0
M,2010,OPN,2440,2010-01,C,,,A,94.24,IX,0
M,2010,OPN,2444,2010-01,N,,,A,87.69,IX,0
M,2010,OPN,2450,2010-01,E,,,A,99.46,IX,0
M,2010,OPN,2451,2010-01,F,,,A,98.57,IX,0
M,2010,OPN,2453,2010-01,F,,,A,100.0,IX,0
M,2010,OPN,810,2010-01,C,,,A,99.85,IX,0
M,2010,OPN,811,2010-01,N,,,A,99.94,IX,0
M,2010,OPN,812,2010-01,E,,,A,99.68,IX,0
M,2010,OPN,2300,2010-01,F,,,A,99.03,IX,0
M,2010,OPN,2310,2010-01,F,,,A,98.68,IX,0
M,2010,OPN,2311,2010-01,C,,,A,96.02,IX,0
M,2010,OPN,2312,2010-01,N,,,A,101.23,IX,0
M,2010,OPN,2314,2010-01,E,,,A,100.0,IX,0
M,2010,OPN,2330,2010-01,F,,,A,100.0,IX,0
M,2010,OPN,2332,2010-01,F,,,A,100.0,IX,0
M,2010,OPN,2350,2010-01,C,,,A,101.19,IX,0
M,2010,OPN,2351,2010-01,N,,,A,102.25,IX,0
M,2010,OPN,2360,2010-01,E,,,A,100.14,IX,0
M,2010,OPN,2361,2010-01,F,,,A,99.84,IX,0
M,2010,OPN,2362,2010-01,F,,,A,101.89,IX,0
M,2010,OPN,2363,2010-01,C,,,A,101.31,IX,0
M,2010,OPN,2369,2010-01,N,,,A,96.61,IX,0
M,2010,OPN,2370,2010-01,E,,,A,101.86,IX,0
M,2010,OPN,2390,2010-01,F,,,A,95.51,IX,0
M,2010,OPN,2399,2010-01,F,,,A,95.31,IX,0
M,2010,OPN,2000,2010-01,C,,,A,95.51,IX,0
M,2010,OPN,2010,2010-01,N,,,A,93.83,IX,0
M,2010,OPN,2011,2010-01,E,,,A,90.77,IX,0
M,2010,OPN,2012,2010-01,F,,,A,87.52,IX,0
M,2010,OPN,2013,2010-01,F,,,A,90.26,IX,0
M,2010,OPN,2014,2010-01,C,,,A,91.9,IX,0
M,2010,OPN,2016,2010-01,N,,,A,98.77,IX,0
M,2010,OPN,2030,2010-01,E,,,A,99.69,IX,0
M,2010,OPN,2040,2010-01,F,,,A,100.0,IX,0
M,2010,OPN,2042,2010-01,F,,,A,100.0,IX,0
M,2010,OPN,2050,2010-01,C,,,A,100.34,IX,0
M,2010,OPN,2053,2010-01,N,,,A,99.7,IX,0
M,2010,OPN,2059,2010-01,E,,,A,100.36,IX,0
M,2010,OPN,2060,2010-01,F,,,A,92.04,IX,0
M,2010,OPN,2100,2010-01,F,,,A,99.34,IX,0
M,2010,OPN,2110,2010-01,C,,,A,93.74,IX,0
