TRANSFORMATION_SCHEME_ID	TRANSFORMATION_ID	ORDER	EXPRESSION	Validation result
DB_ANCRDT_INSTRMNT_C_1	DB_ANCRDT_INSTRMNT_C_1_0	0	"/*Write the data set 'Instrument (ANCRDT_INSTRMNT_C)' to the data base*/ANCRDT_INSTRMNT_C := put(ANCRDT_INSTRMNT_C, ""ANCRDT_INSTRMNT_C"")"	
DB_ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1	DB_ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1_0	0	"/*Write the data set 'Instrument-protection (ANCRDT_INSTRMNT_PRTCTN_RCVD_C)' to the data base*/ANCRDT_INSTRMNT_PRTCTN_RCVD_C := put(ANCRDT_INSTRMNT_PRTCTN_RCVD_C, ""ANCRDT_INSTRMNT_PRTCTN_RCVD_C"")"	
DB_ANCRDT_JNT_LBLTS_C_1	DB_ANCRDT_JNT_LBLTS_C_1_0	0	"/*Write the data set 'Joint liabilities (ANCRDT_JNT_LBLTS_C)' to the data base*/ANCRDT_JNT_LBLTS_C := put(ANCRDT_JNT_LBLTS_C, ""ANCRDT_JNT_LBLTS_C"")"	
DB_ANCRDT_PRTCTN_RCVD_C_1	DB_ANCRDT_PRTCTN_RCVD_C_1_0	0	"/*Write the data set 'Protection received (ANCRDT_PRTCTN_RCVD_C)' to the data base*/ANCRDT_PRTCTN_RCVD_C := put(ANCRDT_PRTCTN_RCVD_C, ""ANCRDT_PRTCTN_RCVD_C"")"	
DB_CMMTMNTS_GVN_E_1	DB_CMMTMNTS_GVN_E_1_0	0	"/*Write the data set 'Commitments given - enriched (CMMTMNTS_GVN_E)' to the data base*/CMMTMNTS_GVN_E := put(CMMTMNTS_GVN_E, ""CMMTMNTS_GVN_E"")"	
DB_CMMTMNTS_GVN_PRTCTNS_E_1	DB_CMMTMNTS_GVN_PRTCTNS_E_1_0	0	"/*Write the data set 'Commitments given-protections - enriched (CMMTMNTS_GVN_PRTCTNS_E)' to the data base*/CMMTMNTS_GVN_PRTCTNS_E := put(CMMTMNTS_GVN_PRTCTNS_E, ""CMMTMNTS_GVN_PRTCTNS_E"")"	
DB_CMMTMNT_PRTCTN_1	DB_CMMTMNT_PRTCTN_1_0	0	"/*Extract the content of the cube Commitments-protections (CMMTMNT_PRTCTN)' and store it in the data set named 'CMMTMNT_PRTCTN'*/CMMTMNT_PRTCTN := GT_CB_VLD_AT(""CMMTMNT_PRTCTN"", DT_RFRNC)"	
DB_CMMTMNT_RCVD_1	DB_CMMTMNT_RCVD_1_0	0	"/*Extract the content of the cube Commitment Received (CMMTMNT_RCVD)' and store it in the data set named 'CMMTMNT_RCVD'*/CMMTMNT_RCVD := GT_CB_VLD_AT(""CMMTMNT_RCVD"", DT_RFRNC)"	
DB_CMPSTN_LGL_ENTTY_1	DB_CMPSTN_LGL_ENTTY_1_0	0	"/*Extract the content of the cube Composition of the legal entity (CMPSTN_LGL_ENTTY)' and store it in the data set named 'CMPSTN_LGL_ENTTY'*/CMPSTN_LGL_ENTTY := GT_CB_VLD_AT(""CMPSTN_LGL_ENTTY"", DT_RFRNC)"	
DB_CNTRPRTS_1	DB_CNTRPRTS_1_0	0	"/*Extract the content of the cube Counterparties (CNTRPRTS)' and store it in the data set named 'CNTRPRTS'*/CNTRPRTS := GT_CB_VLD_AT(""CNTRPRTS"", DT_RFRNC)"	
DB_CNTRPRTS_CDS_1	DB_CNTRPRTS_CDS_1_0	0	"/*Extract the content of the cube Counterparty codes (CNTRPRTS_CDS)' and store it in the data set named 'CNTRPRTS_CDS'*/CNTRPRTS_CDS := GT_CB_VLD_AT(""CNTRPRTS_CDS"", DT_RFRNC)"	
DB_CNTRPRTS_E_1	DB_CNTRPRTS_E_1_0	0	"/*Write the data set 'Counterparties - enriched (CNTRPRTS_E)' to the data base*/CNTRPRTS_E := put(CNTRPRTS_E, ""CNTRPRTS_E"")"	
DB_CNTRY_1	DB_CNTRY_1_0	0	"/*Extract the content of the cube Countries reference information (CNTRY)' and store it in the data set named 'CNTRY'*/CNTRY := GT_CB_VLD_AT(""CNTRY"", DT_RFRNC)"	
DB_CRDT_CRD_DBT_1	DB_CRDT_CRD_DBT_1_0	0	"/*Extract the content of the cube Credit card debt (CRDT_CRD_DBT)' and store it in the data set named 'CRDT_CRD_DBT'*/CRDT_CRD_DBT := GT_CB_VLD_AT(""CRDT_CRD_DBT"", DT_RFRNC)"	
DB_CRDT_DRVTV_1	DB_CRDT_DRVTV_1_0	0	"/*Extract the content of the cube Credit derivatives (CRDT_DRVTV)' and store it in the data set named 'CRDT_DRVTV'*/CRDT_DRVTV := GT_CB_VLD_AT(""CRDT_DRVTV"", DT_RFRNC)"	
DB_CRDT_FCLTS_1	DB_CRDT_FCLTS_1_0	0	"/*Extract the content of the cube 'Credit facilities (CRDT_FCLTS)' and store it in the data set named 'CRDT_FCLTS'*/CRDT_FCLTS := GT_CB_VLD_AT(""CRDT_FCLTS"", DT_RFRNC)"	
DB_CRDT_FCLTS_INSTRMNTS_1	DB_CRDT_FCLTS_INSTRMNTS_1_0	0	"/*Extract the content of the cube Credit facilities-Instruments (CRDT_FCLTS_INSTRMNTS)' and store it in the data set named 'CRDT_FCLTS_INSTRMNTS'*/CRDT_FCLTS_INSTRMNTS := GT_CB_VLD_AT(""CRDT_FCLTS_INSTRMNTS"", DT_RFRNC)"	
DB_CRDT_FCLTS_INSTRMNTS_E_1	DB_CRDT_FCLTS_INSTRMNTS_E_1_0	0	"/*Write the data set 'Credit facilities-Instruments - enriched (CRDT_FCLTS_INSTRMNTS_E)' to the data base*/CRDT_FCLTS_INSTRMNTS_E := put(CRDT_FCLTS_INSTRMNTS_E, ""CRDT_FCLTS_INSTRMNTS_E"")"	
DB_CRRNT_ACCNT_1	DB_CRRNT_ACCNT_1_0	0	"/*Extract the content of the cube Current account (including Transferable deposits) (CRRNT_ACCNT)' and store it in the data set named 'CRRNT_ACCNT'*/CRRNT_ACCNT := GT_CB_VLD_AT(""CRRNT_ACCNT"", DT_RFRNC)"	
DB_CSH_ON_HND_1	DB_CSH_ON_HND_1_0	0	"/*Extract the content of the cube Cash on hand (CSH_ON_HND)' and store it in the data set named 'CSH_ON_HND'*/CSH_ON_HND := GT_CB_VLD_AT(""CSH_ON_HND"", DT_RFRNC)"	
DB_CSH_ON_HND_E_1	DB_CSH_ON_HND_E_1_0	0	"/*Write the data set 'Cash on hand - enriched (CSH_ON_HND_E)' to the data base*/CSH_ON_HND_E := put(CSH_ON_HND_E, ""CSH_ON_HND_E"")"	
DB_DBT_SCRTS_E_1	DB_DBT_SCRTS_E_1_0	0	"/*Write the data set 'Debt securities - enriched (DBT_SCRTS_E)' to the data base*/DBT_SCRTS_E := put(DBT_SCRTS_E, ""DBT_SCRTS_E"")"	
DB_DPSTS_LBLTS_1	DB_DPSTS_LBLTS_1_0	0	"/*Extract the content of the cube Deposits (liabilities) (DPSTS_LBLTS)' and store it in the data set named 'DPSTS_LBLTS'*/DPSTS_LBLTS := GT_CB_VLD_AT(""DPSTS_LBLTS"", DT_RFRNC)"	
DB_DPSTS_THT_LBLTS_E_1	DB_DPSTS_THT_LBLTS_E_1_0	0	"/*Write the data set 'Deposits that are liabilities - enriched (DPSTS_THT_LBLTS_E)' to the data base*/DPSTS_THT_LBLTS_E := put(DPSTS_THT_LBLTS_E, ""DPSTS_THT_LBLTS_E"")"	
DB_DRVTV_E_1	DB_DRVTV_E_1_0	0	"/*Write the data set 'Derivatives (DRVTV_E)' to the data base*/DRVTV_E := put(DRVTV_E, ""DRVTV_E"")"	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
