CMMTMNT_INCPTN,CNTRCT_ID,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INSTRMNT_ID,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_RFRNC_RT,NEVS_SYNDCTD_CNTRCT_ID,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRPS,NEVS_CRRNCY_DNMNTN,NEVS_TYP_AMRTSTN,NEVS_PRJCT_FNNC_LN,NEVS_DT_INCPTN,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_RCRS,NEVS_TYP_INTRST_RT,NEVS_PYMNT_FRQNCY,SYNDCTD_CNTRCT_ID,NEVS_TYP_INSTRMNT,NEVS_FDCRY
,C_CN0801,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_18,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0805,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_19,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0804,EUR,,2019-09-30,2019-10-01,,2,,CINSTR_20,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0806,EUR,,2019-09-25,2019-10-01,,2,,CINSTR_21,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0807,EUR,,2019-09-25,2019-10-20,,2,,CINSTR_22,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0809,EUR,,2019-09-25,2019-11-16,,2,,CINSTR_23,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0869,EUR,,2019-09-25,2020-01-15,,2,,CINSTR_24,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0925,EUR,,2019-09-25,2020-04-21,,2,,CINSTR_25,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0935,EUR,,2019-09-25,2020-10-31,,2,,CINSTR_26,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_27,EUR,,2019-09-25,2021-07-17,,2,,CINSTR_27,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_28,EUR,,2019-09-25,2021-12-07,,2,,CINSTR_28,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_29,EUR,,2019-09-25,2022-12-07,,2,,CINSTR_29,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_30,EUR,,2019-09-25,2025-11-20,,2,,CINSTR_30,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_31,EUR,,2019-09-25,2030-02-26,,2,,CINSTR_31,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_32,EUR,,2019-09-25,2035-10-02,,2,,CINSTR_32,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_33,EUR,,2019-09-25,2041-09-29,,2,,CINSTR_33,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_34,EUR,,2019-09-25,2059-09-24,,2,,CINSTR_34,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,CCNTR_35,EUR,,2019-09-25,2070-09-25,,2,,CINSTR_35,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,C_CN0080,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_36,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_37,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_37,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_38,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_38,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_39,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_39,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_40,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_40,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_41,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_41,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_42,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,CINSTR_42,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_43,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,CINSTR_43,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_44,EUR,,2017-11-16,2032-12-01,2017-12-01,2,,CINSTR_44,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_45,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_45,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_46,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_46,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_47,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_47,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_48,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_48,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_49,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_49,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,CCNTR_50,EUR,,2019-02-28,,2019-02-28,2,,CINSTR_50,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1500000.00,CCNTR_51,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,CINSTR_51,,,,,,0,,,0,0,0,0,0,0,0,2,13,8,1,,2,2,3,1004,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000.00,C_CN0848,EUR,,2015-06-12,2018-06-30,2015-06-30,2,,CINSTR_52,,,,0.040000,,0,,,0,0,0,0,,,0,2,11,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,CCNTR_53,EUR,,2014-12-01,,2014-12-01,2,,CINSTR_53,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,CCNTR_54,EUR,,2014-12-01,,2014-12-01,2,,CINSTR_54,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000.00,C_CN0849,EUR,,2015-06-12,2018-06-30,2015-06-30,2,,CINSTR_55,,,,0.040000,,0,,,0,0,0,0,,,0,2,11,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0867,EUR,,2014-12-01,,2014-12-01,2,40,CINSTR_56,,,,,0,0,0,,,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_57,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_57,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_58,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_58,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_59,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_59,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
185000,CCNTR_60,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,CINSTR_60,,,,,,0,,,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2222,C_CN0810,EUR,2016-11-30,2010-01-01,2020-12-31,2010-01-01,2,10000,CINSTR_61,0.2,0.001,8,0.02,,,,,,,,,,,0,2,11,8,2,55,2,2,5,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2000000,CCNTR_62,EUR,,2016-01-01,2020-12-31,2016-01-01,2,0,CINSTR_62,0.1,0.01,8,0.02,,0,,,,,,,,,0,2,9,1,2,100,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2000000,CCNTR_63,EUR,,2016-01-01,2020-12-31,2016-01-01,2,0,CINSTR_63,0.1,0.01,8,0.02,,0,,,,,,,,,0,2,9,1,2,100,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1500000.00,CCNTR_64,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,CINSTR_64,,,,,,0,,,0,0,0,0,0,0,0,2,13,8,1,,2,2,3,1004,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_65,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_65,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1500000.00,CCNTR_66,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,CINSTR_66,,,,,,0,,,0,0,0,0,0,0,0,2,13,8,1,,2,2,3,1004,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1500000.00,CCNTR_67,EUR,,2017-01-14,2023-01-31,2017-01-31,2,,CINSTR_67,,,,,,0,,,0,0,0,0,0,0,0,2,13,8,1,,2,2,3,1004,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
72000000.00,CCNTR_68,EUR,,2018-03-15,2024-06-30,2018-06-30,2,,CINSTR_68,0.050000,,,0.035000,,0,,,0,,0,0,,,0,2,8,8,2,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
1000000,CCNTR_69,EUR,,2017-11-16,2022-12-01,2017-12-01,2,,CINSTR_69,0.042000,0.025000,1,0.024000,,0,,,0,,,,,,0,2,8,8,1,136,2,2,3,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2222,CCNTR_70,EUR,2016-11-30,2010-01-01,2020-12-31,2010-01-01,2,10000,CINSTR_70,0.2,0.001,8,0.02,,,,,,,,,,,0,2,11,8,2,55,2,2,5,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,CCNTR_71,EUR,,2019-02-28,,2019-02-28,2,,CINSTR_71,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2222,CCNTR_72,EUR,2016-11-30,2010-01-01,2020-12-31,2010-01-01,2,10000,CINSTR_72,0.2,0.001,8,0.02,,,,,,,,,,,0,2,11,8,2,55,2,2,5,1004,2,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
185000,CCNTR_73,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,CINSTR_73,,,,,,0,,,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
185000,CCNTR_74,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,CINSTR_74,,,,,,0,,,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
23000,CCNTR_75,EUR,,2017-09-11,2021-03-13,2017-09-11,2,2000,CINSTR_75,,,,,,0,,,,0,0,0,0,0,0,2,11,4,1,,2,2,3,1004,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
