ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CNTRCT_ID,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,INSTRMNT_ID,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRFRMNG_STTS,NEVS_ACCMLTD_WRTFFS,NEVS_RCGNTN_STTS
,0,0,6,,C_CN0806,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_21,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0807,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_22,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0809,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_23,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0869,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_24,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0925,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_25,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0935,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_26,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_27,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_27,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_28,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_28,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_29,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_29,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_30,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_30,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_31,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_31,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_32,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_32,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_33,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_33,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_34,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_34,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_35,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_35,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,C_CN0080,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_36,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_37,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_37,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_38,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_38,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_39,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_39,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_40,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_40,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_41,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_41,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_42,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_42,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_43,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_43,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_44,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_44,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_45,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_45,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_46,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_46,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_47,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_47,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_48,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_48,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_49,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_49,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,CCNTR_50,2860897.67,2019-02-28,2019-02-28,8,2,23,CINSTR_50,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,2500.00,0.00,6,,CCNTR_51,1247500.00,2017-01-14,2017-01-14,8,1,23,CINSTR_51,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,,270000.00,,150000.00,C_CN0848,,,,,,,CINSTR_52,0,0,0,,0,0,0,-5,0,0,0,0,-5,,1,,3,,EEAS_OA35,2019-06-30,,,
,0,0,14,,CCNTR_53,1134.31,,2014-12-01,8,2,23,CINSTR_53,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,CCNTR_54,1134.31,,2014-12-01,8,2,23,CINSTR_54,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,,270000.00,,150000.00,C_CN0849,,,,,,,CINSTR_55,0,0,0,,0,0,0,-5,0,0,0,0,-5,,1,,3,,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0867,1134.31,,2014-12-01,8,2,23,CINSTR_56,0,,,0,,-5,,,,,,0,,2,11,,3,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_57,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_57,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_58,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_58,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_59,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_59,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_60,164935.04,2019-03-28,2019-03-28,8,2,23,CINSTR_60,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
0,10000,0,10,0,C_CN0810,0,2013-01-01,2016-06-01,8,2,21,CINSTR_61,,,,,,,,,,,,,,1,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
0,0,0,10,0,CCNTR_62,0,,2016-06-01,8,1,21,CINSTR_62,,,,,,0,,,,,,,,1,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
0,0,0,10,0,CCNTR_63,0,,2016-06-01,8,1,21,CINSTR_63,,,,,,0,,,,,,,,1,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,2500.00,0.00,6,,CCNTR_64,1247500.00,2017-01-14,2017-01-14,8,1,23,CINSTR_64,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_65,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_65,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,2500.00,0.00,6,,CCNTR_66,1247500.00,2017-01-14,2017-01-14,8,1,23,CINSTR_66,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,2500.00,0.00,6,,CCNTR_67,1247500.00,2017-01-14,2017-01-14,8,1,23,CINSTR_67,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,34500.00,0.00,6,,CCNTR_68,68965500.00,2018-03-15,2018-03-15,8,1,23,CINSTR_68,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,17000.00,0.00,6,,CCNTR_69,834912.50,2017-11-16,2017-11-16,8,1,23,CINSTR_69,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
0,10000,0,10,0,CCNTR_70,0,2013-01-01,2016-06-01,8,2,21,CINSTR_70,,,,,,,,,,,,,,1,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,CCNTR_71,2860897.67,2019-02-28,2019-02-28,8,2,23,CINSTR_71,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
0,10000,0,10,0,CCNTR_72,0,2013-01-01,2016-06-01,8,2,21,CINSTR_72,,,,,,,,,,,,,,1,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_73,99214.58,2019-03-28,2019-03-28,8,2,23,CINSTR_73,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,CCNTR_74,99214.58,2019-03-28,2019-03-28,8,2,23,CINSTR_74,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,,500,10,,CCNTR_75,,,,,,,CINSTR_75,0,0,,0,0,-5,0,0,0,0,0,0,0,,1,,1,,EEAS_OA35,2019-06-30,,,
