"contract_id","OBS_VALUE","stock_exchange_id","mic","ticker_id","contract_type","instrument_id","contract_name","contract_size_description","base_currency","contract_size","settlement_currency"
"id40","JCNXZ","MERFOX","WKJ44","ZAMIK","T","","MJSED","ZWUBD","XFU","SVCOP","LUF"
"id41","A4M72","MCEX","MQK5C","UTLMN","P","T","6GCVS","DTD5Y","BIF","VCD64","CZK"
"id42","XHCD2","KACOM","KFP68","NB1KK","S","","MY2EU","NO9KY","GIP","YJXS5","MNT"
"id43","OPUG1","PSX","LICOU","8X4QB","3","T","3R5HV","1AWVG","DJF","KF4O1","AOR"
"id44","YGOII","DCE","MC8JW","XJFGZ","3","","V9L6A","TGX1X","RUB","SWIQN","HKD"
"id45","SLT8P","ME","0PNYI","RM0A1","N","T","3OYTU","LTWAR","CSJ","1U0MC","ARA"
"id46","QM53I","MEFF","XR33X","SSDYE","E","T","YGBKE","FTJ9W","X16","DULXU","MOP"
"id47","N1MQU","CBOE","MSCD5","N5KR2","3","","YJVNJ","F7XA3","GHP","K03WS","LAJ"
"id48","ZRAFI","NAGOYA","60L2Z","XVKZO","X","T","IFMXH","B6475","GEL","7C4C2","CUC"
"id49","FD744","AFET","PQNIP","A6TAK","2","O","2PDXS","LX5C5","XFU","3AHTO","UYI"
"id50","0EB96","ENX-FR","ZGR9W","997YA","A","","8M3BB","333VY","X12","MS8E6","SHP"
