COUNT_SECTOR,REF_DATE,REP_COUNTRY,OBS_VALUE
P,2018-12-31,DE,720985.0
N,2018-12-31,CL,3647.143
U,2018-12-31,PH,617.36
U,2018-12-31,JP,0.001
I,2018-12-31,MO,59336.034
I,2018-12-31,BE,323809.216
A,2018-12-31,KR,470120.70900000003
A,2018-12-31,PT,140379.718
F,2018-12-31,5A,10854860.696
F,2018-12-31,JP,1275987.5799999998
B,2018-12-31,CY,12890.583
I,2018-12-31,ID,39467.336
I,2018-12-31,CN,
N,2018-12-31,NL,744105.73
I,2018-12-31,KY,780430.0
N,2018-12-31,CH,801638.104
A,2018-12-31,PH,53543.454
P,2018-12-31,CN,
B,2018-12-31,SE,453076.519
U,2018-12-31,CA,173185.482
I,2018-12-31,IT,239007.31900000002
B,2018-12-31,5A,29149843.09
A,2018-12-31,FR,5555428.0
F,2018-12-31,CA,277665.098
N,2018-12-31,DE,1138266.0
B,2018-12-31,TR,130447.121
A,2018-12-31,BR,222531.0
P,2018-12-31,GG,35671.044
A,2018-12-31,IM,77285.01199999999
N,2018-12-31,LU,382804.098
P,2018-12-31,FR,675393.0
N,2018-12-31,AU,390202.71699999995
N,2018-12-31,ZA,22842.0
N,2018-12-31,US,2652251.0
A,2018-12-31,IE,650465.368
P,2018-12-31,AT,137740.15399999998
A,2018-12-31,GG,242062.279
P,2018-12-31,PH,12691.147999999997
P,2018-12-31,BE,155994.635
I,2018-12-31,ES,193384.72
P,2018-12-31,IE,122517.37000000001
U,2018-12-31,TW,10183.6
I,2018-12-31,KR,123467.03199999999
B,2018-12-31,MO,99065.133
N,2018-12-31,FR,2102085.0
F,2018-12-31,HK,
P,2018-12-31,LU,239283.772
U,2018-12-31,DK,
I,2018-12-31,RU,12016.42
I,2018-12-31,DK,92974.70199999999
B,2018-12-31,FR,2544308.0
U,2018-12-31,5A,3896100.811
A,2018-12-31,CH,1680740.6709999999
I,2018-12-31,DE,1224356.0
I,2018-12-31,PA,
P,2018-12-31,BM,5366.029
B,2018-12-31,AU,725847.4679999999
U,2018-12-31,CL,7839.911
P,2018-12-31,TR,18380.737999999998
P,2018-12-31,TW,178630.99800000002
P,2018-12-31,AU,156464.06699999998
I,2018-12-31,NL,673206.185
P,2018-12-31,ES,199483.28199999998
F,2018-12-31,SE,57853.575
B,2018-12-31,NO,256522.43
B,2018-12-31,IM,45592.73300000001
I,2018-12-31,CL,
N,2018-12-31,IM,31689.955
U,2018-12-31,SG,121587.6
I,2018-12-31,5A,18100415.718999997
U,2018-12-31,DE,671088.0
P,2018-12-31,ID,3714.182
P,2018-12-31,IT,140839.16
F,2018-12-31,PH,3673.955
I,2018-12-31,US,2690471.0
U,2018-12-31,US,
A,2018-12-31,ZA,82201.0
F,2018-12-31,AT,82582.979
I,2018-12-31,IE,289138.552
P,2018-12-31,KY,168260.0
N,2018-12-31,IE,203610.479
U,2018-12-31,IE,85880.753
B,2018-12-31,IE,360974.13600000006
P,2018-12-31,US,895142.0
N,2018-12-31,KR,139055.999
N,2018-12-31,PT,68277.097
P,2018-12-31,BS,46060.907999999996
I,2018-12-31,LU,447650.21599999996
N,2018-12-31,MY,58497.388000000006
I,2018-12-31,NO,179686.44400000002
B,2018-12-31,DK,263312.172
B,2018-12-31,PT,63093.945999999996
U,2018-12-31,FR,909035.0
A,2018-12-31,MO,224496.72600000002
U,2018-12-31,IM,2.324
U,2018-12-31,NO,41167.425
F,2018-12-31,IN,
N,2018-12-31,DK,138830.214
U,2018-12-31,PA,0.02
B,2018-12-31,SG,845232.2
P,2018-12-31,NL,497521.96499999997
B,2018-12-31,MY,
U,2018-12-31,MY,
P,2018-12-31,5A,10781532.162
N,2018-12-31,SG,581102.2
F,2018-12-31,BE,99746.195
A,2018-12-31,IN,242455.052
F,2018-12-31,MO,19226.341
A,2018-12-31,SE,628596.588
P,2018-12-31,CA,279237.556
P,2018-12-31,FI,54840.914
U,2018-12-31,KY,2389.0
P,2018-12-31,IM,28364.757
U,2018-12-31,KR,40553.172000000006
B,2018-12-31,IN,46416.95
B,2018-12-31,JP,2167286.5870000003
N,2018-12-31,BS,58447.478
F,2018-12-31,KY,256639.0
A,2018-12-31,CN,2414048.0130000003
I,2018-12-31,SG,
U,2018-12-31,CW,
F,2019-03-31,CN,
I,2019-03-31,AU,357972.198
I,2019-03-31,FI,221105.593
U,2019-03-31,TR,
F,2019-03-31,US,2151659.0
U,2019-03-31,BM,-0.001
F,2019-03-31,GG,8854.032
N,2019-03-31,CY,22260.320999999996
U,2019-03-31,ID,
A,2019-03-31,5A,57694838.620000005
A,2019-03-31,KY,1333450.0
F,2019-03-31,BS,12386.57
F,2019-03-31,RU,91297.87
B,2019-03-31,KR,293117.902
N,2019-03-31,GR,38112.0
P,2019-03-31,SE,100270.261
B,2019-03-31,DE,2182077.0
N,2019-03-31,SE,161915.481
A,2019-03-31,ID,71966.133
A,2019-03-31,SG,1579616.0
P,2019-03-31,JP,1758870.947
P,2019-03-31,CY,13971.593
U,2019-03-31,IT,-6814.547999999999
F,2019-03-31,NL,258600.489
A,2019-03-31,CW,23212.0
P,2019-03-31,HK,
F,2019-03-31,ZA,8877.0
I,2019-03-31,IM,38987.714
A,2019-03-31,HK,2764462.4790000003
A,2019-03-31,TR,166357.807
U,2019-03-31,BE,41354.012
F,2019-03-31,MY,
U,2019-03-31,MO,20242.656
U,2019-03-31,AT,27444.435
B,2019-03-31,LU,645427.0689999999
I,2019-03-31,PH,8461.621
F,2019-03-31,CH,354010.345
U,2019-03-31,NL,337561.19299999997
I,2019-03-31,PT,
U,2019-03-31,HK,
F,2019-03-31,DK,92409.75600000001
N,2019-03-31,IN,211755.53600000002
U,2019-03-31,JE,
N,2019-03-31,CW,11791.0
P,2019-03-31,NO,57569.884000000005
U,2019-03-31,RU,3525.02
F,2019-03-31,BM,2556.573
P,2019-03-31,GB,1287138.0
I,2019-03-31,TW,172268.006
B,2019-03-31,CH,885289.107
N,2019-03-31,MO,119594.598
A,2019-03-31,MY,169690.87099999998
N,2019-03-31,NO,74555.242
B,2019-03-31,RU,126930.16
I,2019-03-31,GB,3167922.0
B,2019-03-31,ZA,60748.0
F,2019-03-31,IT,159278.36800000002
B,2019-03-31,TW,338424.895
F,2019-03-31,ID,5752.763999999999
I,2019-03-31,JP,1178532.97
U,2019-03-31,BS,2952.07
N,2019-03-31,PA,41509.5
N,2019-03-31,KY,423283.0
N,2019-03-31,5A,23600554.714
B,2019-03-31,BS,291131.556
F,2019-03-31,KR,41340.815
A,2019-03-31,PA,96034.43
B,2019-03-31,US,3431625.0
B,2019-03-31,CL,33369.394
I,2019-03-31,CY,7910.503000000001
I,2019-03-31,CA,471229.01100000006
A,2019-03-31,AT,449506.777
U,2019-03-31,ES,245500.7
P,2019-03-31,PT,48684.307
N,2019-03-31,TR,30446.804999999997
F,2019-03-31,ES,148509.559
B,2019-03-31,NL,814968.9239999999
F,2019-03-31,IE,93420.187
B,2019-03-31,IT,694782.297
A,2019-03-31,GB,9875791.0
A,2019-03-31,BM,12047.505000000001
N,2019-03-31,BR,4020.0
I,2019-03-31,HK,1042534.208
A,2019-03-31,BE,846725.647
A,2019-03-31,CA,1295505.233
A,2019-03-31,MX,43735.525
A,2019-03-31,NO,401678.63
U,2019-03-31,CH,6741.704
P,2019-03-31,MY,
U,2019-03-31,CY,154.316
N,2019-03-31,ES,343996.76399999997
N,2019-03-31,JP,3065078.6879999996
B,2019-03-31,MX,33834.079
U,2019-03-31,ZA,58.0
U,2019-03-31,SE,0.001
A,2019-03-31,US,6440622.0
B,2019-03-31,BR,236492.0
A,2019-03-31,GR,81325.0
N,2019-03-31,MX,9901.446
I,2019-03-31,ZA,26225.0
A,2019-03-31,AU,1152110.931
A,2019-03-31,BS,352531.10400000005
F,2019-03-31,PT,20888.607
A,2019-03-31,CL,44476.393
F,2019-03-31,TW,106801.90400000001
A,2019-03-31,FI,722805.611
B,2019-03-31,CA,563067.115
N,2019-03-31,GG,44555.096000000005
I,2019-03-31,CH,352076.029
F,2019-03-31,IM,3174.417
U,2019-03-31,GB,950148.0
N,2019-03-31,TW,285539.812
N,2019-03-31,RU,201493.78999999998
B,2019-03-31,ES,469768.85899999994
B,2019-03-31,BH,137568.0
U,2019-03-31,GR,
U,2019-03-31,CN,-0.001
F,2019-03-31,DE,463857.0
I,2019-03-31,GG,174414.007
F,2019-03-31,AU,257395.59300000002
B,2019-03-31,GR,43213.0
B,2019-03-31,PH,36461.856
A,2019-03-31,BH,287227.0
U,2019-03-31,FI,203619.822
A,2019-03-31,DE,4068167.0
F,2019-03-31,TR,11929.149
U,2019-03-31,GG,1356.628
N,2019-03-31,AT,222779.897
I,2019-03-31,BR,114674.0
P,2019-03-31,CH,443486.959
A,2019-03-31,IT,993265.7309999999
A,2019-03-31,RU,331948.97
N,2019-03-31,CA,551414.7
F,2019-03-31,FR,1606349.0
A,2019-03-31,JE,218974.0
P,2019-03-31,ZA,13404.0
P,2019-03-31,IN,
B,2019-03-31,GG,194273.524
U,2019-03-31,IN,
A,2019-03-31,TW,633521.1370000001
B,2019-03-31,ID,62224.335999999996
N,2019-03-31,ID,9731.444
B,2019-03-31,GB,4884718.0
N,2019-03-31,FI,130332.819
F,2019-03-31,NO,16985.358
I,2019-03-31,SE,333280.067
B,2019-03-31,FI,374336.416
N,2019-03-31,BE,260968.434
N,2019-03-31,GB,4040925.0
A,2019-03-31,CY,34559.257
N,2019-03-31,BH,149659.0
A,2019-03-31,NL,1906850.264
B,2019-03-31,JE,144062.0
N,2019-03-31,BM,8106.530000000001
N,2019-03-31,HK,1152045.865
B,2019-03-31,AT,199282.445
N,2019-03-31,CN,1351201.79
N,2019-03-31,PH,17068.947
U,2019-03-31,BR,
B,2019-03-31,HK,1612416.614
F,2019-03-31,LU,153521.358
P,2019-03-31,MO,96675.57199999999
B,2019-03-31,CN,1143703.602
N,2019-03-31,IT,305297.98199999996
A,2019-03-31,ES,1059266.323
B,2019-03-31,BM,3940.976
A,2019-03-31,JP,5280879.665
N,2019-03-31,JE,74912.0
B,2019-03-31,BE,544403.201
A,2019-03-31,LU,1045886.4750000001
I,2019-03-31,AT,67781.165
I,2019-03-31,MY,
I,2019-03-31,JE,143331.0
P,2019-03-31,KR,97519.453
U,2019-03-31,PT,10181.998
I,2019-03-31,BS,
F,2019-03-31,FI,62681.287
B,2019-03-31,PA,54524.93
I,2019-03-31,TR,34376.102
I,2019-03-31,BM,1926.0729999999999
B,2019-03-31,CW,11421.0
U,2019-03-31,LU,7994.772999999999
P,2019-03-31,RU,110195.92000000001
B,2019-03-31,KY,906824.0
F,2019-03-31,GB,2753787.0
I,2019-03-31,IN,
F,2019-03-31,CY,8288.728000000001
P,2019-03-31,DK,46420.459
A,2019-03-31,DK,402153.375
U,2019-03-31,AU,23972.738
I,2019-03-31,FR,1524354.0
P,2019-03-31,DE,725478.0
N,2019-03-31,CL,3411.4559999999997
U,2019-03-31,PH,587.2360000000001
U,2019-03-31,JP,0.001
I,2019-03-31,MO,62208.391
I,2019-03-31,BE,322978.44299999997
A,2019-03-31,KR,477352.12
A,2019-03-31,PT,139618.837
F,2019-03-31,5A,11552418.339000002
F,2019-03-31,JP,1306207.74
B,2019-03-31,CY,12144.62
I,2019-03-31,ID,43136.62
I,2019-03-31,CN,
N,2019-03-31,NL,754320.1470000001
I,2019-03-31,KY,842647.0
N,2019-03-31,CH,797497.303
A,2019-03-31,PH,54118.039000000004
P,2019-03-31,CN,
B,2019-03-31,SE,455677.821
U,2019-03-31,CA,180923.62
I,2019-03-31,IT,235916.86500000002
B,2019-03-31,5A,30056568.810000002
A,2019-03-31,FR,6151993.0
F,2019-03-31,CA,281453.832
N,2019-03-31,DE,1189397.0
B,2019-03-31,TR,135911.00199999998
A,2019-03-31,BR,240512.0
P,2019-03-31,GG,35701.064
A,2019-03-31,IM,76980.324
N,2019-03-31,LU,392464.63300000003
P,2019-03-31,FR,725970.0
N,2019-03-31,AU,433132.064
N,2019-03-31,ZA,22281.0
N,2019-03-31,US,3008998.0
A,2019-03-31,IE,714206.5800000001
P,2019-03-31,AT,138356.43300000002
A,2019-03-31,GG,240185.24800000002
P,2019-03-31,PH,12760.339
P,2019-03-31,BE,159591.52500000002
I,2019-03-31,ES,195049.517
P,2019-03-31,IE,118815.239
U,2019-03-31,TW,9556.43
I,2019-03-31,KR,124917.70499999999
B,2019-03-31,MO,113416.43100000001
N,2019-03-31,FR,2332319.0
F,2019-03-31,HK,
P,2019-03-31,LU,238943.275
U,2019-03-31,DK,
I,2019-03-31,RU,13172.33
I,2019-03-31,DK,92974.70199999999
B,2019-03-31,FR,2869401.0
U,2019-03-31,5A,4037715.0960000004
A,2019-03-31,CH,1689528.114
I,2019-03-31,DE,1302340.0
I,2019-03-31,PA,
P,2019-03-31,BM,5549.956
B,2019-03-31,AU,695006.129
U,2019-03-31,CL,7695.543
P,2019-03-31,TR,18517.656
P,2019-03-31,TW,178737.908
P,2019-03-31,AU,175736.472
I,2019-03-31,NL,645421.539
P,2019-03-31,ES,195487.206
F,2019-03-31,SE,61645.221
B,2019-03-31,NO,279611.13
B,2019-03-31,IM,44307.82800000001
I,2019-03-31,CL,
N,2019-03-31,IM,32670.121999999996
U,2019-03-31,SG,119326.4
I,2019-03-31,5A,18151935.96
U,2019-03-31,DE,696693.0
P,2019-03-31,ID,3978.6800000000003
P,2019-03-31,IT,146019.613
F,2019-03-31,PH,4308.609
I,2019-03-31,US,2773326.0
U,2019-03-31,US,-1.0
A,2019-03-31,ZA,83087.0
F,2019-03-31,AT,84423.462
I,2019-03-31,IE,341259.701
P,2019-03-31,KY,174103.0
N,2019-03-31,IE,212235.427
U,2019-03-31,IE,84685.67599999999
B,2019-03-31,IE,417285.47699999996
P,2019-03-31,US,857338.0
N,2019-03-31,KR,138860.26799999998
N,2019-03-31,PT,69572.91399999999
P,2019-03-31,BS,46060.907999999996
I,2019-03-31,LU,447263.828
N,2019-03-31,MY,58693.204
I,2019-03-31,NO,187720.371
B,2019-03-31,DK,263312.172
B,2019-03-31,PT,59863.925
U,2019-03-31,FR,950273.0
A,2019-03-31,MO,253253.685
U,2019-03-31,IM,2.374
U,2019-03-31,NO,47512.258
F,2019-03-31,IN,
N,2019-03-31,DK,138830.214
U,2019-03-31,PA,
B,2019-03-31,SG,867118.6
P,2019-03-31,NL,495719.65800000005
B,2019-03-31,MY,
U,2019-03-31,MY,
P,2019-03-31,5A,11121585.973
N,2019-03-31,SG,593171.0
F,2019-03-31,BE,101376.90899999999
A,2019-03-31,IN,275154.708
F,2019-03-31,MO,22919.025999999998
A,2019-03-31,SE,617593.3030000001
P,2019-03-31,CA,269960.868
P,2019-03-31,FI,67651.531
U,2019-03-31,KY,3343.0
P,2019-03-31,IM,29495.703999999998
U,2019-03-31,KR,45373.95
B,2019-03-31,IN,62940.5
B,2019-03-31,JP,2215800.976
N,2019-03-31,BS,58447.478
F,2019-03-31,KY,249180.0
A,2019-03-31,CN,2494905.391
I,2019-03-31,SG,
U,2019-03-31,CW,

