ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,CNTRCT_ID,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,INSTRMNT_ID,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_TRNSFRRD_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_TYP_SCRTSTN,NEVS_OTSTNDNG_NMNL_AMNT
0,0.0852,22500,C_IG0190a,14,2019-09-25,,2019-09-27,I_IG0190a,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0190b,14,2019-09-25,,2019-09-27,I_IG0190b,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_CY0110,14,2019-09-25,,2019-09-27,I_CY0110,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0010b,14,2019-09-25,,2019-09-27,I_IG0010b,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0011b,14,2019-09-25,,2019-09-27,I_IG0011b,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0012b,14,2019-09-25,,2019-09-27,I_IG0012b,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,CCNTR_34,14,2019-09-25,,2019-09-27,CINSTR_34,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,CCNTR_35,14,2019-09-25,,2019-09-27,CINSTR_35,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,C_CN0945,,,2019-10-05,,I_CN0945,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,C_CN0950,,,2019-11-10,,I_CN0950,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,C_CN0960a,,,2020-01-05,,I_CN0960a,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,C_DT_NXT_INTRST_RT_RST,,,2220-05-10,,I_DT_NXT_INTRST_RT_RST,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1000000000,0.027,0,C_ACCRD_INTRST_INSTRMNT,,,2020-11-05,,I_ACCRD_INTRST_INSTRMNT,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_41,,,2021-11-06,,CINSTR_41,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_42,,,2025-12-15,,CINSTR_42,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_43,,,2031-01-05,,CINSTR_43,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_44,,,2031-01-05,,CINSTR_44,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,C_CN0960b,,,,,I_CN0960b,,,,0,0,0,0,0,,,69000000.00,0.00,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,CCNTR_46,,,,,CINSTR_46,,,,0,0,0,0,0,,,59000000.00,0.00,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,CCNTR_47,,,,,CINSTR_47,,,,0,0,0,0,0,,,69000000.00,0.00,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_48,,,2020-01-05,,CINSTR_48,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_49,,,2020-01-05,,CINSTR_49,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_50,14,2019-02-28,,,CINSTR_50,,,,,,0,0,0,,,2860897.67,0,7,EEAS_OA30,2019-09-30,,
3750.00,0.037500,0.00,CCNTR_51,,,,,CINSTR_51,,,,0,0,0,0,0,,,1200000.00,1200000.00,1,EEAS_OA30,2019-09-30,,
,,,C_ACCMLTD_WRTFFS_INSTRMNT,,,,,I_ACCMLTD_WRTFFS_INSTRMNT,0,0,-5,0,0,0,0,0,-5,,0.00,,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_53,14,2014-12-01,,,CINSTR_53,,,,,,0,0,0,,,1134.31,0,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_54,14,2014-12-01,,,CINSTR_54,,,,,,0,0,0,,,1134.31,0,7,EEAS_OA30,2019-09-30,,
,,,C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,,,,,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,0,0,-5,0,0,0,0,0,-5,,0.00,,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_56,14,2014-12-01,,,CINSTR_56,,,,,,0,0,0,,,1134.31,0,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,C_ACCMLTD_IMPRMNT_INSTRMNT,,,,,I_ACCMLTD_IMPRMNT_INSTRMNT,,,,0,0,0,0,0,,,69000000.00,0.00,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,CCNTR_58,,,,,CINSTR_58,,,,0,0,0,0,0,,,69000000.00,0.00,7,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,CCNTR_59,,,,,CINSTR_59,,,,0,0,0,0,0,,,69000000.00,0.00,7,EEAS_OA30,2019-09-30,,
908.98,0.0992,0,C_IG0020,14,2019-03-28,,,I_IG0020,,,,,,0,0,,,20973.94,164026.06,0,7,EEAS_OA30,2019-09-30,,
1000,0.02,1000,C_DT_END_INTRST_ONLY,14,2016-02-01,2020-12-01,2013-01-01,I_DT_END_INTRST_ONLY,,,,,,,,,,50000,1000000,0,7,EEAS_OA30,2019-09-30,,
1000,0.02,0,C_DT_LGL_FNL_MTRTY,14,2016-02-01,2019-12-01,,I_DT_LGL_FNL_MTRTY,,,,,,,0,,,0,1000000,0,7,EEAS_OA30,2019-09-30,,
1000,0.02,0,C_IG0070,14,2016-02-01,2019-12-01,,I_IG0070,,,,,,,0,,,0,0,0,7,EEAS_OA30,2019-09-30,,
3750.00,0.037500,0.00,C_CN0620,,,,,I_CN0620,,,,0,0,0,0,0,,,1200000.00,50000.00,1,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,CCNTR_65,,,2020-01-05,,CINSTR_65,,,,0,0,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
3750.00,0.037500,0.00,CCNTR_66,,,,,CINSTR_66,,,,0,0,0,0,0,,,1200000.00,50000.00,1,EEAS_OA30,2019-09-30,,
3750.00,0.037500,0.00,CCNTR_67,,,,,CINSTR_67,,,,0,0,0,0,0,,,1200000.00,50000.00,1,EEAS_OA30,2019-09-30,,
285665.03,0.04968,0.00,CCNTR_68,,,,,CINSTR_68,,,,0,0,0,0,0,,,70000000.00,0.00,7,EEAS_OA30,2019-09-30,,
1912.5,0.027,0,C_THRD_PRTY_PRRTY_CLMS,14,2019-02-28,2020-01-05,,I_THRD_PRTY_PRRTY_CLMS,,,,,,,0,0,,,850000,1,7,EEAS_OA30,2019-09-30,,
1000,0.02,1000,C_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,14,2019-02-28,2020-12-01,2013-01-01,I_H_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,,,,,,,50000,1000000,5000,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_71,14,2019-02-28,,,CINSTR_71,,,,,,0,0,0,,,2860897.67,0,7,EEAS_OA30,2019-09-30,,
1000,0.02,1000,C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,14,2019-02-28,2020-12-01,2013-01-01,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,,,,,,,,,,50000,1000000,5000,7,EEAS_OA30,2019-09-30,,
520.88,0.0992,0,C_PRTCTN_ALLCTD_VL,,,,,I_PRTCTN_ALLCTD_VL,,,,0,0,0,0,,,86306.3,98693.7,0,7,EEAS_OA30,2019-09-30,,
520.88,0.0992,0,CCNTR_74,,,,,CINSTR_74,,,,0,0,0,0,,,86306.3,98693.7,0,7,EEAS_OA30,2019-09-30,,
0,0.03,,C_IG0040,,,,,I_IG0040,,,0,0,0,0,0,,,0,5000,50,7,EEAS_OA30,2019-09-30,,
